Date,AXP
2024-01-26,197.1235809326172
2024-01-29,196.56576538085938
2024-01-30,199.78543090820312
2024-01-31,196.44833374023438
2024-02-01,198.87530517578125
2024-02-02,201.99710083007812
2024-02-05,201.53717041015625
2024-02-06,201.2533416748047
2024-02-07,204.61001586914062
2024-02-08,206.69447326660156
2024-02-09,207.9275360107422
2024-02-12,207.72201538085938
2024-02-13,205.18740844726562
2024-02-14,206.39111328125
2024-02-15,207.98626708984375
2024-02-16,208.015625
2024-02-20,207.94711303710938
2024-02-21,206.38133239746094
2024-02-22,209.4150390625
2024-02-23,209.97288513183594
2024-02-26,212.32156372070312
2024-02-27,213.3197479248047
2024-02-28,213.36868286132812
2024-02-29,214.72897338867188
2024-03-01,214.96383666992188
2024-03-04,214.22988891601562
2024-03-05,212.55641174316406
2024-03-06,213.77969360351562
2024-03-07,218.64344787597656
2024-03-08,218.59449768066406
2024-03-11,215.48251342773438
2024-03-12,217.88990783691406
2024-03-13,218.04649353027344
2024-03-14,215.7565155029297
2024-03-15,213.7894744873047
2024-03-18,216.24583435058594
2024-03-19,216.95042419433594
2024-03-20,223.03746032714844
2024-03-21,224.22157287597656
2024-03-22,221.129150390625
2024-03-25,221.1976318359375
2024-03-26,219.66123962402344
2024-03-27,222.88088989257812
2024-03-28,222.82217407226562
2024-04-01,222.74388122558594
2024-04-02,220.7083282470703
2024-04-03,221.78482055664062
2024-04-04,215.5611114501953
2024-04-05,218.3784942626953
2024-04-08,219.9982147216797
2024-04-09,215.80654907226562
2024-04-10,213.65670776367188
2024-04-11,214.19662475585938
2024-04-12,214.19662475585938
2024-04-15,214.39297485351562
2024-04-16,214.33407592773438
2024-04-17,213.67636108398438
2024-04-18,213.50949096679688
2024-04-19,226.8010711669922
2024-04-22,228.72511291503906
2024-04-23,234.5757598876953
2024-04-24,234.73281860351562
2024-04-25,232.7498779296875
2024-04-26,231.316650390625
2024-04-29,234.53648376464844
2024-04-30,229.73619079589844
2024-05-01,227.21336364746094
2024-05-02,228.2342987060547
2024-05-03,226.5360107421875
2024-05-06,230.0306854248047
