Date,TGT
2023-09-08,112.72461700439453
2023-09-11,111.79502868652344
2023-09-12,111.54898071289062
2023-09-13,112.03199005126953
2023-09-14,113.70886993408203
2023-09-15,112.141357421875
2023-09-18,108.76025390625
2023-09-19,109.51667022705078
2023-09-20,109.73539733886719
2023-09-21,106.91931915283203
2023-09-22,102.61776733398438
2023-09-25,102.30789947509766
2023-09-26,99.77436828613281
2023-09-27,100.01129913330078
2023-09-28,99.8472671508789
2023-09-29,100.76773834228516
2023-10-02,97.23169708251953
2023-10-03,97.6600341796875
2023-10-04,97.16789245605469
2023-10-05,95.82823181152344
2023-10-06,95.70063781738281
2023-10-09,96.3841552734375
2023-10-10,99.91105651855469
2023-10-11,99.32779693603516
2023-10-12,100.97734069824219
2023-10-13,102.052734375
2023-10-16,101.5150375366211
2023-10-17,102.58130645751953
2023-10-18,100.43965148925781
2023-10-19,98.75365447998047
2023-10-20,99.18199157714844
2023-10-23,97.89698791503906
2023-10-24,99.04527282714844
2023-10-25,100.57635498046875
2023-10-26,101.0411376953125
2023-10-27,97.72383880615234
2023-10-30,99.03617095947266
2023-10-31,100.96824645996094
2023-11-01,99.82905578613281
2023-11-02,101.22340393066406
2023-11-03,102.8456039428711
2023-11-06,101.20519256591797
2023-11-07,101.47859191894531
2023-11-08,100.11155700683594
2023-11-09,97.32283020019531
2023-11-10,98.72631072998047
2023-11-13,97.78763580322266
2023-11-14,102.01405334472656
2023-11-15,120.12593841552734
2023-11-16,119.6471176147461
2023-11-17,119.60108184814453
2023-11-20,119.38008117675781
2023-11-21,120.4389877319336
2023-11-22,120.16275024414062
2023-11-24,121.04672241210938
2023-11-27,120.92701721191406
2023-11-28,121.24007415771484
2023-11-29,120.91780853271484
2023-11-30,123.21056365966797
2023-12-01,124.10372161865234
2023-12-04,123.11847686767578
2023-12-05,122.35423278808594
2023-12-06,122.81464385986328
2023-12-07,124.48126220703125
2023-12-08,124.48126220703125
2023-12-11,125.92686462402344
2023-12-12,124.91401672363281
2023-12-13,127.41854095458984
2023-12-14,129.95993041992188
2023-12-15,127.40934753417969
2023-12-18,126.81084442138672
2023-12-19,128.52349853515625
2023-12-20,126.05579376220703
2023-12-21,128.33016967773438
2023-12-22,129.09439086914062
2023-12-26,129.85862731933594
2023-12-27,131.10171508789062
2023-12-28,131.2490234375
2023-12-29,131.13853454589844
2024-01-02,131.7646942138672
2024-01-03,127.68557739257812
2024-01-04,129.14044189453125
2024-01-05,129.60084533691406
2024-01-08,130.50318908691406
2024-01-09,132.381591796875
2024-01-10,132.67625427246094
2024-01-11,130.77023315429688
2024-01-12,129.74813842773438
2024-01-16,129.8954620361328
2024-01-17,127.75003814697266
2024-01-18,126.51618957519531
2024-01-19,127.19757080078125
2024-01-22,129.24171447753906
2024-01-23,129.7205352783203
2024-01-24,128.1736297607422
2024-01-25,130.9175567626953
2024-01-26,131.2398223876953
2024-01-29,130.3098602294922
2024-01-30,129.38906860351562
2024-01-31,128.06312561035156
2024-02-01,132.98011779785156
2024-02-02,133.9653778076172
2024-02-05,131.05567932128906
2024-02-06,132.9893341064453
2024-02-07,135.10711669921875
2024-02-08,135.7240447998047
2024-02-09,134.9229736328125
2024-02-12,137.5656280517578
2024-02-13,134.53623962402344
2024-02-14,133.5417938232422
2024-02-15,134.7388153076172
2024-02-16,137.75900268554688
2024-02-20,139.03909301757812
2024-02-21,138.01873779296875
2024-02-22,139.45652770996094
2024-02-23,140.51400756835938
2024-02-26,139.28028869628906
2024-02-27,140.9871063232422
2024-02-28,140.47689819335938
2024-02-29,141.84976196289062
2024-03-01,144.0481719970703
2024-03-04,139.59568786621094
2024-03-05,156.37611389160156
2024-03-06,160.97702026367188
2024-03-07,159.12181091308594
2024-03-08,157.43356323242188
2024-03-11,155.90301513671875
2024-03-12,155.43919372558594
2024-03-13,154.60435485839844
2024-03-14,152.41522216796875
2024-03-15,152.33172607421875
2024-03-18,155.457763671875
2024-03-19,156.03289794921875
2024-03-20,158.12001037597656
2024-03-21,157.85098266601562
2024-03-22,156.42247009277344
2024-03-25,160.16073608398438
2024-03-26,160.14219665527344
2024-03-27,162.0252227783203
2024-03-28,164.38133239746094
2024-04-01,164.9471893310547
2024-04-02,163.4815673828125
2024-04-03,162.78587341308594
2024-04-04,159.75259399414062
2024-04-05,159.3351593017578
2024-04-08,157.4149932861328
2024-04-09,159.2052764892578
2024-04-10,159.19601440429688
2024-04-11,158.92701721191406
2024-04-12,154.09417724609375
2024-04-15,153.0645294189453
2024-04-16,151.49688720703125
2024-04-17,152.5636444091797
2024-04-18,154.5208740234375
2024-04-19,156.1163787841797
2024-04-22,155.0124969482422
2024-04-23,154.4559326171875
2024-04-24,153.37063598632812
2024-04-25,152.53578186035156
2024-04-26,152.81407165527344
2024-04-29,151.87721252441406
2024-04-30,149.32626342773438
2024-05-01,145.1056671142578
2024-05-02,146.67332458496094
2024-05-03,146.59909057617188
2024-05-06,146.8866729736328
2024-05-07,148.79754638671875
2024-05-08,148.03689575195312
2024-05-09,152.4245147705078
2024-05-10,151.3206329345703
2024-05-13,149.25205993652344
2024-05-14,148.46751403808594
2024-05-15,147.11322021484375
2024-05-16,150.0459442138672
2024-05-17,149.56027221679688
2024-05-20,146.36602783203125
2024-05-21,145.49740600585938
2024-05-22,133.81317138671875
2024-05-23,134.8779296875
2024-05-24,135.64378356933594
2024-05-28,137.39036560058594
2024-05-29,137.9881134033203
2024-05-30,139.97750854492188
2024-05-31,145.85235595703125
2024-06-03,142.9289093017578
2024-06-04,140.61264038085938
2024-06-05,137.6238555908203
2024-06-06,135.55039978027344
2024-06-07,136.3629913330078
2024-06-10,138.7166290283203
2024-06-11,136.5404052734375
2024-06-12,137.0914764404297
2024-06-13,135.1300811767578
2024-06-14,131.84243774414062
2024-06-17,135.40093994140625
2024-06-18,133.13133239746094
2024-06-20,133.91590881347656
2024-06-21,136.48439025878906
2024-06-24,139.8094024658203
2024-06-25,137.08213806152344
2024-06-26,137.4557342529297
2024-06-27,137.03543090820312
2024-06-28,138.268310546875
2024-07-01,136.12013244628906
2024-07-02,135.79324340820312
2024-07-03,135.24217224121094
2024-07-05,136.0360565185547
2024-07-08,138.90341186523438
2024-07-09,137.85736083984375
2024-07-10,136.46571350097656
2024-07-11,141.40650939941406
2024-07-12,142.76083374023438
2024-07-15,141.31312561035156
2024-07-16,144.77822875976562
2024-07-17,145.63751220703125
2024-07-18,142.05096435546875
2024-07-19,139.8467559814453
2024-07-22,141.0516357421875
2024-07-23,140.3511199951172
2024-07-24,136.78326416015625
2024-07-25,136.63380432128906
2024-07-26,139.16494750976562
2024-07-29,137.12884521484375
2024-07-30,138.1842498779297
2024-07-31,140.48187255859375
2024-08-01,137.31564331054688
2024-08-02,129.9837646484375
2024-08-05,125.03361511230469
2024-08-06,125.01495361328125
2024-08-07,124.6600341796875
2024-08-08,125.12702178955078
2024-08-09,126.55604553222656
2024-08-12,126.10771942138672
2024-08-13,127.63946533203125
2024-08-14,126.79888153076172
2024-08-15,132.30943298339844
2024-08-16,134.53231811523438
2024-08-19,135.08338928222656
2024-08-20,134.80319213867188
2024-08-21,149.90162658691406
2024-08-22,147.6142578125
2024-08-23,149.19561767578125
2024-08-26,149.57212829589844
2024-08-27,149.3650665283203
2024-08-28,147.6519012451172
2024-08-29,144.41383361816406
2024-08-30,144.6020965576172
2024-09-03,142.8889617919922
2024-09-04,143.52902221679688
2024-09-05,142.98304748535156
2024-09-06,142.3994598388672
2024-09-09,141.74996948242188
2024-09-10,139.32142639160156
2024-09-11,138.6436767578125
2024-09-12,139.72618103027344
2024-09-13,142.47476196289062
2024-09-16,143.8678741455078
2024-09-17,143.03953552246094
2024-09-18,144.58328247070312
2024-09-19,147.30361938476562
2024-09-20,145.665771484375
2024-09-23,146.17405700683594
2024-09-24,147.01182556152344
2024-09-25,145.96697998046875
2024-09-26,146.8235626220703
2024-09-27,146.0705108642578
2024-09-30,146.71060180664062
2024-10-01,143.26547241210938
2024-10-02,141.5710906982422
2024-10-03,140.81808471679688
2024-10-04,143.90554809570312
2024-10-07,140.25331115722656
2024-10-08,142.43711853027344
2024-10-09,145.27041625976562
2024-10-10,146.81414794921875
2024-10-11,149.15798950195312
2024-10-14,148.69674682617188
2024-10-15,151.25706481933594
2024-10-16,149.54391479492188
2024-10-17,146.7388458251953
2024-10-18,147.63307189941406
2024-10-21,142.05117797851562
2024-10-22,140.43215942382812
2024-10-23,139.3590850830078
2024-10-24,141.36402893066406
2024-10-25,142.28651428222656
2024-10-28,140.5356903076172
2024-10-29,139.24609375
2024-10-30,139.80148315429688
2024-10-31,141.23226928710938
2024-11-01,141.9852752685547
2024-11-04,141.18519592285156
2024-11-05,142.12649536132812
2024-11-06,138.6436767578125
2024-11-07,142.05117797851562
2024-11-08,140.9875030517578
2024-11-11,144.2820587158203
2024-11-12,146.51292419433594
2024-11-13,145.8916778564453
2024-11-14,144.46090698242188
2024-11-15,143.19956970214844
2024-11-18,147.3695068359375
2024-11-19,146.84239196777344
2024-11-20,115.40325164794922
2024-11-21,115.27999877929688
2024-11-22,118.52252197265625
2024-11-25,123.75605010986328
2024-11-26,119.98259735107422
2024-11-27,123.33887481689453
2024-11-29,125.44367218017578
2024-12-02,123.93619537353516
2024-12-03,124.62830352783203
2024-12-04,123.31993103027344
2024-12-05,122.46662902832031
2024-12-06,125.51952362060547
2024-12-09,128.26901245117188
2024-12-10,128.04148864746094
2024-12-11,128.9232177734375
2024-12-12,128.26901245117188
2024-12-13,127.53898620605469
2024-12-16,125.57640838623047
2024-12-17,124.77051544189453
2024-12-18,123.91722106933594
2024-12-19,123.66123962402344
2024-12-20,124.65674591064453
2024-12-23,125.07390594482422
2024-12-24,125.52899932861328
2024-12-26,129.3119354248047
2024-12-27,128.46812438964844
2024-12-30,128.04148864746094
2024-12-31,128.1647186279297
2025-01-02,130.0704345703125
2025-01-03,128.74305725097656
2025-01-06,132.0614471435547
2025-01-07,132.0235137939453
2025-01-08,131.04698181152344
2025-01-10,134.2705078125
2025-01-13,131.5684356689453
2025-01-14,129.38778686523438
2025-01-15,127.54846954345703
2025-01-16,126.33489227294922
2025-01-17,126.67620849609375
2025-01-21,130.212646484375
2025-01-22,128.72410583496094
2025-01-23,130.12730407714844
2025-01-24,130.73410034179688
2025-01-27,135.1048583984375
2025-01-28,133.7395782470703
2025-01-29,132.81993103027344
2025-01-30,133.15176391601562
2025-01-31,130.75306701660156
2025-02-03,127.19766235351562
2025-02-04,128.56292724609375
2025-02-05,128.1931915283203
2025-02-06,127.69068908691406
2025-02-07,124.53349304199219
2025-02-10,124.46711730957031
2025-02-11,125.57640838623047
2025-02-12,121.91419982910156
2025-02-13,122.94688415527344
2025-02-14,122.27754974365234
2025-02-18,124.40985870361328
2025-02-19,125.02182006835938
2025-02-20,122.5166015625
2025-02-21,118.8257064819336
2025-02-24,120.2599868774414
2025-02-25,121.80902099609375
2025-02-26,118.60578155517578
2025-02-27,117.13324737548828
2025-02-28,118.79701232910156
2025-03-03,115.469482421875
2025-03-04,112.00807189941406
2025-03-05,111.45348358154297
2025-03-06,109.0534439086914
2025-03-07,110.03832244873047
2025-03-10,108.8622055053711
2025-03-11,107.81996154785156
2025-03-12,102.58003997802734
2025-03-13,99.92183685302734
2025-03-14,100.11306762695312
2025-03-17,101.04056549072266
2025-03-18,100.00788116455078
2025-03-19,100.3425521850586
2025-03-20,99.63496398925781
2025-03-21,99.5010986328125
2025-03-24,103.60316467285156
2025-03-25,100.78240966796875
2025-03-26,101.44216918945312
2025-03-27,101.84378051757812
2025-03-28,99.10906982421875
2025-03-31,99.78797149658203
2025-04-01,99.85489654541016
2025-04-02,101.13619232177734
2025-04-03,90.14957427978516
2025-04-04,91.5264892578125
2025-04-07,90.24518585205078
2025-04-08,84.87140655517578
2025-04-09,93.41018676757812
2025-04-10,88.64835357666016
2025-04-11,88.71528625488281
2025-04-14,90.50336456298828
2025-04-15,88.04595947265625
2025-04-16,86.49693298339844
2025-04-17,89.03083038330078
2025-04-21,89.6714859008789
2025-04-22,89.97745513916016
2025-04-23,88.1128921508789
2025-04-24,91.13445281982422
2025-04-25,92.34880828857422
2025-04-28,92.14801025390625
2025-04-29,92.66436004638672
2025-04-30,92.46355438232422
2025-05-01,91.76553344726562
2025-05-02,93.10420227050781
2025-05-05,89.90097045898438
2025-05-06,89.54717254638672
2025-05-07,91.30655670166016
2025-05-08,92.6834716796875
2025-05-09,92.17670440673828
2025-05-12,96.65167236328125
2025-05-13,94.74884033203125
2025-05-14,92.12794494628906
2025-05-15,93.8784408569336
2025-05-16,95.33878326416016
2025-05-19,94.76818084716797
2025-05-20,94.89391326904297
2025-05-21,89.9519271850586
2025-05-22,91.93452453613281
2025-05-23,91.1898422241211
2025-05-27,93.80106353759766
2025-05-28,92.78559875488281
2025-05-29,91.75077056884766
2025-05-30,90.9190444946289
2025-06-02,90.2517318725586
2025-06-03,92.63085174560547
2025-06-04,90.85134887695312
2025-06-05,90.44515228271484
2025-06-06,94.1202163696289
2025-06-09,94.14923095703125
2025-06-10,97.45677947998047
2025-06-11,94.88423919677734
2025-06-12,96.02544403076172
2025-06-13,92.23432922363281
2025-06-16,94.1685791015625
2025-06-17,91.89583587646484
2025-06-18,91.9925537109375
2025-06-20,92.39874267578125
2025-06-23,93.35618591308594
2025-06-24,94.32331085205078
2025-06-25,93.52059936523438
2025-06-26,94.39100646972656
2025-06-27,95.96742248535156
2025-06-30,95.40648651123047
2025-07-01,100.43551635742188
2025-07-02,101.98291015625
