Date,HD
2023-12-29,330.0364685058594
2024-01-02,328.6365051269531
2024-01-03,322.1414794921875
2024-01-04,322.45574951171875
2024-01-05,326.5985412597656
2024-01-08,331.3507385253906
2024-01-09,329.693603515625
2024-01-10,339.7980041503906
2024-01-11,339.5408935546875
2024-01-12,338.75994873046875
2024-01-16,341.350341796875
2024-01-17,338.75042724609375
2024-01-18,340.8455810546875
2024-01-19,345.1407470703125
2024-01-22,339.6932373046875
2024-01-23,334.06494140625
2024-01-24,330.72216796875
2024-01-25,334.2458190917969
2024-01-26,338.3694763183594
2024-01-29,338.75042724609375
2024-01-30,340.0837707519531
2024-01-31,336.1409912109375
2024-02-01,342.9122314453125
2024-02-02,340.20758056640625
2024-02-05,338.2171630859375
2024-02-06,339.27423095703125
2024-02-07,345.4073486328125
2024-02-08,346.3883361816406
2024-02-09,345.8454284667969
2024-02-12,348.0358581542969
2024-02-13,340.5503845214844
2024-02-14,341.159912109375
2024-02-15,343.87408447265625
2024-02-16,345.08355712890625
2024-02-20,345.2930908203125
2024-02-21,346.77874755859375
2024-02-22,353.6451721191406
2024-02-23,354.2356262207031
2024-02-26,353.892822265625
2024-02-27,357.6640625
2024-02-28,359.61639404296875
2024-02-29,362.4734191894531
2024-03-01,366.1304931640625
2024-03-04,362.2449035644531
2024-03-05,360.4163818359375
2024-03-06,361.6043701171875
2024-03-07,360.7516784667969
2024-03-08,357.68597412109375
2024-03-11,355.9327087402344
2024-03-12,358.82598876953125
2024-03-13,363.08935546875
2024-03-14,359.5253601074219
2024-03-15,357.5710144042969
2024-03-18,356.3064270019531
2024-03-19,363.4917297363281
2024-03-20,368.2819519042969
2024-03-21,378.6192626953125
2024-03-22,373.90570068359375
2024-03-25,367.4197082519531
2024-03-26,363.9898681640625
2024-03-27,369.6998291015625
2024-03-28,367.5059509277344
2024-04-01,352.5891418457031
2024-04-02,347.77020263671875
2024-04-03,344.80023193359375
2024-04-04,342.67340087890625
2024-04-05,342.8554382324219
2024-04-08,346.86004638671875
2024-04-09,346.2565002441406
2024-04-10,335.8521423339844
2024-04-11,332.79595947265625
2024-04-12,328.4847717285156
2024-04-15,323.7519836425781
2024-04-16,320.7821044921875
2024-04-17,318.8659973144531
2024-04-18,318.92352294921875
2024-04-19,321.2898254394531
2024-04-22,322.0083923339844
2024-04-23,324.7771301269531
2024-04-24,319.0384216308594
2024-04-25,318.0516662597656
2024-04-26,321.03118896484375
2024-04-29,322.6694030761719
2024-04-30,320.1977233886719
2024-05-01,318.0420837402344
2024-05-02,321.45269775390625
2024-05-03,328.46563720703125
2024-05-06,327.9290771484375
2024-05-07,326.396240234375
2024-05-08,324.6142578125
2024-05-09,332.8630065917969
2024-05-10,331.8953857421875
2024-05-13,326.6548767089844
2024-05-14,326.21417236328125
2024-05-15,334.04144287109375
2024-05-16,328.35064697265625
2024-05-17,329.7685546875
2024-05-20,323.6466369628906
2024-05-21,322.04669189453125
2024-05-22,316.719970703125
2024-05-23,313.17523193359375
2024-05-24,311.4603271484375
2024-05-28,314.9093017578125
2024-05-29,312.236328125
2024-05-30,317.56146240234375
2024-05-31,323.0506286621094
2024-06-03,316.4327697753906
2024-06-04,316.6739807128906
2024-06-05,318.6033935546875
2024-06-06,319.4137268066406
2024-06-07,315.4874267578125
2024-06-10,320.8221740722656
2024-06-11,323.87066650390625
2024-06-12,331.9935302734375
2024-06-13,335.6014709472656
2024-06-14,334.5981750488281
2024-06-17,337.1642761230469
2024-06-18,341.3800354003906
2024-06-20,340.9652404785156
2024-06-21,343.241943359375
2024-06-24,338.4956359863281
2024-06-25,326.3789367675781
2024-06-26,329.7554016113281
2024-06-27,329.43701171875
2024-06-28,332.0899658203125
2024-07-01,324.3240661621094
2024-07-02,323.1471252441406
2024-07-03,321.8641357421875
2024-07-05,322.7709045410156
2024-07-08,327.6137390136719
2024-07-09,325.19232177734375
2024-07-10,332.03204345703125
2024-07-11,341.3028869628906
2024-07-12,347.07183837890625
2024-07-15,345.8080749511719
2024-07-16,356.0918273925781
2024-07-17,358.7640686035156
2024-07-18,353.15911865234375
2024-07-19,350.5351257324219
2024-07-22,350.428955078125
2024-07-23,346.9270935058594
2024-07-24,337.9456787109375
2024-07-25,340.8205261230469
2024-07-26,346.82098388671875
2024-07-29,348.9047546386719
2024-07-30,350.85345458984375
2024-07-31,355.1656494140625
2024-08-01,345.923828125
2024-08-02,342.885009765625
2024-08-05,337.65631103515625
2024-08-06,341.418701171875
2024-08-07,330.3149108886719
2024-08-08,336.04522705078125
2024-08-09,336.33465576171875
2024-08-12,333.60455322265625
2024-08-13,337.71417236328125
2024-08-14,343.10687255859375
2024-08-15,347.3612365722656
2024-08-16,349.281005859375
2024-08-19,350.2553405761719
2024-08-20,354.3070983886719
2024-08-21,357.3844909667969
2024-08-22,352.4645080566406
2024-08-23,362.33343505859375
2024-08-26,360.9056701660156
2024-08-27,360.008544921875
2024-08-28,359.5357666015625
2024-08-29,356.2552795410156
2024-08-30,357.6529235839844
2024-09-03,354.0035705566406
2024-09-04,353.9356689453125
2024-09-05,351.19866943359375
2024-09-06,349.4516296386719
2024-09-09,354.7606201171875
2024-09-10,359.953125
2024-09-11,359.5843200683594
2024-09-12,363.4083557128906
2024-09-13,368.8046569824219
2024-09-16,370.7652587890625
2024-09-17,371.9590148925781
2024-09-18,372.70635986328125
2024-09-19,378.85003662109375
2024-09-20,378.3841857910156
2024-09-23,380.42236328125
2024-09-24,388.86627197265625
2024-09-25,385.2460632324219
2024-09-26,385.0228576660156
2024-09-27,387.76953125
2024-09-30,393.2726135253906
2024-10-01,397.00927734375
2024-10-02,399.15423583984375
2024-10-03,399.4648132324219
2024-10-04,396.3395690917969
2024-10-07,396.0484619140625
2024-10-08,401.9882507324219
2024-10-09,403.8226623535156
2024-10-10,397.8924865722656
2024-10-11,399.7753601074219
2024-10-14,403.1917724609375
2024-10-15,403.3470764160156
2024-10-16,406.2878723144531
2024-10-17,403.3664855957031
2024-10-18,402.78411865234375
2024-10-21,394.4372863769531
2024-10-22,390.021240234375
2024-10-23,387.87628173828125
2024-10-24,390.8267517089844
2024-10-25,387.1677551269531
2024-10-28,391.0306091308594
2024-10-29,383.4407958984375
2024-10-30,380.9658508300781
2024-10-31,382.15966796875
2024-11-01,381.0338134765625
2024-11-04,383.9260559082031
2024-11-05,388.31304931640625
2024-11-06,376.93798828125
2024-11-07,387.6821594238281
2024-11-08,393.9519958496094
2024-11-11,396.27166748046875
2024-11-12,391.2149963378906
2024-11-13,398.11572265625
2024-11-14,393.77728271484375
2024-11-15,396.1648864746094
2024-11-18,398.3583679199219
2024-11-19,394.82550048828125
2024-11-20,388.2257080078125
2024-11-21,398.3680725097656
2024-11-22,407.6369323730469
2024-11-25,416.0517578125
2024-11-26,416.8767395019531
2024-11-27,416.7986755371094
2024-11-29,418.6914978027344
2024-12-02,416.5742492675781
2024-12-03,418.9061584472656
2024-12-04,417.51092529296875
2024-12-05,416.1645202636719
2024-12-06,420.87701416015625
2024-12-09,418.74029541015625
2024-12-10,412.3105773925781
2024-12-11,411.1300048828125
2024-12-12,404.3393249511719
2024-12-13,406.8370361328125
2024-12-16,400.71954345703125
2024-12-17,398.5340881347656
2024-12-18,384.24041748046875
