Date,UNH
2024-05-16,502.8735656738281
2024-05-17,506.1148376464844
2024-05-20,498.97613525390625
2024-05-21,505.072998046875
2024-05-22,502.9506530761719
2024-05-23,498.5902099609375
2024-05-24,490.23583984375
2024-05-28,485.904296875
2024-05-29,467.6134338378906
2024-05-30,464.6517639160156
2024-05-31,477.8875427246094
2024-06-03,479.884521484375
2024-06-04,487.650390625
2024-06-05,485.364013671875
2024-06-06,484.2063903808594
2024-06-07,473.3727111816406
2024-06-10,477.5306396484375
2024-06-11,478.7075500488281
2024-06-12,475.66876220703125
2024-06-13,479.7494201660156
2024-06-14,479.5758056640625
2024-06-17,473.9664306640625
2024-06-18,466.0416259765625
2024-06-20,469.4034118652344
2024-06-21,467.5335998535156
2024-06-24,474.69305419921875
2024-06-25,469.3840026855469
2024-06-26,468.9383544921875
2024-06-27,471.26348876953125
2024-06-28,493.3715515136719
2024-07-01,479.2173156738281
2024-07-02,482.6953125
2024-07-03,474.60589599609375
2024-07-05,472.7845764160156
2024-07-08,474.0730285644531
2024-07-09,476.7565612792969
2024-07-10,485.30145263671875
2024-07-11,488.6244201660156
2024-07-12,495.5707092285156
2024-07-15,499.2908630371094
2024-07-16,531.7457885742188
2024-07-17,555.3942260742188
2024-07-18,546.7330932617188
2024-07-19,547.6922607421875
2024-07-22,541.1043701171875
2024-07-23,537.3938598632812
2024-07-24,542.2862548828125
2024-07-25,542.218505859375
2024-07-26,551.9451904296875
2024-07-29,549.0679321289062
2024-07-30,558.3489990234375
2024-07-31,558.1842651367188
2024-08-01,554.9000854492188
2024-08-02,571.4278564453125
2024-08-05,552.177734375
2024-08-06,550.617919921875
2024-08-07,548.4188842773438
2024-08-08,548.5737915039062
2024-08-09,541.3271484375
2024-08-12,547.6533203125
2024-08-13,556.3241577148438
2024-08-14,561.5848388671875
2024-08-15,561.526611328125
2024-08-16,559.6568603515625
2024-08-19,560.7225952148438
2024-08-20,562.5342407226562
2024-08-21,560.0347290039062
2024-08-22,560.6644287109375
2024-08-23,566.2738037109375
2024-08-26,568.81201171875
2024-08-27,569.025146484375
2024-08-28,570.1780395507812
2024-08-29,573.113525390625
2024-08-30,571.7863159179688
2024-09-03,580.001708984375
2024-09-04,585.330078125
2024-09-05,576.9112548828125
2024-09-06,578.2578735351562
2024-09-09,575.5646362304688
2024-09-10,580.3408203125
2024-09-11,571.350341796875
2024-09-12,570.061767578125
2024-09-13,575.7777709960938
2024-09-16,572.783203125
2024-09-17,561.9136352539062
2024-09-18,564.5289916992188
2024-09-19,561.04833984375
2024-09-20,559.0358276367188
2024-09-23,557.4899291992188
2024-09-24,559.220458984375
2024-09-25,560.3093872070312
2024-09-26,558.8510131835938
2024-09-27,565.695556640625
2024-09-30,568.447021484375
2024-10-01,567.1053466796875
2024-10-02,575.865234375
2024-10-03,576.29296875
2024-10-04,574.7860107421875
2024-10-07,567.358154296875
2024-10-08,565.4331665039062
2024-10-09,574.8054809570312
2024-10-10,581.1055908203125
2024-10-11,581.4458618164062
2024-10-14,588.5917358398438
2024-10-15,540.8452758789062
2024-10-16,555.4774169921875
2024-10-17,550.3148193359375
2024-10-18,553.79541015625
2024-10-21,555.603759765625
2024-10-22,554.03857421875
2024-10-23,548.9634399414062
2024-10-24,545.23974609375
2024-10-25,548.8856811523438
2024-10-28,549.5466918945312
2024-10-29,546.5231323242188
2024-10-30,547.330078125
2024-10-31,548.8273315429688
2024-11-01,551.8023681640625
2024-11-04,542.2841796875
2024-11-05,551.2870483398438
2024-11-06,580.1235961914062
2024-11-07,588.6404418945312
2024-11-08,598.7127685546875
2024-11-11,607.890625
2024-11-12,597.6043701171875
2024-11-13,589.0487670898438
2024-11-14,576.6819458007812
2024-11-15,575.7874145507812
2024-11-18,573.2791137695312
2024-11-19,560.9802856445312
2024-11-20,583.827880859375
2024-11-21,580.9013671875
2024-11-22,574.4652099609375
2024-11-25,589.0098876953125
2024-11-26,589.9431762695312
2024-11-27,591.489013671875
