Date,LIN
2024-02-02,396.8412170410156
2024-02-05,390.5438232421875
2024-02-06,405.09796142578125
2024-02-07,406.33599853515625
2024-02-08,403.5772705078125
2024-02-09,408.86077880859375
2024-02-12,409.0459899902344
2024-02-13,405.7705993652344
2024-02-14,407.86639404296875
2024-02-15,417.8974304199219
2024-02-16,420.7633361816406
2024-02-20,424.984375
2024-02-21,428.39630126953125
2024-02-22,435.77569580078125
2024-02-23,436.2923889160156
2024-02-26,433.73834228515625
2024-02-27,433.601806640625
2024-02-28,439.8406982421875
2024-02-29,437.5206604003906
2024-03-01,437.9007873535156
2024-03-04,444.1299133300781
2024-03-05,449.3550109863281
2024-03-06,451.9382629394531
2024-03-07,453.57598876953125
2024-03-08,450.90496826171875
2024-03-11,457.6605529785156
2024-03-12,459.60040283203125
2024-03-13,464.30322265625
2024-03-14,463.37432861328125
2024-03-15,457.7916564941406
2024-03-18,455.71893310546875
2024-03-19,456.3250732421875
2024-03-20,456.3837585449219
2024-03-21,455.9046325683594
2024-03-22,457.8014221191406
2024-03-25,456.49127197265625
2024-03-26,457.12677001953125
2024-03-27,455.8362121582031
2024-03-28,453.96881103515625
2024-04-01,453.0692443847656
2024-04-02,451.0552062988281
2024-04-03,452.1600646972656
2024-04-04,447.06622314453125
2024-04-05,454.3403625488281
2024-04-08,451.3778991699219
2024-04-09,447.7309875488281
2024-04-10,440.44708251953125
2024-04-11,442.9011535644531
2024-04-12,437.4358215332031
2024-04-15,434.8350524902344
2024-04-16,435.8420715332031
2024-04-17,436.82965087890625
2024-04-18,436.4776306152344
2024-04-19,436.3504943847656
2024-04-22,437.0055847167969
2024-04-23,435.13818359375
2024-04-24,434.4146728515625
2024-04-25,433.9355773925781
2024-04-26,433.30010986328125
2024-04-29,435.14794921875
2024-04-30,431.12957763671875
2024-05-01,432.7525634765625
2024-05-02,410.26531982421875
2024-05-03,414.15655517578125
2024-05-06,417.1092834472656
2024-05-07,420.4139404296875
2024-05-08,418.1749267578125
2024-05-09,420.2770080566406
2024-05-10,424.7060546875
2024-05-13,425.08734130859375
2024-05-14,422.4768371582031
2024-05-15,421.2156677246094
2024-05-16,420.11083984375
2024-05-17,422.8777770996094
2024-05-20,422.9656677246094
2024-05-21,425.341552734375
2024-05-22,425.0971374511719
2024-05-23,422.6626281738281
2024-05-24,425.8597412109375
2024-05-28,420.3357238769531
2024-05-29,416.6790466308594
2024-05-30,420.521484375
2024-05-31,425.81085205078125
2024-06-03,424.64739990234375
2024-06-04,422.8818664550781
2024-06-05,426.74639892578125
2024-06-06,425.53997802734375
2024-06-07,425.392822265625
2024-06-10,423.72540283203125
2024-06-11,427.13873291015625
2024-06-12,425.8538513183594
2024-06-13,431.3760070800781
2024-06-14,428.5805969238281
2024-06-17,432.1900939941406
