Date,BKNG
2023-09-21,2987.388427734375
2023-09-22,3013.235595703125
2023-09-25,3048.0361328125
2023-09-26,3011.30712890625
2023-09-27,3033.03125
2023-09-28,3054.8447265625
2023-09-29,3034.300537109375
2023-10-02,3043.953125
2023-10-03,2962.31884765625
2023-10-04,2997.424072265625
2023-10-05,2970.160400390625
2023-10-06,3000.345947265625
2023-10-09,2961.265869140625
2023-10-10,3011.1298828125
2023-10-11,3022.493896484375
2023-10-12,2999.91357421875
2023-10-13,2902.5859375
2023-10-16,2918.7119140625
2023-10-17,2930.449951171875
2023-10-18,2804.353515625
2023-10-19,2740.3603515625
2023-10-20,2712.26025390625
2023-10-23,2774.147705078125
2023-10-24,2789.72265625
2023-10-25,2767.63427734375
2023-10-26,2698.53515625
2023-10-27,2701.94921875
2023-10-30,2743.361083984375
2023-10-31,2744.650634765625
2023-11-01,2721.69580078125
2023-11-02,2792.921142578125
2023-11-03,2812.726806640625
2023-11-06,2923.59228515625
2023-11-07,2963.410888671875
2023-11-08,2971.71533203125
2023-11-09,2961.797607421875
2023-11-10,3024.737548828125
2023-11-13,3068.992919921875
2023-11-14,3122.40966796875
2023-11-15,3070.577392578125
2023-11-16,3078.477783203125
2023-11-17,3084.774658203125
2023-11-20,3107.099609375
2023-11-21,3094.41748046875
2023-11-22,3079.609375
2023-11-24,3065.431396484375
2023-11-27,3080.396728515625
2023-11-28,3091.32763671875
2023-11-29,3075.958984375
2023-11-30,3075.378662109375
2023-12-01,3108.693603515625
2023-12-04,3084.017333984375
2023-12-05,3097.32958984375
2023-12-06,3099.28759765625
2023-12-07,3186.136474609375
2023-12-08,3222.275146484375
2023-12-11,3292.83056640625
2023-12-12,3347.722412109375
2023-12-13,3369.0927734375
2023-12-14,3384.913818359375
2023-12-15,3423.10888671875
2023-12-18,3414.6572265625
2023-12-19,3458.697265625
2023-12-20,3413.3583984375
2023-12-21,3462.887939453125
2023-12-22,3478.7783203125
2023-12-26,3509.22998046875
2023-12-27,3477.735107421875
2023-12-28,3493.310302734375
2023-12-29,3490.1123046875
2024-01-02,3424.525634765625
2024-01-03,3354.383544921875
2024-01-04,3364.881591796875
2024-01-05,3353.271484375
2024-01-08,3407.09130859375
2024-01-09,3433.055908203125
2024-01-10,3464.462158203125
2024-01-11,3495.09130859375
2024-01-12,3446.01416015625
2024-01-16,3447.293212890625
2024-01-17,3433.715087890625
2024-01-18,3471.9990234375
2024-01-19,3558.287353515625
2024-01-22,3449.57568359375
2024-01-23,3434.423583984375
2024-01-24,3440.455322265625
2024-01-25,3446.850341796875
2024-01-26,3462.937744140625
2024-01-29,3496.665283203125
2024-01-30,3497.9150390625
2024-01-31,3451.00244140625
2024-02-01,3501.16162109375
2024-02-02,3504.054443359375
2024-02-05,3566.640380859375
2024-02-06,3586.25927734375
2024-02-07,3649.209228515625
2024-02-08,3778.395263671875
2024-02-09,3697.676513671875
2024-02-12,3729.21044921875
2024-02-13,3687.2763671875
2024-02-14,3678.126220703125
2024-02-15,3690.27734375
2024-02-16,3657.002197265625
2024-02-20,3641.279052734375
2024-02-21,3680.900634765625
2024-02-22,3839.17138671875
2024-02-23,3449.51708984375
2024-02-26,3443.406982421875
2024-02-27,3422.125244140625
2024-02-28,3439.352783203125
2024-02-29,3412.98486328125
2024-03-01,3443.38720703125
2024-03-04,3405.67431640625
2024-03-05,3375.02587890625
2024-03-06,3372.841552734375
2024-03-07,3430.52734375
2024-03-08,3438.359375
2024-03-11,3455.16796875
2024-03-12,3452.465576171875
2024-03-13,3452.465576171875
2024-03-14,3463.8681640625
2024-03-15,3367.61376953125
2024-03-18,3404.061767578125
2024-03-19,3458.364013671875
2024-03-20,3529.88916015625
2024-03-21,3598.267578125
2024-03-22,3575.5009765625
2024-03-25,3577.681396484375
2024-03-26,3611.357666015625
2024-03-27,3623.608642578125
2024-03-28,3578.6083984375
2024-04-01,3520.39990234375
2024-04-02,3517.657958984375
2024-04-03,3583.047119140625
2024-04-04,3474.097412109375
2024-04-05,3552.981201171875
2024-04-08,3552.26123046875
2024-04-09,3532.838623046875
2024-04-10,3537.42529296875
2024-04-11,3588.462646484375
2024-04-12,3483.83349609375
2024-04-15,3438.290283203125
2024-04-16,3420.67333984375
2024-04-17,3397.136962890625
2024-04-18,3383.553955078125
2024-04-19,3368.442626953125
2024-04-22,3415.967529296875
2024-04-23,3485.993408203125
2024-04-24,3469.747314453125
2024-04-25,3454.911865234375
2024-04-26,3473.259033203125
2024-04-29,3467.064697265625
2024-04-30,3405.146728515625
2024-05-01,3369.250732421875
2024-05-02,3425.742919921875
2024-05-03,3528.794189453125
2024-05-06,3549.538818359375
2024-05-07,3556.443359375
2024-05-08,3610.2919921875
2024-05-09,3728.6923828125
2024-05-10,3754.0625
2024-05-13,3694.137939453125
2024-05-14,3721.60986328125
2024-05-15,3741.022216796875
2024-05-16,3684.28369140625
2024-05-17,3657.985595703125
2024-05-20,3717.43701171875
