Date,V
2024-09-23,285.46197509765625
2024-09-24,269.78594970703125
2024-09-25,266.6705322265625
2024-09-26,268.7078857421875
2024-09-27,272.14971923828125
2024-09-30,271.9320983886719
2024-10-01,274.55303955078125
2024-10-02,273.9596252441406
2024-10-03,273.8211364746094
2024-10-04,274.87939453125
2024-10-07,270.78485107421875
2024-10-08,271.9420166015625
2024-10-09,273.8903503417969
2024-10-10,274.4244384765625
2024-10-11,274.7903747558594
2024-10-14,277.5992126464844
2024-10-15,276.2244567871094
2024-10-16,284.3641052246094
2024-10-17,287.20263671875
2024-10-18,287.4300842285156
2024-10-21,283.7015075683594
2024-10-22,281.66412353515625
2024-10-23,280.6453857421875
2024-10-24,280.111328125
2024-10-25,278.6376647949219
2024-10-28,281.0707092285156
2024-10-29,278.78607177734375
2024-10-30,286.9751892089844
2024-10-31,286.6685485839844
2024-11-01,287.548828125
2024-11-04,288.6466369628906
2024-11-05,290.07080078125
2024-11-06,304.02593994140625
2024-11-07,302.4435119628906
2024-11-08,304.49078369140625
2024-11-11,307.5072937011719
2024-11-12,307.0316467285156
2024-11-13,306.6650085449219
2024-11-14,305.44622802734375
2024-11-15,306.8235778808594
2024-11-18,309.3206481933594
2024-11-19,309.0134582519531
2024-11-20,304.5940246582031
2024-11-21,307.0812072753906
2024-11-22,307.10101318359375
2024-11-25,310.3412780761719
2024-11-26,308.9837341308594
2024-11-27,311.83758544921875
2024-11-29,312.21405029296875
2024-12-02,313.769775390625
2024-12-03,310.16290283203125
2024-12-04,307.0812072753906
2024-12-05,306.2686462402344
2024-12-06,308.1811218261719
2024-12-09,305.4957275390625
2024-12-10,309.5386657714844
2024-12-11,310.93585205078125
2024-12-12,311.3717956542969
2024-12-13,311.8771667480469
2024-12-16,313.0167236328125
2024-12-17,315.40478515625
2024-12-18,306.9622802734375
2024-12-19,312.01593017578125
2024-12-20,314.82012939453125
2024-12-23,314.3346252441406
2024-12-24,317.7334289550781
2024-12-26,317.99102783203125
2024-12-27,315.7615051269531
2024-12-30,312.4419860839844
2024-12-31,313.16534423828125
2025-01-02,311.5402526855469
2025-01-03,312.0456237792969
2025-01-06,310.192626953125
2025-01-07,308.8351135253906
2025-01-08,309.7566833496094
2025-01-10,304.9111328125
2025-01-13,304.1283264160156
2025-01-14,306.278564453125
2025-01-15,313.4031677246094
2025-01-16,314.3643493652344
2025-01-17,316.7127685546875
2025-01-21,320.6863098144531
2025-01-22,320.6169738769531
2025-01-23,325.224609375
2025-01-24,327.1965637207031
2025-01-27,331.4970703125
2025-01-28,331.4376220703125
2025-01-29,332.8249206542969
2025-01-30,339.9296569824219
2025-01-31,338.6910095214844
2025-02-03,342.67449951171875
2025-02-04,342.0105895996094
2025-02-05,346.26153564453125
2025-02-06,344.3193664550781
2025-02-07,344.85443115234375
2025-02-10,348.0352783203125
2025-02-11,348.11468505859375
2025-02-12,348.8789367675781
2025-02-13,352.98822021484375
2025-02-14,351.1817321777344
2025-02-18,354.0800476074219
2025-02-19,352.5912170410156
2025-02-20,347.8863830566406
2025-02-21,345.9409484863281
2025-02-24,347.26104736328125
2025-02-25,349.4745178222656
2025-02-26,348.0253601074219
2025-02-27,353.09735107421875
2025-02-28,360.015625
2025-03-03,359.1322326660156
2025-03-04,349.61346435546875
2025-03-05,350.06011962890625
2025-03-06,341.6033935546875
2025-03-07,342.7547912597656
2025-03-10,338.9433288574219
2025-03-11,329.6727294921875
2025-03-12,330.3675231933594
2025-03-13,326.1093444824219
2025-03-14,329.335205078125
2025-03-17,332.0647888183594
