Date,GD
2025-03-20,260.6700134277344
2025-03-21,258.4233703613281
2025-03-24,260.8465881347656
2025-03-25,262.4751892089844
2025-03-26,264.4765319824219
2025-03-27,264.38824462890625
2025-03-28,263.98602294921875
2025-03-31,267.4197082519531
2025-04-01,268.9502258300781
2025-04-02,270.81427001953125
2025-04-03,264.51580810546875
2025-04-04,245.27703857421875
2025-04-07,242.99114990234375
2025-04-08,249.58392333984375
2025-04-09,266.3797912597656
2025-04-10,266.6741638183594
2025-04-11,272.91876220703125
2025-04-14,275.02008056640625
2025-04-15,273.4021911621094
2025-04-16,272.8990478515625
2025-04-17,272.3564453125
2025-04-21,269.49554443359375
2025-04-22,271.0937194824219
2025-04-23,262.14605712890625
2025-04-24,268.0453796386719
2025-04-25,268.3018798828125
2025-04-28,268.2723083496094
2025-04-29,268.4104309082031
2025-04-30,268.4498596191406
2025-05-01,267.84814453125
2025-05-02,269.34759521484375
2025-05-05,268.4696350097656
2025-05-06,266.9602355957031
2025-05-07,265.8158874511719
2025-05-08,268.311767578125
2025-05-09,267.8974304199219
2025-05-12,272.5143127441406
2025-05-13,269.33770751953125
2025-05-14,267.0391540527344
2025-05-15,274.75372314453125
2025-05-16,276.92401123046875
2025-05-19,277.5751037597656
2025-05-20,277.7724304199219
2025-05-21,273.95465087890625
2025-05-22,273.29364013671875
2025-05-23,271.0444030761719
2025-05-27,275.4640197753906
2025-05-28,269.94940185546875
2025-05-29,271.48834228515625
2025-05-30,274.73394775390625
2025-06-02,271.991455078125
2025-06-03,272.3170166015625
2025-06-04,271.3206481933594
2025-06-05,270.7188720703125
2025-06-06,272.7510986328125
2025-06-09,273.5699157714844
2025-06-10,273.62908935546875
2025-06-11,272.1098327636719
2025-06-12,276.1545104980469
2025-06-13,279.1831359863281
2025-06-16,275.523193359375
2025-06-17,277.5060729980469
2025-06-18,274.7734069824219
2025-06-20,275.02008056640625
2025-06-23,278.5123291015625
2025-06-24,277.2594299316406
2025-06-25,282.05389404296875
2025-06-26,287.4599914550781
2025-06-27,286.8187255859375
2025-06-30,287.72637939453125
2025-07-01,290.40966796875
2025-07-02,289.95587158203125
2025-07-03,292.276123046875
2025-07-07,292.16705322265625
2025-07-08,294.15020751953125
2025-07-09,297.43231201171875
2025-07-10,300.823486328125
2025-07-11,299.6534423828125
2025-07-14,302.2810974121094
2025-07-15,298.3148193359375
2025-07-16,297.47198486328125
2025-07-17,297.56121826171875
2025-07-18,296.4606018066406
2025-07-21,294.54681396484375
2025-07-22,295.09222412109375
2025-07-23,314.26922607421875
2025-07-24,311.5919494628906
2025-07-25,311.37384033203125
2025-07-28,310.4615783691406
2025-07-29,312.0481262207031
2025-07-30,309.5493469238281
2025-07-31,308.984130859375
2025-08-01,308.1214599609375
2025-08-04,310.144287109375
2025-08-05,311.11602783203125
2025-08-06,312.33563232421875
2025-08-07,310.0947265625
2025-08-08,311.48291015625
2025-08-11,312.2761535644531
2025-08-12,311.3639221191406
2025-08-13,314.8145751953125
2025-08-14,313.1784973144531
2025-08-15,311.046630859375
2025-08-18,310.9375305175781
2025-08-19,313.7337646484375
2025-08-20,314.8046875
2025-08-21,313.8626708984375
2025-08-22,316.9167175292969
2025-08-25,317.19439697265625
2025-08-26,319.4650573730469
2025-08-27,322.7174072265625
2025-08-28,322.1720886230469
