Date,GS
2024-11-26,590.46484375
2024-11-27,590.3966064453125
2024-11-29,593.4586181640625
2024-12-02,589.6758422851562
2024-12-03,590.0383911132812
2024-12-04,586.73583984375
2024-12-05,584.864013671875
2024-12-06,587.6863403320312
2024-12-09,582.237548828125
2024-12-10,573.3294067382812
2024-12-11,580.7088012695312
2024-12-12,579.7777709960938
2024-12-13,573.7704467773438
2024-12-16,574.6034545898438
2024-12-17,563.1864013671875
2024-12-18,539.2449951171875
2024-12-19,542.9102172851562
2024-12-20,554.7779541015625
2024-12-23,559.3643798828125
2024-12-24,571.1341552734375
2024-12-26,569.6053466796875
2024-12-27,564.6564331054688
2024-12-30,562.0789184570312
2024-12-31,561.1676025390625
2025-01-02,563.4705810546875
2025-01-03,568.5274658203125
2025-01-06,571.7222290039062
2025-01-07,568.517578125
2025-01-08,568.419677734375
2025-01-10,548.7999877929688
2025-01-13,551.6910400390625
2025-01-14,560.0994262695312
2025-01-15,593.8015747070312
2025-01-16,600.7301635742188
2025-01-17,613.4212036132812
2025-01-21,622.0452270507812
2025-01-22,620.0753784179688
2025-01-23,626.7100219726562
2025-01-24,624.1619873046875
2025-01-27,620.6143798828125
2025-01-28,625.0440063476562
2025-01-29,624.6323852539062
2025-01-30,632.7860107421875
2025-01-31,627.592041015625
2025-02-03,619.7225952148438
2025-02-04,621.496337890625
2025-02-05,632.541015625
2025-02-06,645.0556030273438
2025-02-07,642.781982421875
2025-02-10,637.5194702148438
2025-02-11,634.2951049804688
2025-02-12,636.0199584960938
2025-02-13,635.970947265625
2025-02-14,647.3389892578125
2025-02-18,658.7462158203125
2025-02-19,654.7869873046875
2025-02-20,629.414794921875
2025-02-21,613.0879516601562
2025-02-24,613.6172485351562
2025-02-25,602.6116943359375
2025-02-26,605.4146118164062
2025-02-27,595.8399658203125
2025-02-28,612.8682250976562
2025-03-03,596.0961303710938
2025-03-04,572.3412475585938
2025-03-05,584.0906372070312
2025-03-06,559.0751953125
2025-03-07,551.1962890625
2025-03-10,523.6103515625
2025-03-11,523.3838500976562
2025-03-12,527.5990600585938
2025-03-13,516.8641357421875
2025-03-14,533.2127685546875
2025-03-17,542.992431640625
2025-03-18,543.42578125
2025-03-19,548.901611328125
2025-03-20,554.1607666015625
2025-03-21,556.58349609375
2025-03-24,571.3169555664062
2025-03-25,577.0685424804688
2025-03-26,565.2305297851562
2025-03-27,550.4575805664062
2025-03-28,534.8968505859375
2025-03-31,538.0188598632812
2025-04-01,540.1461791992188
2025-04-02,554.5743408203125
2025-04-03,503.4897155761719
2025-04-04,463.6816711425781
2025-04-07,458.4619445800781
2025-04-08,455.2217102050781
2025-04-09,509.0442810058594
2025-04-10,482.3841552734375
2025-04-11,486.95391845703125
2025-04-14,496.3494567871094
2025-04-15,500.2003173828125
2025-04-16,491.4941101074219
2025-04-17,501.7760314941406
2025-04-21,493.7691345214844
2025-04-22,512.1170654296875
2025-04-23,521.2959594726562
2025-04-24,537.11279296875
2025-04-25,536.6105346679688
2025-04-28,538.1272583007812
2025-04-29,540.6090698242188
2025-04-30,539.2598266601562
2025-05-01,545.4447631835938
2025-05-02,557.5289306640625
2025-05-05,551.0879516601562
2025-05-06,541.0423583984375
2025-05-07,543.5635986328125
2025-05-08,557.135009765625
2025-05-09,558.5137329101562
2025-05-12,582.3868408203125
2025-05-13,594.66796875
2025-05-14,602.3400268554688
2025-05-15,606.5750122070312
2025-05-16,609.6575927734375
2025-05-19,603.0294189453125
2025-05-20,597.3369750976562
2025-05-21,584.4747314453125
2025-05-22,589.1724853515625
2025-05-23,589.477783203125
2025-05-27,606.4075317382812
2025-05-28,599.2279052734375
2025-05-29,595.7020874023438
2025-05-30,594.3065795898438
2025-06-02,592.59423828125
2025-06-03,597.6519775390625
2025-06-04,593.0792236328125
2025-06-05,599.6809692382812
2025-06-06,607.7178955078125
2025-06-09,607.2427978515625
2025-06-10,608.5789794921875
2025-06-11,617.7838134765625
2025-06-12,618.7142333984375
2025-06-13,607.2625732421875
2025-06-16,621.4261474609375
2025-06-17,618.2490844726562
2025-06-18,628.7406005859375
2025-06-20,634.24365234375
2025-06-23,640.261474609375
2025-06-24,655.3356323242188
2025-06-25,663.0162353515625
2025-06-26,680.1293334960938
2025-06-27,683.7420043945312
2025-06-30,700.5086669921875
2025-07-01,699.23193359375
2025-07-02,708.5653686523438
2025-07-03,716.2756958007812
2025-07-07,703.6561279296875
2025-07-08,690.1458740234375
2025-07-09,689.4331665039062
2025-07-10,701.8646850585938
2025-07-11,697.7373657226562
2025-07-14,706.0018920898438
2025-07-15,695.3223266601562
2025-07-16,701.5677490234375
2025-07-17,698.6182861328125
2025-07-18,701.0134887695312
2025-07-21,698.776611328125
2025-07-22,693.2437744140625
2025-07-23,710.1787719726562
2025-07-24,711.82177734375
2025-07-25,721.5214233398438
2025-07-28,716.2460327148438
2025-07-29,724.4907836914062
2025-07-30,723.2733154296875
2025-07-31,716.1866455078125
2025-08-01,702.31005859375
2025-08-04,718.6016845703125
2025-08-05,713.5340576171875
2025-08-06,717.3248291015625
2025-08-07,712.3759765625
2025-08-08,713.890380859375
2025-08-11,711.8811645507812
2025-08-12,735.774169921875
2025-08-13,737.0707397460938
2025-08-14,739.5550537109375
2025-08-15,723.24365234375
2025-08-18,723.481201171875
2025-08-19,713.999267578125
2025-08-20,713.306396484375
2025-08-21,708.6248168945312
2025-08-22,734.2993774414062
2025-08-25,731.2310791015625
2025-08-26,741.287109375
2025-08-27,741.999755859375
2025-08-28,743.5338745117188
2025-08-29,741.5736083984375
2025-09-02,727.24462890625
2025-09-03,726.9561157226562
2025-09-04,745.2056274414062
2025-09-05,734.568359375
2025-09-08,738.1903686523438
2025-09-09,760.1515502929688
2025-09-10,765.7836303710938
2025-09-11,780.85888671875
2025-09-12,776.2119140625
2025-09-15,782.87890625
2025-09-16,781.6549682617188
2025-09-17,790.3020629882812
2025-09-18,800.34228515625
2025-09-19,801.0288696289062
2025-09-22,801.5861206054688
2025-09-23,802.3424072265625
2025-09-24,788.5208740234375
2025-09-25,790.8394165039062
2025-09-26,798.5512084960938
2025-09-29,800.1531982421875
2025-09-30,792.4215087890625
2025-10-01,781.6350708007812
2025-10-02,775.5352783203125
2025-10-03,786.0829467773438
2025-10-06,792.8494873046875
2025-10-07,785.754638671875
2025-10-08,772.679443359375
2025-10-09,776.1124267578125
2025-10-10,760.58935546875
2025-10-13,782.8988037109375
2025-10-14,766.9578247070312
2025-10-15,764.1417236328125
2025-10-16,754.350341796875
2025-10-17,747.06640625
2025-10-20,759.5545043945312
2025-10-21,755.2359008789062
2025-10-22,740.9268188476562
2025-10-23,747.076416015625
2025-10-24,780.0130615234375
2025-10-27,786.0928955078125
2025-10-28,788.1826171875
2025-10-29,779.1971435546875
2025-10-30,786.2620849609375
2025-10-31,785.4760131835938
2025-11-03,781.64501953125
2025-11-04,786.9288330078125
2025-11-05,789.1776733398438
2025-11-06,783.69482421875
2025-11-07,782.4609375
2025-11-10,793.2673950195312
2025-11-11,806.3126831054688
2025-11-12,834.831298828125
2025-11-13,801.5264282226562
2025-11-14,787.0083618164062
2025-11-17,771.734130859375
2025-11-18,772.470458984375
2025-11-19,782.1126708984375
2025-11-20,769.88330078125
2025-11-21,770.211669921875
2025-11-24,786.8093872070312
2025-11-25,798.3621215820312
2025-11-26,811.9845581054688
2025-11-28,821.965087890625
2025-12-01,806.8599853515625
2025-12-02,815.2100219726562
2025-12-03,836.5700073242188
2025-12-04,837.8300170898438
2025-12-05,854.5599975585938
2025-12-08,866.6900024414062
2025-12-09,876.5800170898438
2025-12-10,889.239990234375
2025-12-11,911.030029296875
2025-12-12,887.9600219726562
2025-12-15,889.5900268554688
2025-12-16,879.1500244140625
2025-12-17,872.3300170898438
2025-12-18,876.2999877929688
2025-12-19,893.47998046875
2025-12-22,899.0
2025-12-23,901.7100219726562
2025-12-24,910.780029296875
2025-12-26,907.0399780273438
2025-12-29,892.1799926757812
2025-12-30,884.4199829101562
2025-12-31,879.0
