Date,LMT
2024-08-27,537.9705810546875
2024-08-28,541.397705078125
2024-08-29,544.15283203125
2024-08-30,545.352783203125
2024-09-03,547.5440063476562
2024-09-04,554.841796875
2024-09-05,548.8665771484375
2024-09-06,546.9744873046875
2024-09-09,556.5697021484375
2024-09-10,552.3416748046875
2024-09-11,547.2930908203125
2024-09-12,548.5576171875
2024-09-13,550.1407470703125
2024-09-16,553.0462646484375
2024-09-17,547.34130859375
2024-09-18,545.8740234375
2024-09-19,545.5747680664062
2024-09-20,552.0809326171875
2024-09-23,560.3729858398438
2024-09-24,558.5582275390625
2024-09-25,557.8922119140625
2024-09-26,557.3709106445312
2024-09-27,562.1587524414062
2024-09-30,564.2825317382812
2024-10-01,584.8436279296875
2024-10-02,582.2759399414062
2024-10-03,584.8049926757812
2024-10-04,584.1390380859375
2024-10-07,584.5347900390625
2024-10-08,586.9577026367188
2024-10-09,584.11962890625
2024-10-10,576.7639770507812
2024-10-11,583.2122802734375
2024-10-14,589.679931640625
2024-10-15,584.0134887695312
2024-10-16,591.5718994140625
2024-10-17,588.4732055664062
2024-10-18,590.5872802734375
2024-10-21,593.2901000976562
2024-10-22,556.9653930664062
2024-10-23,551.2893676757812
2024-10-24,544.6384887695312
2024-10-25,542.7849731445312
2024-10-28,535.9119873046875
2024-10-29,527.8323364257812
2024-10-30,527.0022583007812
2024-10-31,527.1083984375
2024-11-01,526.4326171875
2024-11-04,524.2606811523438
2024-11-05,527.7840576171875
2024-11-06,532.67822265625
2024-11-07,532.697509765625
2024-11-08,544.9762573242188
2024-11-11,550.7874145507812
2024-11-12,546.3277587890625
2024-11-13,538.3832397460938
2024-11-14,520.293212890625
2024-11-15,516.277587890625
2024-11-18,512.5418701171875
2024-11-19,514.7620239257812
2024-11-20,516.1810913085938
2024-11-21,523.2085571289062
2024-11-22,523.4111938476562
2024-11-25,503.78643798828125
2024-11-26,503.3617248535156
2024-11-27,507.5126037597656
2024-11-29,511.0456237792969
2024-12-02,505.4408264160156
2024-12-03,502.1964416503906
2024-12-04,502.68212890625
2024-12-05,502.66265869140625
2024-12-06,498.34014892578125
2024-12-09,495.40655517578125
2024-12-10,498.252685546875
2024-12-11,489.8017883300781
2024-12-12,482.3611145019531
2024-12-13,480.48638916015625
2024-12-16,477.5722961425781
2024-12-17,476.5620422363281
2024-12-18,469.1116638183594
2024-12-19,465.9256286621094
2024-12-20,475.017578125
2024-12-23,472.5600280761719
2024-12-24,474.1531066894531
2024-12-26,475.9501037597656
2024-12-27,474.968994140625
2024-12-30,469.52935791015625
2024-12-31,472.0257873535156
2025-01-02,468.44146728515625
2025-01-03,468.0237731933594
2025-01-06,452.6567687988281
2025-01-07,450.67510986328125
2025-01-08,455.4251403808594
2025-01-10,454.6480712890625
2025-01-13,469.3254089355469
2025-01-14,470.5881652832031
2025-01-15,470.1122131347656
2025-01-16,472.9194030761719
2025-01-17,476.2803649902344
2025-01-21,491.7931213378906
2025-01-22,485.0421142578125
2025-01-23,483.04107666015625
2025-01-24,482.7302551269531
2025-01-27,489.2675476074219
2025-01-28,444.3515625
2025-01-29,441.35003662109375
2025-01-30,446.4885559082031
2025-01-31,449.694091796875
2025-02-03,442.3797302246094
2025-02-04,440.68951416015625
2025-02-05,436.98858642578125
2025-02-06,435.6772766113281
2025-02-07,431.66552734375
2025-02-10,435.3858642578125
2025-02-11,436.4931945800781
2025-02-12,429.3148193359375
2025-02-13,422.2723693847656
2025-02-14,411.0725402832031
2025-02-18,416.26934814453125
2025-02-19,420.5530700683594
2025-02-20,423.79742431640625
2025-02-21,428.1006164550781
2025-02-24,427.6634826660156
2025-02-25,435.6189880371094
2025-02-26,428.8582458496094
2025-02-27,433.6762390136719
2025-02-28,437.4742736816406
2025-03-03,442.23974609375
2025-03-04,439.1867370605469
2025-03-05,450.53778076171875
2025-03-06,451.5945739746094
2025-03-07,463.4837951660156
2025-03-10,468.88531494140625
2025-03-11,458.8161926269531
2025-03-12,451.5945739746094
2025-03-13,457.88653564453125
2025-03-14,456.1643371582031
2025-03-17,457.5733947753906
2025-03-18,459.20758056640625
2025-03-19,460.4503173828125
2025-03-20,456.7220764160156
2025-03-21,430.2624816894531
2025-03-24,425.643798828125
2025-03-25,432.58160400390625
2025-03-26,435.6150817871094
2025-03-27,432.787109375
2025-03-28,432.0140380859375
2025-03-31,437.12200927734375
2025-04-01,439.0106201171875
2025-04-02,443.1498107910156
2025-04-03,445.018798828125
2025-04-04,422.8745422363281
2025-04-07,421.5730895996094
2025-04-08,433.8439025878906
2025-04-09,452.31866455078125
2025-04-10,453.74737548828125
2025-04-11,464.7069396972656
2025-04-14,465.1375427246094
2025-04-15,459.5011291503906
2025-04-16,466.8401794433594
2025-04-17,454.11920166015625
2025-04-21,448.49261474609375
2025-04-22,452.1621398925781
2025-04-23,453.6005859375
2025-04-24,456.7906188964844
2025-04-25,467.38818359375
2025-04-28,466.067138671875
2025-04-29,465.6659240722656
2025-04-30,467.4958190917969
2025-05-01,467.4664306640625
2025-05-02,462.65203857421875
2025-05-05,461.43865966796875
2025-05-06,458.1605529785156
2025-05-07,461.20379638671875
2025-05-08,464.34490966796875
2025-05-09,463.3565673828125
2025-05-12,463.0043029785156
2025-05-13,449.9604187011719
2025-05-14,439.53900146484375
2025-05-15,455.1564636230469
2025-05-16,458.2681884765625
2025-05-19,462.9064636230469
2025-05-20,465.60723876953125
2025-05-21,460.18609619140625
2025-05-22,460.35247802734375
2025-05-23,458.8161926269531
2025-05-27,466.6151123046875
2025-05-28,459.892578125
2025-05-29,463.5229187011719
2025-05-30,472.0263977050781
2025-06-02,471.7702331542969
2025-06-03,473.1003723144531
2025-06-04,475.11029052734375
2025-06-05,470.9918518066406
2025-06-06,474.5979919433594
2025-06-09,473.7506103515625
2025-06-10,469.87847900390625
2025-06-11,449.8774108886719
2025-06-12,462.3608093261719
2025-06-13,479.2879333496094
2025-06-16,460.1833801269531
2025-06-17,472.2825622558594
2025-06-18,461.7007141113281
2025-06-20,463.6318359375
2025-06-23,465.5038757324219
2025-06-24,453.4244079589844
2025-06-25,451.64105224609375
2025-06-26,451.1582336425781
2025-06-27,451.83807373046875
2025-06-30,456.32110595703125
2025-07-01,459.07989501953125
2025-07-02,455.7397766113281
2025-07-03,455.710205078125
2025-07-07,462.1539306640625
2025-07-08,456.1930236816406
2025-07-09,456.2422790527344
2025-07-10,457.473876953125
2025-07-11,460.62677001953125
2025-07-14,466.5975341796875
2025-07-15,463.1983337402344
2025-07-16,464.5284423828125
2025-07-17,462.2919006347656
2025-07-18,457.1289978027344
2025-07-21,453.74951171875
2025-07-22,404.6925964355469
2025-07-23,413.2152404785156
2025-07-24,414.358154296875
2025-07-25,414.96905517578125
2025-07-28,415.13653564453125
2025-07-29,413.9443359375
2025-07-30,412.5156555175781
2025-07-31,414.7818603515625
2025-08-01,414.8114013671875
2025-08-04,417.4617919921875
2025-08-05,421.9349365234375
2025-08-06,428.4476318359375
2025-08-07,424.407958984375
2025-08-08,419.36334228515625
2025-08-11,419.9841003417969
2025-08-12,425.2060546875
2025-08-13,436.053955078125
2025-08-14,430.8812561035156
2025-08-15,431.1177062988281
2025-08-18,434.1523742675781
2025-08-19,434.6056213378906
2025-08-20,439.4334411621094
2025-08-21,440.6158142089844
2025-08-22,439.6305236816406
2025-08-25,441.12811279296875
2025-08-26,448.754150390625
2025-08-27,447.77874755859375
2025-08-28,449.46356201171875
2025-08-29,448.9216613769531
2025-09-02,449.09039306640625
2025-09-03,445.6763000488281
2025-09-04,453.4076232910156
2025-09-05,460.40447998046875
2025-09-08,455.65057373046875
2025-09-09,453.61602783203125
2025-09-10,460.3747253417969
2025-09-11,467.18304443359375
2025-09-12,467.7586669921875
2025-09-15,469.6840515136719
2025-09-16,470.7459716796875
2025-09-17,469.5550231933594
2025-09-18,470.0512390136719
2025-09-19,469.3763732910156
2025-09-22,476.770263671875
2025-09-23,483.0029296875
2025-09-24,482.5860900878906
2025-09-25,480.6904602050781
2025-09-26,483.7671203613281
2025-09-29,488.2729187011719
2025-09-30,495.44842529296875
2025-10-01,495.2400207519531
2025-10-02,495.5972900390625
2025-10-03,500.6886291503906
2025-10-06,510.36517333984375
2025-10-07,507.2190856933594
2025-10-08,510.1468505859375
2025-10-09,503.93402099609375
2025-10-10,501.2444152832031
2025-10-13,500.0335998535156
2025-10-14,501.3734436035156
2025-10-15,495.6469421386719
2025-10-16,489.5333557128906
2025-10-17,491.41900634765625
2025-10-20,502.0880126953125
2025-10-21,485.81158447265625
2025-10-22,483.4693908691406
2025-10-23,484.37249755859375
2025-10-24,481.7524108886719
2025-10-27,483.2411193847656
2025-10-28,482.10968017578125
2025-10-29,481.6730041503906
2025-10-30,486.0299377441406
2025-10-31,488.1736755371094
2025-11-03,484.26336669921875
2025-11-04,481.3256530761719
2025-11-05,469.57489013671875
2025-11-06,465.3866882324219
2025-11-07,454.8963317871094
2025-11-10,448.69342041015625
2025-11-11,453.6259765625
2025-11-12,453.59619140625
2025-11-13,452.4151611328125
2025-11-14,462.2604064941406
2025-11-17,467.232666015625
2025-11-18,471.1429748535156
2025-11-19,466.36920166015625
2025-11-20,464.7316589355469
2025-11-21,457.3080139160156
2025-11-24,447.6612548828125
2025-11-25,449.0010681152344
