Date,IBM
2023-10-20,126.87016296386719
2023-10-23,126.148681640625
2023-10-24,127.45286560058594
2023-10-25,126.7961654663086
2023-10-26,132.97503662109375
2023-10-27,131.8280487060547
2023-10-30,131.9298095703125
2023-10-31,133.78900146484375
2023-11-01,134.49200439453125
2023-11-02,135.981201171875
2023-11-03,136.804443359375
2023-11-06,137.79415893554688
2023-11-07,137.6646728515625
2023-11-08,136.92469787597656
2023-11-09,137.1585693359375
2023-11-10,139.40370178222656
2023-11-13,138.54307556152344
2023-11-14,140.70399475097656
2023-11-15,142.7339324951172
2023-11-16,143.18296813964844
2023-11-17,143.02395629882812
2023-11-20,144.38973999023438
2023-11-21,143.97813415527344
2023-11-22,145.11941528320312
2023-11-24,145.1661834716797
2023-11-27,145.53103637695312
2023-11-28,145.60585021972656
2023-11-29,146.31680297851562
2023-11-30,148.3280792236328
2023-12-01,150.1896514892578
2023-12-04,150.7041473388672
2023-12-05,150.9754638671875
2023-12-06,149.93707275390625
2023-12-07,149.88095092773438
2023-12-08,151.5086669921875
2023-12-11,152.95867919921875
2023-12-12,154.0812225341797
2023-12-13,153.0615234375
2023-12-14,152.39736938476562
2023-12-15,151.76124572753906
2023-12-18,152.23834228515625
2023-12-19,151.13450622558594
2023-12-20,149.721923828125
2023-12-21,150.40481567382812
2023-12-22,151.6770782470703
2023-12-26,152.67799377441406
2023-12-27,152.91188049316406
2023-12-28,153.1831817626953
2023-12-29,152.99606323242188
2024-01-02,151.07835388183594
2024-01-03,149.76869201660156
2024-01-04,150.47964477539062
2024-01-05,148.88937377929688
2024-01-08,150.74159240722656
2024-01-09,149.74996948242188
2024-01-10,150.82577514648438
2024-01-11,151.69577026367188
2024-01-12,155.1008758544922
2024-01-16,156.18601989746094
2024-01-17,155.36279296875
2024-01-18,156.07376098632812
2024-01-19,160.41433715820312
2024-01-22,161.67721557617188
2024-01-23,162.71556091308594
2024-01-24,162.7062530517578
2024-01-25,178.14146423339844
2024-01-26,175.32574462890625
2024-01-29,175.06378173828125
2024-01-30,175.74668884277344
2024-01-31,171.80836486816406
2024-02-01,174.8392791748047
2024-02-02,173.8009033203125
2024-02-05,171.58383178710938
2024-02-06,171.57449340820312
2024-02-07,171.88320922851562
2024-02-08,174.03550720214844
2024-02-09,175.90460205078125
2024-02-12,175.73471069335938
2024-02-13,173.4124755859375
2024-02-14,173.28976440429688
2024-02-15,176.4049530029297
2024-02-16,177.13182067871094
2024-02-20,173.16705322265625
2024-02-21,169.636474609375
2024-02-22,173.89390563964844
2024-02-23,175.3193359375
2024-02-26,173.81838989257812
2024-02-27,174.51695251464844
2024-02-28,174.92288208007812
2024-02-29,174.66798400878906
2024-03-01,177.6604461669922
2024-03-04,182.24830627441406
2024-03-05,181.20045471191406
2024-03-06,185.17469787597656
2024-03-07,185.5334014892578
2024-03-08,184.97642517089844
2024-03-11,180.99276733398438
2024-03-12,186.7039337158203
2024-03-13,185.68446350097656
2024-03-14,182.59756469726562
2024-03-15,180.3697509765625
2024-03-18,180.95504760742188
2024-03-19,182.5126190185547
2024-03-20,183.09788513183594
2024-03-21,181.1532440185547
2024-03-22,180.15261840820312
2024-03-25,178.21742248535156
2024-03-26,177.94366455078125
2024-03-27,180.1148681640625
2024-03-28,180.26589965820312
2024-04-01,179.1991729736328
2024-04-02,178.30238342285156
2024-04-03,180.20924377441406
2024-04-04,177.41502380371094
2024-04-05,178.54782104492188
2024-04-08,179.1897430419922
2024-04-09,178.7082977294922
2024-04-10,175.6214141845703
2024-04-11,175.48927307128906
2024-04-12,172.06256103515625
2024-04-15,171.09967041015625
2024-04-16,173.4596710205078
2024-04-17,172.84608459472656
2024-04-18,171.307373046875
2024-04-19,171.4112091064453
2024-04-22,171.71327209472656
2024-04-23,171.98704528808594
2024-04-24,173.7900848388672
2024-04-25,159.4507598876953
2024-04-26,157.7704315185547
2024-04-29,158.0536346435547
2024-04-30,156.89248657226562
2024-05-01,155.22161865234375
2024-05-02,155.46707153320312
2024-05-03,156.42994689941406
2024-05-06,159.16754150390625
2024-05-07,158.95042419433594
2024-05-08,160.38528442382812
2024-05-09,158.5166778564453
2024-05-10,159.35565185546875
2024-05-13,159.7465362548828
2024-05-14,159.5558624267578
2024-05-15,160.41387939453125
2024-05-16,161.09078979492188
2024-05-17,161.1479949951172
2024-05-20,161.99649047851562
2024-05-21,165.38092041015625
2024-05-22,165.59068298339844
2024-05-23,162.71153259277344
2024-05-24,162.9212646484375
2024-05-28,161.74864196777344
2024-05-29,159.2603302001953
2024-05-30,157.90655517578125
2024-05-31,159.0696563720703
2024-06-03,157.57284545898438
2024-06-04,158.07810974121094
2024-06-05,159.57493591308594
2024-06-06,160.35667419433594
2024-06-07,162.082275390625
2024-06-10,162.43505859375
2024-06-11,161.4244842529297
2024-06-12,161.119384765625
2024-06-13,161.23379516601562
2024-06-14,161.31961059570312
2024-06-17,161.59608459472656
2024-06-18,162.5971221923828
2024-06-20,165.80996704101562
2024-06-21,164.41806030273438
2024-06-24,166.84913635253906
2024-06-25,164.551513671875
2024-06-26,163.85552978515625
2024-06-27,162.88311767578125
2024-06-28,164.8851776123047
2024-07-01,166.93495178222656
2024-07-02,169.0323486328125
2024-07-03,167.53555297851562
2024-07-05,167.81204223632812
2024-07-08,169.3565216064453
2024-07-09,168.25057983398438
2024-07-10,169.54718017578125
2024-07-11,169.99525451660156
2024-07-12,174.30447387695312
2024-07-15,174.35215759277344
2024-07-16,177.14552307128906
2024-07-17,178.7090606689453
2024-07-18,176.58303833007812
2024-07-19,174.70489501953125
2024-07-22,175.5629425048828
2024-07-23,175.5152587890625
2024-07-24,175.43899536132812
2024-07-25,183.02781677246094
2024-07-26,182.8085479736328
2024-07-29,182.5701904296875
2024-07-30,182.1316375732422
2024-07-31,183.1803436279297
2024-08-01,180.8159942626953
2024-08-02,180.30116271972656
2024-08-05,174.76210021972656
2024-08-06,178.08937072753906
2024-08-07,178.08937072753906
2024-08-08,183.62844848632812
2024-08-09,184.118896484375
2024-08-12,182.2243194580078
2024-08-13,183.676513671875
2024-08-14,184.95559692382812
2024-08-15,186.52316284179688
2024-08-16,186.35968017578125
2024-08-19,187.2733154296875
2024-08-20,188.52352905273438
2024-08-21,189.65835571289062
2024-08-22,188.45620727539062
2024-08-23,188.59085083007812
2024-08-26,190.3988494873047
2024-08-27,191.12013244628906
2024-08-28,190.8604736328125
2024-08-29,191.2836151123047
2024-08-30,194.38995361328125
2024-09-03,193.57247924804688
2024-09-04,196.29412841796875
2024-09-05,194.8323211669922
2024-09-06,193.0531768798828
2024-09-09,195.73631286621094
2024-09-10,197.45779418945312
2024-09-11,201.85279846191406
2024-09-12,203.50694274902344
2024-09-13,206.56515502929688
2024-09-16,208.8444061279297
2024-09-17,205.93043518066406
2024-09-18,206.7094268798828
2024-09-19,205.69961547851562
2024-09-20,209.3637237548828
2024-09-23,212.05650329589844
2024-09-24,212.50851440429688
2024-09-25,212.75856018066406
2024-09-26,214.87428283691406
2024-09-27,212.38348388671875
2024-09-30,212.61431884765625
2024-10-01,210.95054626464844
2024-10-02,211.3159942626953
2024-10-03,214.19149780273438
2024-10-04,217.34591674804688
2024-10-07,218.42300415039062
2024-10-08,219.86557006835938
2024-10-09,225.3280792236328
2024-10-10,224.09710693359375
