Date,JNJ
2024-08-09,152.6326904296875
2024-08-12,151.9295196533203
2024-08-13,150.5135955810547
2024-08-14,150.59910583496094
2024-08-15,151.17880249023438
2024-08-16,151.46388244628906
2024-08-19,151.6919403076172
2024-08-20,152.19558715820312
2024-08-21,153.40243530273438
2024-08-22,154.27670288085938
2024-08-23,155.96817016601562
2024-08-26,156.42430114746094
2024-08-27,156.0221405029297
2024-08-28,156.95089721679688
2024-08-29,157.2477264404297
2024-08-30,158.8084259033203
2024-09-03,160.0531768798828
2024-09-04,160.24465942382812
2024-09-05,157.97543334960938
2024-09-06,157.39137268066406
2024-09-09,159.52655029296875
2024-09-10,160.26380920410156
2024-09-11,157.81265258789062
2024-09-12,157.6403045654297
2024-09-13,158.48287963867188
2024-09-16,159.89039611816406
2024-09-17,159.9669952392578
2024-09-18,159.0861053466797
2024-09-19,157.81265258789062
2024-09-20,157.1807403564453
2024-09-23,156.28067016601562
2024-09-24,155.859375
2024-09-25,153.77206420898438
2024-09-26,154.5284881591797
2024-09-27,154.53805541992188
2024-09-30,155.16998291015625
2024-10-01,155.1029815673828
2024-10-02,154.3178253173828
2024-10-03,153.67633056640625
2024-10-04,153.47523498535156
2024-10-07,152.74757385253906
2024-10-08,152.9007568359375
2024-10-09,153.81991577148438
2024-10-10,153.68588256835938
2024-10-11,154.5955047607422
2024-10-14,154.72955322265625
2024-10-15,157.12326049804688
2024-10-16,157.29559326171875
2024-10-17,157.47752380371094
2024-10-18,158.09988403320312
2024-10-21,155.90724182128906
2024-10-22,156.5009002685547
2024-10-23,158.8084259033203
2024-10-24,156.71153259277344
2024-10-25,154.04017639160156
2024-10-28,154.72955322265625
2024-10-29,153.2837371826172
2024-10-30,153.78164672851562
2024-10-31,153.06353759765625
2024-11-01,153.32205200195312
2024-11-04,151.51239013671875
2024-11-05,151.6177215576172
2024-11-06,151.16769409179688
2024-11-07,150.0666046142578
2024-11-08,148.86016845703125
2024-11-11,148.44842529296875
2024-11-12,146.15049743652344
2024-11-13,146.7249755859375
2024-11-14,145.4132080078125
2024-11-15,147.45265197753906
2024-11-18,148.18994140625
2024-11-19,146.4951934814453
2024-11-20,146.60049438476562
2024-11-21,148.88890075683594
2024-11-22,148.57290649414062
2024-11-25,149.15699768066406
2024-11-26,149.13768005371094
2024-11-27,149.98703002929688
2024-11-29,149.61062622070312
2024-12-02,149.40794372558594
2024-12-03,147.0529327392578
2024-12-04,145.228759765625
2024-12-05,144.31185913085938
2024-12-06,144.10916137695312
2024-12-09,144.38906860351562
2024-12-10,144.03195190429688
2024-12-11,141.5321502685547
2024-12-12,141.14610290527344
2024-12-13,141.5128631591797
2024-12-16,138.83934020996094
2024-12-17,141.3101806640625
2024-12-18,139.70799255371094
2024-12-19,138.57876586914062
2024-12-20,139.43775939941406
2024-12-23,140.2098846435547
2024-12-24,140.7696990966797
2024-12-26,140.50909423828125
2024-12-27,139.99754333496094
2024-12-30,138.3471221923828
2024-12-31,139.58251953125
2025-01-02,139.00343322753906
2025-01-03,139.16751098632812
2025-01-06,138.6559600830078
2025-01-07,141.13644409179688
2025-01-08,137.31439208984375
2025-01-10,137.11167907714844
2025-01-13,139.43775939941406
2025-01-14,139.70799255371094
2025-01-15,139.9203338623047
2025-01-16,142.62283325195312
2025-01-17,141.90858459472656
2025-01-21,142.9895782470703
2025-01-22,140.2098846435547
2025-01-23,141.5321502685547
2025-01-24,141.70590209960938
2025-01-27,147.564453125
2025-01-28,145.14187622070312
2025-01-29,145.88507080078125
2025-01-30,147.54515075683594
2025-01-31,146.85025024414062
2025-02-03,146.57998657226562
2025-02-04,148.14356994628906
2025-02-05,149.3017578125
2025-02-06,148.16285705566406
2025-02-07,147.7864532470703
2025-02-10,148.86744689941406
2025-02-11,150.6916046142578
2025-02-12,149.85189819335938
2025-02-13,151.7725830078125
2025-02-14,150.71087646484375
2025-02-18,150.7887420654297
2025-02-19,153.61012268066406
2025-02-20,155.35159301757812
2025-02-21,157.9005889892578
2025-02-24,159.3015594482422
2025-02-25,161.5878448486328
2025-02-26,158.65945434570312
2025-02-27,159.29180908203125
2025-02-28,160.54685974121094
2025-03-03,162.74559020996094
2025-03-04,160.93601989746094
2025-03-05,160.64414978027344
2025-03-06,161.3349151611328
2025-03-07,162.1715850830078
2025-03-10,163.15420532226562
2025-03-11,161.36407470703125
2025-03-12,158.43568420410156
2025-03-13,158.5718994140625
2025-03-14,158.39675903320312
2025-03-17,158.4259490966797
2025-03-18,159.7977294921875
2025-03-19,158.5718994140625
2025-03-20,158.60105895996094
2025-03-21,159.19454956054688
2025-03-24,158.86373901367188
2025-03-25,156.65528869628906
2025-03-26,157.3363037109375
2025-03-27,158.70809936523438
2025-03-28,159.2723846435547
2025-03-31,161.34461975097656
2025-04-01,149.0959014892578
2025-04-02,151.14869689941406
2025-04-03,155.4878387451172
2025-04-04,149.086181640625
2025-04-07,146.53717041015625
2025-04-08,145.93399047851562
2025-04-09,146.87771606445312
2025-04-10,144.6595001220703
2025-04-11,147.61709594726562
2025-04-14,150.17581176757812
2025-04-15,149.45587158203125
2025-04-16,149.73800659179688
2025-04-17,153.20150756835938
2025-04-21,152.6664276123047
2025-04-22,153.4739227294922
2025-04-23,151.16818237304688
2025-04-24,150.73036193847656
2025-04-25,150.38986206054688
2025-04-28,151.1389923095703
2025-04-29,151.68380737304688
2025-04-30,152.0729522705078
2025-05-01,150.27310180664062
2025-05-02,151.88809204101562
2025-05-05,150.7984619140625
2025-05-06,150.2828369140625
2025-05-07,153.03611755371094
2025-05-08,151.44058227539062
2025-05-09,150.03961181640625
2025-05-12,149.96177673339844
2025-05-13,144.41627502441406
2025-05-14,142.39266967773438
2025-05-15,145.5545654296875
2025-05-16,147.22793579101562
2025-05-19,148.35650634765625
2025-05-20,149.49478149414062
2025-05-21,149.02780151367188
2025-05-22,148.47325134277344
2025-05-23,148.79429626464844
2025-05-27,150.37408447265625
2025-05-28,149.56947326660156
2025-05-29,150.69789123535156
2025-05-30,152.2973175048828
2025-06-02,152.48373413085938
2025-06-03,151.5221405029297
2025-06-04,150.3446502685547
2025-06-05,150.77638244628906
2025-06-06,152.12069702148438
2025-06-09,152.31690979003906
2025-06-10,153.51405334472656
2025-06-11,152.3463592529297
2025-06-12,153.7200927734375
2025-06-13,154.15184020996094
2025-06-16,152.30712890625
2025-06-17,149.5204315185547
2025-06-18,147.9013671875
2025-06-20,146.97901916503906
2025-06-23,148.48031616210938
2025-06-24,149.333984375
2025-06-25,149.42230224609375
2025-06-26,149.1573486328125
2025-06-27,149.5498504638672
2025-06-30,149.8834686279297
2025-07-01,152.99398803710938
2025-07-02,152.6407470703125
2025-07-03,153.08229064941406
2025-07-07,152.35618591308594
2025-07-08,152.8664093017578
2025-07-09,153.34722900390625
2025-07-10,154.73077392578125
2025-07-11,153.95559692382812
2025-07-14,153.87709045410156
2025-07-15,152.258056640625
2025-07-16,161.68772888183594
2025-07-17,159.92149353027344
2025-07-18,160.6279754638672
2025-07-21,161.2755889892578
2025-07-22,164.77859497070312
2025-07-23,165.92666625976562
2025-07-24,166.3780059814453
2025-07-25,165.14166259765625
2025-07-28,163.10069274902344
2025-07-29,164.95523071289062
2025-07-30,164.1211700439453
2025-07-31,161.6484832763672
2025-08-01,164.1898651123047
2025-08-04,167.83023071289062
2025-08-05,167.53585815429688
2025-08-06,167.388671875
2025-08-07,168.31103515625
2025-08-08,170.0772705078125
2025-08-11,170.55809020996094
2025-08-12,169.53758239746094
2025-08-13,171.1468048095703
2025-08-14,171.44117736816406
2025-08-15,173.32516479492188
2025-08-18,172.94247436523438
2025-08-19,174.46339416503906
2025-08-20,175.48385620117188
2025-08-21,175.57217407226562
2025-08-22,175.9254150390625
2025-08-25,175.0619354248047
2025-08-26,174.44911193847656
2025-08-27,174.74563598632812
2025-08-28,173.42112731933594
2025-08-29,175.12124633789062
2025-09-02,176.00094604492188
2025-09-03,175.94163513183594
2025-09-04,176.69285583496094
2025-09-05,176.36666870117188
2025-09-08,176.0701446533203
2025-09-09,174.91368103027344
2025-09-10,173.75718688964844
2025-09-11,176.4358673095703
2025-09-12,176.00094604492188
2025-09-15,175.34857177734375
2025-09-16,174.41946411132812
2025-09-17,175.15089416503906
2025-09-18,172.14605712890625
2025-09-19,174.152587890625
2025-09-22,172.1954803466797
2025-09-23,174.53805541992188
2025-09-24,174.64678955078125
2025-09-25,175.6747589111328
2025-09-26,177.6318817138672
2025-09-29,179.519775390625
2025-09-30,183.27584838867188
2025-10-01,183.89854431152344
2025-10-02,183.82936096191406
2025-10-03,186.45860290527344
2025-10-06,185.98416137695312
2025-10-07,186.70570373535156
2025-10-08,187.4964599609375
2025-10-09,188.87039184570312
2025-10-10,188.51455688476562
2025-10-13,188.69247436523438
2025-10-14,188.64305114746094
2025-10-15,188.9593505859375
2025-10-16,189.8983612060547
2025-10-17,190.98565673828125
2025-10-20,191.4798583984375
2025-10-21,189.66114807128906
2025-10-22,190.70889282226562
2025-10-23,190.24432373046875
2025-10-24,188.1982421875
2025-10-27,188.0994110107422
2025-10-28,184.7683868408203
2025-10-29,184.44219970703125
2025-10-30,186.86387634277344
2025-10-31,186.68594360351562
2025-11-03,184.1061248779297
2025-11-04,184.69918823242188
2025-11-05,183.84913635253906
2025-11-06,184.80792236328125
2025-11-07,184.4125518798828
2025-11-10,186.2312774658203
2025-11-11,191.58859252929688
2025-11-12,192.14210510253906
2025-11-13,192.99217224121094
2025-11-14,193.664306640625
2025-11-17,197.27210998535156
2025-11-18,197.68724060058594
2025-11-19,200.168212890625
2025-11-20,200.72174072265625
2025-11-21,201.54214477539062
2025-11-24,203.6672821044922
2025-11-25,205.57713317871094
2025-11-26,206.46241760253906
2025-11-28,205.8258056640625
2025-12-01,204.254150390625
2025-12-02,204.333740234375
2025-12-03,204.2442169189453
2025-12-04,201.40928649902344
2025-12-05,200.8621826171875
2025-12-08,200.5538330078125
2025-12-09,198.90261840820312
2025-12-10,205.44781494140625
2025-12-11,208.8994598388672
2025-12-12,210.46116638183594
2025-12-15,213.03746032714844
2025-12-16,208.19322204589844
2025-12-17,209.2177734375
2025-12-18,207.2084503173828
2025-12-19,205.27871704101562
2025-12-22,206.22369384765625
2025-12-23,204.69183349609375
2025-12-24,206.68125915527344
2025-12-26,206.5320587158203
2025-12-29,206.46241760253906
2025-12-30,205.81585693359375
2025-12-31,205.85565185546875
