Date,UPS
2024-09-09,117.48680877685547
2024-09-10,118.35282135009766
2024-09-11,117.14039611816406
2024-09-12,117.06746673583984
2024-09-13,115.99179077148438
2024-09-16,117.51415252685547
2024-09-17,119.1003189086914
2024-09-18,119.1003189086914
2024-09-19,120.44950866699219
2024-09-20,117.23155975341797
2024-09-23,117.35919189453125
2024-09-24,118.07023620605469
2024-09-25,119.88430786132812
2024-09-26,121.54342651367188
2024-09-27,122.39119720458984
2024-09-30,124.2873306274414
2024-10-01,121.48871612548828
2024-10-02,121.25170135498047
2024-10-03,119.1641616821289
2024-10-04,119.64728546142578
2024-10-07,119.60172271728516
2024-10-08,119.38294219970703
2024-10-09,121.24259185791016
2024-10-10,121.09673309326172
2024-10-11,122.7011489868164
2024-10-14,122.6738052368164
2024-10-15,121.97187042236328
2024-10-16,123.83152770996094
2024-10-17,123.43953704833984
2024-10-18,123.91356658935547
2024-10-21,119.72021484375
2024-10-22,119.72021484375
2024-10-23,119.79315185546875
2024-10-24,126.11965942382812
2024-10-25,125.28095245361328
2024-10-28,123.37572479248047
2024-10-29,122.43679809570312
2024-10-30,121.97187042236328
2024-10-31,122.2088851928711
2024-11-01,122.19977569580078
2024-11-04,121.24259185791016
2024-11-05,122.00833129882812
2024-11-06,122.08125305175781
2024-11-07,122.29093933105469
2024-11-08,120.73210144042969
2024-11-11,119.97547912597656
2024-11-12,118.63542175292969
2024-11-13,121.86248016357422
2024-11-14,120.91441345214844
2024-11-15,122.21800994873047
2024-11-18,124.70037841796875
2024-11-19,122.9193344116211
2024-11-20,121.89501953125
2024-11-21,121.2305679321289
2024-11-22,124.414306640625
2024-11-25,126.92436218261719
2024-11-26,124.54348754882812
2024-11-27,125.20793151855469
2024-11-29,125.24484252929688
2024-12-02,123.6760482788086
2024-12-03,119.69871520996094
2024-12-04,118.8404769897461
2024-12-05,117.74232482910156
2024-12-06,115.91514587402344
2024-12-09,118.60977935791016
2024-12-10,120.16934967041016
2024-12-11,119.15423583984375
2024-12-12,119.02503967285156
2024-12-13,118.822021484375
2024-12-16,118.62824249267578
2024-12-17,117.49317169189453
2024-12-18,114.26329803466797
2024-12-19,113.1836166381836
2024-12-20,115.97974395751953
2024-12-23,116.04434967041016
2024-12-24,116.51498413085938
2024-12-26,116.60726165771484
2024-12-27,116.37655639648438
2024-12-30,115.64753723144531
2024-12-31,116.3673324584961
2025-01-02,114.3094482421875
2025-01-03,114.23563385009766
2025-01-06,114.62320709228516
2025-01-07,115.33377838134766
2025-01-08,116.97638702392578
2025-01-10,113.76498413085938
2025-01-13,115.36145782470703
2025-01-14,116.12739562988281
2025-01-15,117.63159942626953
2025-01-16,119.91094970703125
2025-01-17,119.71715545654297
2025-01-21,122.61479187011719
2025-01-22,122.31950378417969
2025-01-23,123.29769897460938
2025-01-24,122.762451171875
2025-01-27,125.7431640625
2025-01-28,124.96798706054688
2025-01-29,123.45458221435547
2025-01-30,106.03176879882812
2025-01-31,105.41349029541016
2025-02-03,102.70039367675781
2025-02-04,103.14335632324219
2025-02-05,103.2633285522461
2025-02-06,104.7121353149414
2025-02-07,104.37992858886719
2025-02-10,105.34888458251953
2025-02-11,105.69032287597656
2025-02-12,105.44116973876953
2025-02-13,106.71466064453125
2025-02-14,107.24989318847656
2025-02-18,108.03614044189453
2025-02-19,107.64302825927734
2025-02-20,109.14065551757812
2025-02-21,108.887939453125
2025-02-24,108.72881317138672
2025-02-25,110.55406951904297
2025-02-26,109.412109375
2025-02-27,110.10476684570312
2025-02-28,111.41520690917969
2025-03-03,111.63050079345703
2025-03-04,109.31851196289062
2025-03-05,111.40584564208984
2025-03-06,112.79116821289062
2025-03-07,113.83951568603516
2025-03-10,112.90348815917969
2025-03-11,108.916015625
2025-03-12,107.88639068603516
2025-03-13,107.85831451416016
2025-03-14,109.29043579101562
2025-03-17,110.50725555419922
2025-03-18,111.25608825683594
2025-03-19,109.95500946044922
2025-03-20,109.49635314941406
2025-03-21,107.73662567138672
2025-03-24,108.39183807373047
2025-03-25,102.91608428955078
2025-03-26,103.90827178955078
2025-03-27,103.90827178955078
2025-03-28,102.64464569091797
2025-03-31,102.95352935791016
2025-04-01,102.27023315429688
2025-04-02,103.15009307861328
2025-04-03,93.71495056152344
2025-04-04,91.4591293334961
2025-04-07,89.44667053222656
2025-04-08,86.03953552246094
2025-04-09,93.28437805175781
2025-04-10,90.38269805908203
2025-04-11,90.86943817138672
2025-04-14,92.35771179199219
2025-04-15,90.3265380859375
2025-04-16,88.17366790771484
2025-04-17,90.2610092163086
2025-04-21,90.09253692626953
2025-04-22,90.644775390625
2025-04-23,90.9911117553711
2025-04-24,92.59172821044922
2025-04-25,91.64633178710938
2025-04-28,90.87879180908203
2025-04-29,90.54182434082031
2025-04-30,89.20330047607422
2025-05-01,88.54808044433594
2025-05-02,90.2329330444336
2025-05-05,89.44667053222656
2025-05-06,87.8086166381836
2025-05-07,87.94902801513672
2025-05-08,90.74774169921875
2025-05-09,89.75556182861328
2025-05-12,94.73521423339844
2025-05-13,93.4247817993164
2025-05-14,93.27501678466797
2025-05-15,93.93023681640625
2025-05-16,94.83818054199219
2025-05-19,94.29586791992188
2025-05-20,92.8116455078125
2025-05-21,91.19422149658203
2025-05-22,92.25981903076172
2025-05-23,90.73753356933594
2025-05-27,92.8116455078125
2025-05-28,92.04098510742188
2025-05-29,93.33493041992188
2025-05-30,92.80213165283203
2025-06-02,92.6308822631836
2025-06-03,93.31590270996094
2025-06-04,93.76307678222656
2025-06-05,92.16468048095703
2025-06-06,93.47764587402344
2025-06-09,94.48614501953125
2025-06-10,97.483154296875
2025-06-11,96.24629211425781
2025-06-12,96.01795196533203
2025-06-13,95.14263916015625
2025-06-16,96.17969512939453
2025-06-17,94.82865905761719
2025-06-18,94.3910140991211
2025-06-20,94.4480972290039
2025-06-23,95.52320861816406
2025-06-24,95.73252868652344
2025-06-25,94.54324340820312
2025-06-26,95.71349334716797
2025-06-27,96.26531982421875
2025-06-30,96.03697967529297
2025-07-01,99.39551544189453
2025-07-02,100.41354370117188
2025-07-03,99.07202911376953
2025-07-07,95.95134735107422
2025-07-08,97.40702819824219
2025-07-09,97.1882095336914
2025-07-10,97.92080688476562
2025-07-11,96.35094451904297
2025-07-14,95.2568130493164
2025-07-15,94.69547271728516
2025-07-16,94.79061889648438
2025-07-17,94.66693115234375
2025-07-18,94.40052795410156
2025-07-21,94.09607696533203
2025-07-22,96.22725677490234
2025-07-23,98.50117492675781
2025-07-24,97.54975128173828
2025-07-25,98.52971649169922
2025-07-28,96.64588928222656
2025-07-29,86.42757415771484
2025-07-30,82.94535827636719
2025-07-31,81.97489929199219
2025-08-01,80.3955307006836
2025-08-04,80.89027404785156
2025-08-05,82.56478881835938
2025-08-06,82.0605239868164
2025-08-07,82.28887176513672
2025-08-08,82.46012878417969
2025-08-11,82.11760711669922
2025-08-12,83.18321228027344
2025-08-13,83.89677429199219
2025-08-14,84.24880981445312
2025-08-15,84.18221282958984
2025-08-18,83.8623046875
2025-08-19,85.11283111572266
2025-08-20,84.27914428710938
2025-08-21,83.51332092285156
2025-08-22,86.10160827636719
2025-08-25,85.05465698242188
2025-08-26,84.78323364257812
2025-08-27,85.17098999023438
2025-08-28,84.59903717041016
2025-08-29,84.76384735107422
2025-09-02,82.6214828491211
2025-09-03,82.67964935302734
2025-09-04,81.89443969726562
2025-09-05,82.43729400634766
2025-09-08,81.73932647705078
2025-09-09,81.81688690185547
2025-09-10,81.28372192382812
2025-09-11,82.05924224853516
2025-09-12,81.7684097290039
2025-09-15,81.4485092163086
2025-09-16,82.59239959716797
2025-09-17,81.60362243652344
2025-09-18,82.44699096679688
2025-09-19,81.48728942871094
2025-09-22,81.65209197998047
2025-09-23,81.82658386230469
2025-09-24,81.33219146728516
2025-09-25,80.0525894165039
2025-09-26,81.15769958496094
2025-09-29,81.91382598876953
2025-09-30,80.9735107421875
2025-10-01,81.79749298095703
2025-10-02,82.9510726928711
2025-10-03,84.1240463256836
2025-10-06,83.96894073486328
2025-10-07,83.3485336303711
2025-10-08,83.61026000976562
2025-10-09,82.66995239257812
2025-10-10,80.33370971679688
2025-10-13,80.63422393798828
2025-10-14,81.47760009765625
2025-10-15,81.51636505126953
2025-10-16,83.01893615722656
2025-10-17,83.76537322998047
2025-10-20,84.25006866455078
2025-10-21,85.3648681640625
2025-10-22,84.41486358642578
2025-10-23,84.36639404296875
2025-10-24,84.55058288574219
2025-10-27,86.48936462402344
2025-10-28,93.41084289550781
2025-10-29,94.41901397705078
2025-10-30,92.15062713623047
2025-10-31,93.46900177001953
2025-11-03,91.21031188964844
2025-11-04,90.39602661132812
2025-11-05,90.06643676757812
2025-11-06,90.73531341552734
2025-11-07,93.01338958740234
2025-11-10,90.21183776855469
2025-11-11,92.12154388427734
2025-11-12,93.2363510131836
2025-11-13,93.03278350830078
2025-11-14,93.04248046875
2025-11-17,92.89453125
2025-11-18,91.55323791503906
2025-11-19,91.1390151977539
2025-11-20,89.62020111083984
2025-11-21,93.35807037353516
2025-11-24,92.273193359375
2025-11-25,93.23971557617188
2025-11-26,94.35417175292969
2025-11-28,94.47252655029297
2025-12-01,93.91036987304688
2025-12-02,94.26541900634766
2025-12-03,96.85923767089844
2025-12-04,93.45669555664062
2025-12-05,93.565185546875
2025-12-08,94.23583221435547
2025-12-09,95.63629913330078
2025-12-10,98.26957702636719
2025-12-11,99.0980224609375
2025-12-12,99.53196716308594
2025-12-15,98.69365692138672
2025-12-16,98.73310852050781
2025-12-17,99.57141876220703
2025-12-18,100.67601776123047
2025-12-19,100.5182113647461
2025-12-22,99.34458923339844
2025-12-23,98.81201171875
2025-12-24,99.27555084228516
2025-12-26,99.15719604492188
2025-12-29,98.30902099609375
2025-12-30,98.26957702636719
2025-12-31,97.82576751708984
