Date,SPG
2024-01-24,128.09371948242188
2024-01-25,129.30685424804688
2024-01-26,128.5192108154297
2024-01-29,128.31097412109375
2024-01-30,126.05675506591797
2024-01-31,125.48638916015625
2024-02-01,126.20155334472656
2024-02-02,124.87982940673828
2024-02-05,123.83868408203125
2024-02-06,129.8137969970703
2024-02-07,129.8590850830078
2024-02-08,130.4565887451172
2024-02-09,133.0186309814453
2024-02-12,131.9051055908203
2024-02-13,129.9315185546875
2024-02-14,129.33396911621094
2024-02-15,133.98731994628906
2024-02-16,135.7617645263672
2024-02-20,134.80210876464844
2024-02-21,136.05145263671875
2024-02-22,137.16500854492188
2024-02-23,136.11485290527344
2024-02-26,135.37245178222656
2024-02-27,135.52638244628906
2024-02-28,135.67123413085938
2024-02-29,134.11410522460938
2024-03-01,136.1963348388672
2024-03-04,137.9797821044922
2024-03-05,135.67123413085938
2024-03-06,137.89833068847656
2024-03-07,137.2838897705078
2024-03-08,138.4393768310547
2024-03-11,137.3756103515625
2024-03-12,138.10923767089844
2024-03-13,138.92543029785156
2024-03-14,136.97207641601562
2024-03-15,138.26515197753906
2024-03-18,139.34727478027344
2024-03-19,141.31895446777344
2024-03-20,142.51112365722656
2024-03-21,142.8871307373047
2024-03-22,139.2647247314453
2024-03-25,138.5310821533203
2024-03-26,138.17343139648438
2024-03-27,141.5298614501953
2024-03-28,143.5107421875
2024-04-01,140.75035095214844
2024-04-02,137.59568786621094
2024-04-03,137.32974243164062
2024-04-04,135.6790313720703
2024-04-05,137.69656372070312
2024-04-08,137.88914489746094
2024-04-09,137.73324584960938
2024-04-10,133.47808837890625
2024-04-11,134.679443359375
2024-04-12,132.79945373535156
2024-04-15,130.58016967773438
2024-04-16,128.70936584472656
2024-04-17,129.2504425048828
2024-04-18,128.72772216796875
2024-04-19,128.79190063476562
2024-04-22,130.59854125976562
2024-04-23,131.85488891601562
2024-04-24,130.96534729003906
2024-04-25,130.89198303222656
2024-04-26,130.55267333984375
2024-04-29,132.8177947998047
2024-04-30,128.8744354248047
2024-05-01,128.553466796875
2024-05-02,129.6356201171875
2024-05-03,131.0753936767578
2024-05-06,132.4601593017578
2024-05-07,135.6790313720703
2024-05-08,135.61483764648438
2024-05-09,136.76116943359375
2024-05-10,135.46812438964844
2024-05-13,134.7803192138672
2024-05-14,137.13714599609375
2024-05-15,137.78826904296875
2024-05-16,136.33013916015625
2024-05-17,136.44937133789062
2024-05-20,134.23008728027344
2024-05-21,135.69737243652344
2024-05-22,134.06500244140625
2024-05-23,132.66192626953125
2024-05-24,135.61483764648438
2024-05-28,134.97288513183594
2024-05-29,134.89952087402344
2024-05-30,136.1283721923828
2024-05-31,138.76034545898438
2024-06-03,139.02630615234375
2024-06-04,139.82412719726562
2024-06-05,140.7228546142578
2024-06-06,141.02548217773438
2024-06-07,141.0347900390625
2024-06-10,141.26707458496094
2024-06-11,140.09634399414062
2024-06-12,142.30772399902344
2024-06-13,141.10911560058594
2024-06-14,138.28451538085938
2024-06-17,137.2067108154297
2024-06-18,136.50985717773438
2024-06-20,135.87802124023438
2024-06-21,135.80369567871094
2024-06-24,139.78973388671875
2024-06-25,137.39254760742188
2024-06-26,137.1323699951172
2024-06-27,139.19508361816406
2024-06-28,141.04408264160156
2024-07-01,136.13821411132812
2024-07-02,137.3089141845703
2024-07-03,137.75491333007812
2024-07-05,135.73866271972656
2024-07-08,136.46339416503906
2024-07-09,137.11378479003906
2024-07-10,137.92214965820312
2024-07-11,138.25665283203125
2024-07-12,138.88845825195312
2024-07-15,139.42733764648438
2024-07-16,140.7746124267578
2024-07-17,143.92440795898438
2024-07-18,142.26126098632812
2024-07-19,142.57716369628906
2024-07-22,146.56320190429688
2024-07-23,145.70838928222656
2024-07-24,139.2694091796875
2024-07-25,138.7305145263672
2024-07-26,141.64801025390625
2024-07-29,142.0010986328125
2024-07-30,143.84078979492188
2024-07-31,142.56788635253906
2024-08-01,142.56788635253906
2024-08-02,140.3657989501953
2024-08-05,137.55978393554688
2024-08-06,144.51905822753906
2024-08-07,142.084716796875
2024-08-08,144.16598510742188
2024-08-09,147.42730712890625
2024-08-12,142.25198364257812
2024-08-13,144.8721466064453
2024-08-14,145.70838928222656
2024-08-15,146.6746826171875
2024-08-16,145.5968780517578
2024-08-19,148.56085205078125
2024-08-20,148.10557556152344
2024-08-21,149.7222900390625
2024-08-22,150.7164764404297
2024-08-23,154.70248413085938
2024-08-26,155.50155639648438
2024-08-27,156.1426544189453
2024-08-28,155.82676696777344
2024-08-29,153.77333068847656
2024-08-30,155.49227905273438
2024-09-03,152.3052978515625
2024-09-04,153.38308715820312
2024-09-05,152.546875
2024-09-06,152.84422302246094
2024-09-09,152.35494995117188
2024-09-10,154.26492309570312
2024-09-11,153.71923828125
2024-09-12,154.0579376220703
2024-09-13,154.32138061523438
2024-09-16,155.1493377685547
2024-09-17,154.63186645507812
2024-09-18,154.63186645507812
2024-09-19,157.18162536621094
2024-09-20,156.7017822265625
2024-09-23,158.2071533203125
2024-09-24,160.05126953125
2024-09-25,159.1009979248047
2024-09-26,156.57003784179688
2024-09-27,157.79319763183594
2024-09-30,159.02572631835938
2024-10-01,159.52439880371094
2024-10-02,158.5740966796875
2024-10-03,158.3953399658203
2024-10-04,159.55259704589844
2024-10-07,157.59559631347656
2024-10-08,157.341552734375
2024-10-09,159.22329711914062
2024-10-10,157.9060821533203
2024-10-11,160.681640625
2024-10-14,161.52841186523438
2024-10-15,164.3040008544922
2024-10-16,164.68035888671875
2024-10-17,164.04055786132812
2024-10-18,166.45858764648438
2024-10-21,163.90884399414062
2024-10-22,164.510986328125
2024-10-23,163.54190063476562
2024-10-24,163.14674377441406
2024-10-25,160.43704223632812
2024-10-28,162.3187713623047
2024-10-29,161.81068420410156
2024-10-30,161.90478515625
2024-10-31,159.1197967529297
2024-11-01,157.7837677001953
2024-11-04,161.98004150390625
2024-11-05,164.07818603515625
2024-11-06,163.34429931640625
2024-11-07,165.35775756835938
2024-11-08,168.43441772460938
2024-11-11,170.6172332763672
2024-11-12,167.68170166015625
2024-11-13,168.57554626464844
2024-11-14,167.7664031982422
2024-11-15,169.61050415039062
2024-11-18,170.15621948242188
2024-11-19,170.4949188232422
2024-11-20,170.21266174316406
2024-11-21,171.05003356933594
2024-11-22,170.42906188964844
2024-11-25,169.4599609375
2024-11-26,172.6118621826172
2024-11-27,172.88473510742188
2024-11-29,172.74359130859375
2024-12-02,170.6454620361328
2024-12-03,169.94921875
2024-12-04,170.77716064453125
2024-12-05,171.1253204345703
2024-12-06,172.9694061279297
2024-12-09,173.321533203125
2024-12-10,170.58053588867188
2024-12-11,168.1060028076172
2024-12-12,168.64849853515625
2024-12-13,170.93267822265625
2024-12-16,173.15023803710938
2024-12-17,171.27532958984375
2024-12-18,163.2331085205078
2024-12-19,161.0916748046875
2024-12-20,163.32826232910156
2024-12-23,163.109375
2024-12-24,164.9842987060547
2024-12-26,165.41259765625
2024-12-27,163.70895385742188
2024-12-30,162.6239776611328
2024-12-31,163.89932250976562
2025-01-02,165.15560913085938
2025-01-03,167.5730438232422
2025-01-06,165.99314880371094
2025-01-07,165.76470947265625
2025-01-08,166.25962829589844
2025-01-10,162.70965576171875
2025-01-13,164.46084594726562
2025-01-14,165.1936798095703
2025-01-15,163.46151733398438
2025-01-16,164.37518310546875
2025-01-17,165.73617553710938
2025-01-21,167.46835327148438
2025-01-22,164.55601501464844
2025-01-23,166.42141723632812
2025-01-24,165.8408660888672
2025-01-27,168.17262268066406
2025-01-28,167.14474487304688
2025-01-29,165.2507781982422
2025-01-30,167.30653381347656
2025-01-31,165.4696807861328
2025-02-03,165.04141235351562
2025-02-04,164.9842987060547
2025-02-05,170.46632385253906
2025-02-06,171.4751739501953
2025-02-07,171.25625610351562
2025-02-10,171.84634399414062
2025-02-11,175.48202514648438
2025-02-12,175.00613403320312
2025-02-13,177.2332000732422
2025-02-14,176.1196746826172
2025-02-18,177.0618896484375
2025-02-19,176.9571990966797
2025-02-20,177.69955444335938
2025-02-21,174.92999267578125
2025-02-24,175.73898315429688
2025-02-25,174.92999267578125
2025-02-26,175.3487548828125
2025-02-27,173.76885986328125
2025-02-28,177.10948181152344
2025-03-03,178.71791076660156
2025-03-04,174.72061157226562
2025-03-05,174.53025817871094
2025-03-06,166.11685180664062
2025-03-07,162.84288024902344
2025-03-10,159.26803588867188
2025-03-11,157.5239715576172
2025-03-12,159.78839111328125
2025-03-13,153.6697235107422
2025-03-14,155.33670043945312
2025-03-17,160.78085327148438
2025-03-18,158.7958984375
2025-03-19,158.7958984375
2025-03-20,158.45864868164062
2025-03-21,156.19427490234375
2025-03-24,160.0677947998047
2025-03-25,159.72093200683594
2025-03-26,162.31292724609375
2025-03-27,159.80764770507812
2025-03-28,158.29483032226562
2025-03-31,160.02926635742188
2025-04-01,160.40505981445312
2025-04-02,164.20152282714844
2025-04-03,147.5992431640625
2025-04-04,140.72901916503906
2025-04-07,138.1177520751953
2025-04-08,135.2559356689453
2025-04-09,147.5992431640625
2025-04-10,142.30926513671875
2025-04-11,142.80068969726562
2025-04-14,144.40985107421875
2025-04-15,143.9280548095703
2025-04-16,142.65614318847656
2025-04-17,144.9205322265625
2025-04-21,141.8371124267578
2025-04-22,145.21923828125
2025-04-23,147.6956024169922
2025-04-24,150.50921630859375
2025-04-25,150.9524688720703
2025-04-28,152.7350616455078
2025-04-29,151.08737182617188
2025-04-30,151.64622497558594
2025-05-01,153.08193969726562
2025-05-02,155.8762969970703
2025-05-05,154.99945068359375
2025-05-06,154.33457946777344
2025-05-07,155.58721923828125
2025-05-08,157.0711212158203
2025-05-09,157.2445526123047
2025-05-12,165.19398498535156
2025-05-13,155.0187225341797
2025-05-14,155.3077850341797
2025-05-15,157.0903778076172
2025-05-16,159.10423278808594
2025-05-19,158.4971923828125
2025-05-20,157.003662109375
2025-05-21,152.35926818847656
2025-05-22,152.19546508789062
2025-05-23,151.0584716796875
2025-05-27,154.37315368652344
2025-05-28,155.33670043945312
2025-05-29,157.28311157226562
2025-05-30,157.12893676757812
2025-06-02,156.97476196289062
2025-06-03,155.88592529296875
2025-06-04,155.7317657470703
2025-06-05,154.89344787597656
2025-06-06,156.19427490234375
2025-06-09,156.60427856445312
2025-06-10,157.06309509277344
2025-06-11,155.9014129638672
2025-06-12,155.01303100585938
2025-06-13,153.16798400878906
2025-06-16,154.10516357421875
2025-06-17,153.3925323486328
2025-06-18,153.36325073242188
2025-06-20,153.52920532226562
2025-06-23,155.296142578125
2025-06-24,156.3114013671875
2025-06-25,153.65609741210938
2025-06-26,156.77999877929688
2025-06-27,156.68238830566406
2025-06-30,156.93618774414062
2025-07-01,160.36270141601562
2025-07-02,161.89535522460938
2025-07-03,162.77395629882812
2025-07-07,161.1143798828125
2025-07-08,159.56219482421875
2025-07-09,159.0545654296875
2025-07-10,159.56219482421875
2025-07-11,157.9026336669922
2025-07-14,158.56646728515625
2025-07-15,156.1259307861328
2025-07-16,157.62930297851562
2025-07-17,158.8593292236328
2025-07-18,158.98623657226562
2025-07-21,159.8648223876953
2025-07-22,161.6317901611328
2025-07-23,161.79774475097656
2025-07-24,161.0363006591797
2025-07-25,163.13516235351562
2025-07-28,161.3486785888672
2025-07-29,164.0820770263672
2025-07-30,161.5244140625
2025-07-31,159.8941192626953
2025-08-01,156.8580780029297
2025-08-04,160.04055786132812
2025-08-05,165.28282165527344
2025-08-06,163.54515075683594
2025-08-07,162.3932342529297
2025-08-08,161.0070037841797
2025-08-11,161.2705841064453
2025-08-12,165.19496154785156
2025-08-13,168.48480224609375
2025-08-14,168.0943145751953
2025-08-15,169.15838623046875
2025-08-18,168.4555206298828
2025-08-19,170.7203369140625
2025-08-20,169.98817443847656
2025-08-21,169.30482482910156
2025-08-22,172.36036682128906
2025-08-25,172.21395874023438
2025-08-26,172.6239471435547
2025-08-27,173.9320831298828
2025-08-28,175.09376525878906
2025-08-29,176.36285400390625
2025-09-02,174.6154327392578
2025-09-03,175.58187866210938
2025-09-04,177.202392578125
2025-09-05,177.9150390625
2025-09-08,178.20790100097656
2025-09-09,177.2101593017578
2025-09-10,177.05210876464844
2025-09-11,181.6653594970703
2025-09-12,180.25274658203125
2025-09-15,181.5270538330078
2025-09-16,179.3142852783203
2025-09-17,179.35379028320312
2025-09-18,177.9016571044922
2025-09-19,178.5240020751953
2025-09-22,178.93890380859375
2025-09-23,181.892578125
2025-09-24,180.90472412109375
2025-09-25,180.3910369873047
2025-09-26,183.1372528076172
2025-09-29,183.5916748046875
2025-09-30,185.38955688476562
2025-10-01,183.5027618408203
2025-10-02,182.76187133789062
2025-10-03,182.9792022705078
2025-10-06,176.9928436279297
2025-10-07,176.74588012695312
2025-10-08,176.0642547607422
2025-10-09,176.66683959960938
2025-10-10,173.1698760986328
2025-10-13,174.35528564453125
2025-10-14,173.6934356689453
2025-10-15,176.19268798828125
2025-10-16,174.59237670898438
2025-10-17,175.92596435546875
2025-10-20,176.3013458251953
2025-10-21,176.54830932617188
2025-10-22,177.79299926757812
2025-10-23,176.53843688964844
2025-10-24,175.92596435546875
2025-10-27,177.59542846679688
2025-10-28,174.62200927734375
2025-10-29,171.53004455566406
2025-10-30,171.24356079101562
2025-10-31,173.624267578125
2025-11-03,174.52322387695312
2025-11-04,180.37127685546875
2025-11-05,179.19573974609375
2025-11-06,178.54376220703125
2025-11-07,181.3690185546875
2025-11-10,180.71702575683594
2025-11-11,182.7519989013672
2025-11-12,181.5764617919922
2025-11-13,181.37889099121094
2025-11-14,180.50958251953125
2025-11-17,178.7907257080078
2025-11-18,179.71929931640625
2025-11-19,177.94117736816406
2025-11-20,177.8819122314453
2025-11-21,180.85533142089844
2025-11-24,180.4404296875
2025-11-25,182.8804168701172
2025-11-26,183.30519104003906
2025-11-28,184.05596923828125
2025-12-01,182.89028930664062
2025-12-02,179.95639038085938
2025-12-03,180.08480834960938
2025-12-04,181.09242248535156
2025-12-05,180.34164428710938
2025-12-08,177.8819122314453
2025-12-09,178.85000610351562
2025-12-10,181.64999389648438
2025-12-11,181.85000610351562
2025-12-12,182.02000427246094
2025-12-15,184.1699981689453
2025-12-16,182.52999877929688
2025-12-17,184.22000122070312
2025-12-18,185.07000732421875
2025-12-19,184.92999267578125
2025-12-22,186.66000366210938
2025-12-23,187.60000610351562
2025-12-24,188.2899932861328
2025-12-26,187.7100067138672
2025-12-29,187.6199951171875
2025-12-30,186.8300018310547
2025-12-31,185.11000061035156
