Date,HON
2024-02-02,177.10385131835938
2024-02-05,174.3042755126953
2024-02-06,174.8732452392578
2024-02-07,175.28868103027344
2024-02-08,174.710693359375
2024-02-09,175.95693969726562
2024-02-12,178.22366333007812
2024-02-13,175.20736694335938
2024-02-14,175.9840545654297
2024-02-15,178.7655487060547
2024-02-16,178.06114196777344
2024-02-20,179.6595916748047
2024-02-21,180.1924285888672
2024-02-22,181.34835815429688
2024-02-23,181.18582153320312
2024-02-26,179.8853759765625
2024-02-27,178.97325134277344
2024-02-28,178.42236328125
2024-02-29,180.45639038085938
2024-03-01,180.40191650390625
2024-03-04,180.91949462890625
2024-03-05,179.20326232910156
2024-03-06,182.06362915039062
2024-03-07,183.97959899902344
2024-03-08,182.2906494140625
2024-03-11,181.87294006347656
2024-03-12,180.81961059570312
2024-03-13,181.3644256591797
2024-03-14,178.2952423095703
2024-03-15,179.51199340820312
2024-03-18,178.66754150390625
2024-03-19,180.73788452148438
2024-03-20,182.68109130859375
2024-03-21,182.86273193359375
2024-03-22,182.27249145507812
2024-03-25,180.2293701171875
2024-03-26,182.51766967773438
2024-03-27,186.26791381835938
2024-03-28,186.37684631347656
2024-04-01,183.43479919433594
2024-04-02,181.81845092773438
2024-04-03,179.7662811279297
2024-04-04,178.02279663085938
2024-04-05,179.02166748046875
2024-04-08,179.57557678222656
2024-04-09,180.16578674316406
2024-04-10,177.6595916748047
2024-04-11,178.7674102783203
2024-04-12,178.12271118164062
2024-04-15,176.19766235351562
2024-04-16,173.18292236328125
2024-04-17,172.85601806640625
2024-04-18,173.5098419189453
2024-04-19,176.3974151611328
2024-04-22,177.5960235595703
2024-04-23,178.12271118164062
2024-04-24,176.87869262695312
2024-04-25,175.2714385986328
2024-04-26,175.66188049316406
2024-04-29,175.9524688720703
2024-04-30,175.00807189941406
2024-05-01,177.341796875
2024-05-02,175.8344268798828
2024-05-03,177.8048858642578
2024-05-06,177.06936645507812
2024-05-07,178.74923706054688
2024-05-08,179.8389129638672
2024-05-09,182.18170166015625
2024-05-10,184.26109313964844
2024-05-13,185.06019592285156
2024-05-14,184.52444458007812
2024-05-15,186.20433044433594
2024-05-16,188.61427307128906
2024-05-17,188.0209197998047
2024-05-20,186.78855895996094
2024-05-21,185.7752685546875
2024-05-22,185.1271514892578
2024-05-23,182.01431274414062
2024-05-24,182.2882080078125
2024-05-28,181.82261657714844
2024-05-29,179.89649963378906
2024-05-30,183.40188598632812
2024-05-31,184.5703125
2024-06-03,184.81678771972656
2024-06-04,189.17111206054688
2024-06-05,191.0333251953125
2024-06-06,190.2847900390625
2024-06-07,190.58604431152344
2024-06-10,192.375244140625
2024-06-11,191.22503662109375
2024-06-12,190.33045959472656
2024-06-13,190.4490966796875
2024-06-14,190.3578338623047
2024-06-17,193.47979736328125
2024-06-18,194.3196258544922
2024-06-20,195.47894287109375
2024-06-21,196.34616088867188
2024-06-24,197.07643127441406
2024-06-25,195.7619171142578
2024-06-26,194.83082580566406
2024-06-27,195.6980438232422
2024-06-28,194.9312286376953
2024-07-01,192.5669403076172
2024-07-02,194.6482391357422
2024-07-03,193.94537353515625
2024-07-05,193.7445526123047
2024-07-08,193.1876678466797
2024-07-09,192.24745178222656
2024-07-10,195.79844665527344
2024-07-11,196.1270751953125
2024-07-12,196.36439514160156
2024-07-15,196.9212646484375
2024-07-16,199.43157958984375
2024-07-17,201.0199737548828
2024-07-18,198.70132446289062
2024-07-19,195.90798950195312
2024-07-22,198.0623321533203
2024-07-23,198.4365997314453
2024-07-24,195.03163146972656
2024-07-25,184.80764770507812
2024-07-26,185.0723876953125
2024-07-29,183.84915161132812
2024-07-30,184.98109436035156
2024-07-31,186.90724182128906
2024-08-01,186.75204467773438
2024-08-02,185.93959045410156
2024-08-05,182.30642700195312
2024-08-06,181.47572326660156
2024-08-07,180.6724395751953
2024-08-08,182.40682983398438
2024-08-09,180.9553985595703
2024-08-12,179.64089965820312
2024-08-13,179.5861358642578
2024-08-14,180.38031005859375
2024-08-15,181.16537475585938
2024-08-16,182.19334411621094
2024-08-19,182.68898010253906
2024-08-20,183.63438415527344
2024-08-21,184.87347412109375
2024-08-22,183.69863891601562
2024-08-23,185.84640502929688
2024-08-26,187.10386657714844
2024-08-27,189.17819213867188
2024-08-28,188.15936279296875
2024-08-29,190.4631805419922
2024-08-30,190.830322265625
2024-09-03,188.03089904785156
2024-09-04,188.65504455566406
2024-09-05,186.3053436279297
2024-09-06,181.85372924804688
2024-09-09,184.6348419189453
2024-09-10,184.44207763671875
2024-09-11,187.27825927734375
2024-09-12,187.8564910888672
2024-09-13,187.37921142578125
2024-09-16,187.86569213867188
2024-09-17,187.46182250976562
2024-09-18,185.0753936767578
2024-09-19,186.96617126464844
2024-09-20,186.6449432373047
2024-09-23,187.03045654296875
2024-09-24,188.40721130371094
2024-09-25,189.79318237304688
2024-09-26,190.0226287841797
2024-09-27,190.57334899902344
2024-09-30,189.72891235351562
2024-10-01,189.14149475097656
2024-10-02,187.13140869140625
2024-10-03,186.2135467529297
2024-10-04,187.0396270751953
2024-10-07,186.62660217285156
2024-10-08,189.99508666992188
2024-10-09,196.14468383789062
2024-10-10,196.05291748046875
2024-10-11,198.24656677246094
2024-10-14,199.7242889404297
2024-10-15,199.42140197753906
2024-10-16,200.9725799560547
2024-10-17,201.5141143798828
2024-10-18,203.78121948242188
2024-10-21,203.30392456054688
2024-10-22,204.08409118652344
2024-10-23,202.2392120361328
2024-10-24,191.92257690429688
2024-10-25,190.9129638671875
2024-10-28,189.1690216064453
2024-10-29,189.05889892578125
2024-10-30,187.4251251220703
2024-10-31,188.78353881835938
2024-11-01,192.0051727294922
2024-11-04,190.49070739746094
2024-11-05,191.62887573242188
2024-11-06,198.6228790283203
2024-11-07,199.63250732421875
2024-11-08,201.45904541015625
2024-11-11,206.73667907714844
2024-11-12,214.69444274902344
2024-11-13,213.9234619140625
2024-11-14,211.7206268310547
2024-11-15,211.2133026123047
2024-11-18,211.0841827392578
2024-11-19,210.48464965820312
2024-11-20,209.0734100341797
2024-11-21,208.53843688964844
2024-11-22,211.32398986816406
2024-11-25,212.69833374023438
2024-11-26,212.5138702392578
2024-11-27,211.81283569335938
2024-11-29,214.8474578857422
2024-12-02,212.0988006591797
2024-12-03,209.34091186523438
2024-12-04,211.9512176513672
2024-12-05,208.72291564941406
2024-12-06,208.80592346191406
2024-12-09,207.61607360839844
2024-12-10,211.29632568359375
2024-12-11,211.2778778076172
2024-12-12,210.01425170898438
2024-12-13,209.94967651367188
2024-12-16,217.6791229248047
2024-12-17,215.03192138671875
2024-12-18,209.24867248535156
2024-12-19,209.26712036132812
2024-12-20,210.59530639648438
2024-12-23,209.5069122314453
2024-12-24,211.13031005859375
2024-12-26,213.8605194091797
2024-12-27,211.6929473876953
2024-12-30,209.00885009765625
2024-12-31,208.35397338867188
2025-01-02,208.0126953125
2025-01-03,208.93505859375
2025-01-06,204.526123046875
2025-01-07,203.50228881835938
2025-01-08,203.07801818847656
2025-01-10,201.25172424316406
2025-01-13,202.09107971191406
2025-01-14,201.53765869140625
2025-01-15,202.49691772460938
2025-01-16,205.40240478515625
2025-01-17,205.30093383789062
2025-01-21,207.59762573242188
2025-01-22,205.7713165283203
2025-01-23,208.14183044433594
2025-01-24,204.31398010253906
2025-01-27,208.18795776367188
2025-01-28,203.56687927246094
2025-01-29,203.88970947265625
2025-01-30,206.66603088378906
2025-01-31,206.35243225097656
2025-02-03,205.14413452148438
2025-02-04,206.19561767578125
2025-02-05,205.0887908935547
2025-02-06,193.53150939941406
2025-02-07,189.5653076171875
2025-02-10,192.3323974609375
2025-02-11,190.8750762939453
2025-02-12,189.0948944091797
2025-02-13,189.334716796875
2025-02-14,187.0103302001953
2025-02-18,191.8896942138672
2025-02-19,194.44464111328125
2025-02-20,194.9427032470703
2025-02-21,195.48690795898438
2025-02-24,193.614501953125
2025-02-25,195.54226684570312
2025-02-26,194.9242706298828
2025-02-27,195.7913055419922
2025-02-28,197.41407775878906
2025-03-03,196.6073455810547
2025-03-04,192.8795623779297
2025-03-05,194.3817901611328
2025-03-06,195.902587890625
2025-03-07,198.92559814453125
2025-03-10,198.27647399902344
2025-03-11,193.4266815185547
2025-03-12,191.34950256347656
2025-03-13,191.66481018066406
2025-03-14,194.24270629882812
2025-03-17,195.12364196777344
2025-03-18,194.49307250976562
2025-03-19,193.48231506347656
2025-03-20,195.55947875976562
2025-03-21,194.84544372558594
2025-03-24,196.44969177246094
2025-03-25,196.7000732421875
2025-03-26,197.6273651123047
2025-03-27,198.6010284423828
2025-03-28,195.04945373535156
2025-03-31,196.35694885253906
2025-04-01,197.93338012695312
2025-04-02,200.28872680664062
2025-04-03,191.655517578125
2025-04-04,177.10610961914062
2025-04-07,173.83270263671875
2025-04-08,169.5670928955078
2025-04-09,184.62655639648438
2025-04-10,179.33163452148438
2025-04-11,184.11651611328125
2025-04-14,185.69296264648438
2025-04-15,184.35763549804688
2025-04-16,179.22962951660156
2025-04-17,182.3082733154297
2025-04-21,180.1105499267578
2025-04-22,183.94961547851562
2025-04-23,182.96665954589844
2025-04-24,186.14732360839844
2025-04-25,184.6821746826172
2025-04-28,186.07315063476562
2025-04-29,196.11585998535156
2025-04-30,195.1978302001953
2025-05-01,195.42037963867188
2025-05-02,198.56396484375
2025-05-05,198.6752166748047
2025-05-06,194.66925048828125
2025-05-07,199.00904846191406
2025-05-08,198.9441375732422
2025-05-09,197.54391479492188
2025-05-12,203.3952178955078
2025-05-13,202.3566131591797
2025-05-14,201.39222717285156
2025-05-15,206.13075256347656
2025-05-16,207.73388671875
2025-05-19,209.6538848876953
2025-05-20,209.76571655273438
2025-05-21,206.79251098632812
2025-05-22,208.4329071044922
2025-05-23,206.941650390625
2025-05-27,211.0706024169922
2025-05-28,209.3463134765625
2025-05-29,209.8868865966797
2025-05-30,211.2663116455078
2025-06-02,210.19447326660156
2025-06-03,211.35951232910156
2025-06-04,211.99331665039062
2025-06-05,211.2663116455078
2025-06-06,213.23292541503906
2025-06-09,211.69505310058594
2025-06-10,210.88418579101562
2025-06-11,210.4740753173828
2025-06-12,210.68846130371094
2025-06-13,209.04806518554688
2025-06-16,208.8616485595703
2025-06-17,206.7179412841797
2025-06-18,206.79251098632812
2025-06-20,206.72726440429688
2025-06-23,209.4674835205078
2025-06-24,209.3369903564453
2025-06-25,206.7179412841797
2025-06-26,210.9960174560547
2025-06-27,213.2981719970703
2025-06-30,217.05430603027344
2025-07-01,222.54405212402344
2025-07-02,223.00074768066406
2025-07-03,224.0632781982422
2025-07-07,223.08462524414062
2025-07-08,223.50404357910156
2025-07-09,222.4974365234375
2025-07-10,220.67996215820312
2025-07-11,219.89703369140625
2025-07-14,221.88229370117188
2025-07-15,219.3098602294922
2025-07-16,220.78248596191406
2025-07-17,222.1712188720703
2025-07-18,220.46559143066406
2025-07-21,219.23529052734375
2025-07-22,220.5028533935547
2025-07-23,223.01007080078125
2025-07-24,209.2251434326172
2025-07-25,209.00144958496094
2025-07-28,209.7843780517578
2025-07-29,206.6527099609375
2025-07-30,207.06280517578125
2025-07-31,207.23988342285156
2025-08-01,202.9152069091797
2025-08-04,205.785888671875
2025-08-05,206.0375518798828
2025-08-06,204.3319091796875
2025-08-07,201.8619842529297
2025-08-08,201.61033630371094
2025-08-11,201.7408447265625
2025-08-12,202.2627716064453
2025-08-13,204.8072509765625
2025-08-14,203.37191772460938
2025-08-15,203.09083557128906
2025-08-18,202.7441864013672
2025-08-19,203.06272888183594
2025-08-20,203.3063201904297
2025-08-21,203.6998291015625
2025-08-22,208.76841735839844
2025-08-25,206.6885223388672
2025-08-26,208.51547241210938
2025-08-27,207.28814697265625
2025-08-28,207.3818359375
2025-08-29,205.6485595703125
2025-09-02,203.86846923828125
2025-09-03,200.4956512451172
2025-09-04,201.5824432373047
2025-09-05,200.72987365722656
2025-09-08,201.1983184814453
2025-09-09,200.68301391601562
2025-09-10,198.34078979492188
2025-09-11,201.7229766845703
2025-09-12,198.11593627929688
2025-09-15,198.37826538085938
2025-09-16,197.6381072998047
2025-09-17,198.32205200195312
2025-09-18,196.93544006347656
2025-09-19,196.15780639648438
2025-09-22,195.81117248535156
2025-09-23,196.1016082763672
2025-09-24,195.43641662597656
2025-09-25,194.59320068359375
2025-09-26,195.05227661132812
2025-09-29,196.07350158691406
2025-09-30,197.2165069580078
2025-10-01,196.9167022705078
2025-10-02,197.69432067871094
2025-10-03,195.85800170898438
2025-10-06,195.81117248535156
2025-10-07,195.7924346923828
2025-10-08,196.60752868652344
2025-10-09,191.34217834472656
2025-10-10,188.231689453125
2025-10-13,190.10546875
2025-10-14,195.44577026367188
2025-10-15,189.72134399414062
2025-10-16,190.3490753173828
2025-10-17,190.15231323242188
2025-10-20,193.02859497070312
2025-10-21,195.8861083984375
2025-10-22,193.5719757080078
2025-10-23,206.74473571777344
2025-10-24,202.50059509277344
2025-10-27,201.4981231689453
2025-10-28,200.87977600097656
2025-10-29,199.4556884765625
2025-10-30,198.9185791015625
2025-10-31,200.13131713867188
2025-11-03,196.59251403808594
2025-11-04,195.29031372070312
2025-11-05,195.87680053710938
2025-11-06,194.74359130859375
2025-11-07,192.91455078125
2025-11-10,194.9026336669922
2025-11-11,199.216796875
2025-11-12,200.38975524902344
2025-11-13,198.67999267578125
2025-11-14,199.0399932861328
2025-11-17,196.0800018310547
2025-11-18,191.4499969482422
2025-11-19,190.57000732421875
2025-11-20,188.13999938964844
2025-11-21,190.02000427246094
2025-11-24,188.66000366210938
2025-11-25,191.02000427246094
2025-11-26,189.99000549316406
2025-11-28,192.19000244140625
2025-12-01,190.22000122070312
2025-12-02,193.14999389648438
2025-12-03,193.47000122070312
2025-12-04,192.22999572753906
2025-12-05,191.3300018310547
2025-12-08,191.99000549316406
2025-12-09,190.1699981689453
2025-12-10,192.05999755859375
2025-12-11,193.85000610351562
2025-12-12,193.66000366210938
2025-12-15,197.4499969482422
2025-12-16,198.25999450683594
2025-12-17,199.88999938964844
2025-12-18,198.0800018310547
2025-12-19,199.11000061035156
2025-12-22,195.9600067138672
2025-12-23,195.5
2025-12-24,196.92999267578125
2025-12-26,197.3699951171875
2025-12-29,197.08999633789062
2025-12-30,196.36000061035156
2025-12-31,195.08999633789062
