Date,NKE
2024-09-23,83.7938461303711
2024-09-24,85.0186767578125
2024-09-25,85.54359436035156
2024-09-26,86.8947982788086
2024-09-27,86.94340515136719
2024-09-30,85.93242645263672
2024-10-01,86.64205932617188
2024-10-02,80.78038024902344
2024-10-03,79.80829620361328
2024-10-04,79.95410919189453
2024-10-07,78.57373809814453
2024-10-08,78.51541900634766
2024-10-09,80.14851379394531
2024-10-10,79.80829620361328
2024-10-11,79.85689544677734
2024-10-14,79.3222427368164
2024-10-15,79.8277359008789
2024-10-16,81.59693145751953
2024-10-17,81.07200622558594
2024-10-18,80.60540008544922
2024-10-21,79.20559692382812
2024-10-22,79.14726257324219
2024-10-23,77.81551361083984
2024-10-24,76.83370971679688
2024-10-25,76.64900207519531
2024-10-28,76.70734405517578
2024-10-29,76.21157836914062
2024-10-30,74.31599426269531
2024-10-31,74.97701263427734
2024-11-01,75.88106536865234
2024-11-04,75.03534698486328
2024-11-05,75.80329132080078
2024-11-06,73.21753692626953
2024-11-07,73.80079650878906
2024-11-08,73.76190948486328
2024-11-11,74.4618148803711
2024-11-12,74.52014923095703
2024-11-13,74.38404083251953
2024-11-14,73.56749725341797
2024-11-15,74.52014923095703
2024-11-18,72.79954528808594
2024-11-19,71.84690856933594
2024-11-20,71.312255859375
2024-11-21,73.00367736816406
2024-11-22,75.2394790649414
2024-11-25,77.04756164550781
2024-11-26,75.44361877441406
2024-11-27,76.15323638916016
2024-11-29,76.57123565673828
2024-12-02,77.27471160888672
2024-12-03,77.04998779296875
2024-12-04,76.57124328613281
2024-12-05,76.77642059326172
2024-12-06,77.07930755615234
2024-12-09,75.85799407958984
2024-12-10,74.97865295410156
2024-12-11,77.04022216796875
2024-12-12,76.170654296875
2024-12-13,75.47694396972656
2024-12-16,75.42809295654297
2024-12-17,76.20973205566406
2024-12-18,75.13497924804688
2024-12-19,75.33039093017578
2024-12-20,75.17406463623047
2024-12-23,74.9981918334961
2024-12-24,75.02751159667969
2024-12-26,75.17406463623047
2024-12-27,74.6659927368164
2024-12-30,72.9366226196289
2024-12-31,73.9332046508789
2025-01-02,71.97911834716797
2025-01-03,71.62738037109375
2025-01-06,70.34745025634766
2025-01-07,70.43537902832031
2025-01-08,69.65373992919922
2025-01-10,69.56580352783203
2025-01-13,70.42561340332031
2025-01-14,69.53649139404297
2025-01-15,69.43878936767578
2025-01-16,69.47787475585938
2025-01-17,69.21407318115234
2025-01-21,71.49059295654297
2025-01-22,72.34062194824219
2025-01-23,72.58489227294922
2025-01-24,71.88140869140625
2025-01-27,73.84528350830078
2025-01-28,72.68258666992188
2025-01-29,74.82233428955078
2025-01-30,76.53215789794922
2025-01-31,75.13497924804688
2025-02-03,74.83209228515625
2025-02-04,74.9591064453125
2025-02-05,72.85845947265625
2025-02-06,70.09341430664062
2025-02-07,67.10364532470703
2025-02-10,69.31177520751953
2025-02-11,69.70259094238281
2025-02-12,70.60147857666016
2025-02-13,71.52967834472656
2025-02-14,71.36357116699219
2025-02-18,75.80914306640625
2025-02-19,75.01773071289062
2025-02-20,75.45740509033203
2025-02-21,74.7441635131836
2025-02-24,78.4374008178711
2025-02-25,79.84435272216797
2025-02-26,79.30697631835938
2025-02-27,78.18336486816406
2025-02-28,77.6069107055664
2025-03-03,76.99807739257812
2025-03-04,75.92770385742188
2025-03-05,76.40888214111328
2025-03-06,76.31068420410156
2025-03-07,77.1748275756836
2025-03-10,75.0242691040039
2025-03-11,72.83441925048828
2025-03-12,72.25505065917969
2025-03-13,71.33197784423828
2025-03-14,70.36962127685547
2025-03-17,72.37288665771484
2025-03-18,71.98990631103516
2025-03-19,71.67567443847656
2025-03-20,70.56602478027344
2025-03-21,66.71660614013672
2025-03-24,66.176513671875
2025-03-25,65.34182739257812
2025-03-26,64.55622100830078
2025-03-27,64.61515045166016
2025-03-28,62.15034103393555
2025-03-31,62.33692169189453
2025-04-01,63.5938720703125
2025-04-02,63.79026794433594
2025-04-03,54.57917404174805
2025-04-04,56.21910095214844
2025-04-07,54.608638763427734
2025-04-08,52.31077194213867
2025-04-09,58.2518310546875
2025-04-10,53.42042541503906
2025-04-11,53.41060256958008
2025-04-14,54.412235260009766
2025-04-15,53.842681884765625
2025-04-16,52.585731506347656
2025-04-17,54.75593185424805
2025-04-21,55.10945129394531
2025-04-22,56.032527923583984
2025-04-23,56.35658264160156
2025-04-24,57.42695236206055
2025-04-25,56.58243942260742
2025-04-28,56.27802276611328
2025-04-29,56.503883361816406
2025-04-30,55.3844108581543
2025-05-01,55.73792266845703
2025-05-02,57.53497314453125
2025-05-05,56.31730270385742
2025-05-06,56.01288604736328
2025-05-07,57.564430236816406
2025-05-08,57.84920883178711
2025-05-09,57.25019454956055
2025-05-12,61.453125
2025-05-13,61.26654815673828
2025-05-14,60.618431091308594
2025-05-15,61.2763671875
2025-05-16,61.97358322143555
2025-05-19,60.96213150024414
2025-05-20,61.43349075317383
2025-05-21,58.89994430541992
2025-05-22,60.21581268310547
2025-05-23,58.93922424316406
2025-05-27,61.69862747192383
2025-05-28,60.66753005981445
2025-05-29,60.33365249633789
2025-05-30,59.49896240234375
2025-06-02,60.86311340332031
2025-06-03,61.6539306640625
2025-06-04,62.049339294433594
2025-06-05,61.95048904418945
2025-06-06,62.07899475097656
2025-06-09,61.199214935302734
2025-06-10,63.1367073059082
2025-06-11,62.38543701171875
2025-06-12,62.07899475097656
2025-06-13,59.83505630493164
2025-06-16,61.189327239990234
2025-06-17,59.31114196777344
2025-06-18,58.82676315307617
2025-06-20,59.103553771972656
2025-06-23,60.082183837890625
2025-06-24,60.714839935302734
2025-06-25,60.131614685058594
2025-06-26,61.821983337402344
2025-06-27,71.2129135131836
2025-06-30,70.2243881225586
2025-07-01,72.56718444824219
2025-07-02,75.51296997070312
2025-07-03,75.51296997070312
2025-07-07,75.65135955810547
2025-07-08,73.07132720947266
2025-07-09,72.71546173095703
2025-07-10,73.76329040527344
2025-07-11,71.79613494873047
2025-07-14,71.42049407958984
2025-07-15,71.16348266601562
2025-07-16,71.272216796875
2025-07-17,72.14212036132812
2025-07-18,71.63796997070312
2025-07-21,73.17017364501953
2025-07-22,74.52445220947266
2025-07-23,75.86883544921875
2025-07-24,74.5541000366211
2025-07-25,75.39434051513672
2025-07-28,78.33024597167969
2025-07-29,77.43069458007812
2025-07-30,75.79964447021484
2025-07-31,73.83248901367188
2025-08-01,73.76329040527344
2025-08-04,73.96099090576172
2025-08-05,73.52603912353516
2025-08-06,74.61341857910156
2025-08-07,73.49638366699219
2025-08-08,73.3382339477539
2025-08-11,73.17017364501953
2025-08-12,74.04007720947266
2025-08-13,76.31366729736328
2025-08-14,75.51296997070312
2025-08-15,76.08631134033203
2025-08-18,76.54102325439453
2025-08-19,75.9973373413086
2025-08-20,75.38446044921875
