Date,LLY
2023-11-21,583.4248046875
2023-11-22,585.8761596679688
2023-11-24,591.7930297851562
2023-11-27,582.3712768554688
2023-11-28,582.4402465820312
2023-11-29,582.6962280273438
2023-11-30,581.8887329101562
2023-12-01,574.9971923828125
2023-12-04,576.61181640625
2023-12-05,579.0435791015625
2023-12-06,580.1265258789062
2023-12-07,579.1618041992188
2023-12-08,588.7902221679688
2023-12-11,574.9971923828125
2023-12-12,575.7061157226562
2023-12-13,588.2489013671875
2023-12-14,564.7877807617188
2023-12-15,563.1830444335938
2023-12-18,570.7835083007812
2023-12-19,570.8326416015625
2023-12-20,561.38134765625
2023-12-21,563.1436767578125
2023-12-22,561.5585327148438
2023-12-26,561.834228515625
2023-12-27,572.5064086914062
2023-12-28,571.8565673828125
2023-12-29,573.8947143554688
2024-01-02,583.0308837890625
2024-01-03,608.1361694335938
2024-01-04,604.9856567382812
2024-01-05,608.9729614257812
2024-01-08,616.337158203125
2024-01-09,615.7955932617188
2024-01-10,620.4326171875
2024-01-11,625.8770751953125
2024-01-12,632.9655151367188
2024-01-16,624.7449340820312
2024-01-17,619.1724853515625
2024-01-18,613.6985473632812
2024-01-19,618.8475952148438
2024-01-22,621.1121215820312
2024-01-23,619.9305419921875
2024-01-24,623.8883666992188
2024-01-25,617.9024658203125
2024-01-26,629.3524780273438
2024-01-29,635.0133666992188
2024-01-30,634.99365234375
2024-01-31,635.6138916015625
2024-02-01,650.2044677734375
2024-02-02,657.3126220703125
2024-02-05,695.2658081054688
2024-02-06,694.114013671875
2024-02-07,714.1488647460938
2024-02-08,724.289306640625
2024-02-09,728.6998901367188
2024-02-12,725.8449096679688
2024-02-13,731.4664306640625
2024-02-14,746.8914184570312
2024-02-15,747.3549194335938
2024-02-16,771.30078125
2024-02-20,745.2640380859375
2024-02-21,735.6480712890625
2024-02-22,759.0518188476562
2024-02-23,758.9529418945312
2024-02-26,761.30029296875
2024-02-27,754.4754638671875
2024-02-28,747.2168579101562
