Date,DHR
2024-08-20,269.38604736328125
2024-08-21,268.8307189941406
2024-08-22,265.58807373046875
2024-08-23,267.2243347167969
2024-08-26,265.8260803222656
2024-08-27,266.56982421875
2024-08-28,263.8328857421875
2024-08-29,264.78485107421875
2024-08-30,267.0556945800781
2024-09-03,262.01824951171875
2024-09-04,262.2760314941406
2024-09-05,262.49420166015625
2024-09-06,263.97174072265625
2024-09-09,270.8041076660156
2024-09-10,272.42041015625
2024-09-11,269.7033996582031
2024-09-12,270.2091064453125
2024-09-13,271.954345703125
2024-09-16,273.719482421875
2024-09-17,270.18927001953125
2024-09-18,269.6240539550781
2024-09-19,274.1161193847656
2024-09-20,270.3479309082031
2024-09-23,270.86358642578125
2024-09-24,271.90478515625
2024-09-25,265.6376953125
2024-09-26,274.6119079589844
2024-09-27,273.4010009765625
2024-09-30,275.9617919921875
2024-10-01,272.5274353027344
2024-10-02,271.88226318359375
2024-10-03,268.5173645019531
2024-10-04,268.031005859375
2024-10-07,266.80023193359375
2024-10-08,266.820068359375
2024-10-09,267.2369384765625
2024-10-10,264.4775390625
2024-10-11,268.3287658691406
2024-10-14,269.5497131347656
2024-10-15,270.661376953125
2024-10-16,266.0457763671875
2024-10-17,269.9665832519531
2024-10-18,272.3487854003906
2024-10-21,270.07574462890625
2024-10-22,259.3457946777344
2024-10-23,254.10487365722656
2024-10-24,246.16409301757812
2024-10-25,243.5734100341797
2024-10-28,242.31280517578125
2024-10-29,240.89341735839844
2024-10-30,240.52613830566406
2024-10-31,243.84140014648438
2024-11-01,245.9258575439453
2024-11-04,245.3501739501953
2024-11-05,248.21878051757812
2024-11-06,245.9258575439453
2024-11-07,244.27816772460938
2024-11-08,243.5734100341797
2024-11-11,241.44924926757812
2024-11-12,237.82627868652344
2024-11-13,239.7419891357422
2024-11-14,237.60791015625
2024-11-15,228.7936553955078
2024-11-18,228.3568878173828
2024-11-19,229.13111877441406
2024-11-20,231.37440490722656
2024-11-21,233.3099822998047
2024-11-22,234.09410095214844
2024-11-25,235.92047119140625
2024-11-26,234.82864379882812
2024-11-27,237.06198120117188
2024-11-29,237.9156036376953
2024-12-02,239.50375366210938
2024-12-03,239.0868682861328
2024-12-04,234.510986328125
2024-12-05,226.18309020996094
2024-12-06,228.41644287109375
2024-12-09,234.16358947753906
2024-12-10,232.60520935058594
2024-12-11,233.6573486328125
2024-12-12,232.76402282714844
2024-12-13,233.15115356445312
2024-12-16,232.44639587402344
2024-12-17,231.8011932373047
2024-12-18,226.6099395751953
2024-12-19,224.4857635498047
2024-12-20,226.85809326171875
2024-12-23,227.4635772705078
2024-12-24,229.0417938232422
2024-12-26,229.56787109375
2024-12-27,229.65731811523438
2024-12-30,228.21633911132812
2024-12-31,228.11697387695312
2025-01-02,228.37535095214844
2025-01-03,233.37396240234375
2025-01-06,236.71298217773438
2025-01-07,237.6073760986328
2025-01-08,236.60365295410156
2025-01-10,233.6025390625
2025-01-13,238.3824920654297
2025-01-14,236.13658142089844
2025-01-15,236.4844207763672
2025-01-16,240.38987731933594
