Date,FDX
2024-01-08,237.95941162109375
2024-01-09,236.67669677734375
2024-01-10,240.08448791503906
2024-01-11,240.12278747558594
2024-01-12,237.94027709960938
2024-01-16,234.5612030029297
2024-01-17,232.8860626220703
2024-01-18,233.63270568847656
2024-01-19,235.9875030517578
2024-01-22,239.9696044921875
2024-01-23,240.12278747558594
2024-01-24,239.05064392089844
2024-01-25,242.30526733398438
2024-01-26,240.79281616210938
2024-01-29,237.42337036132812
2024-01-30,233.34552001953125
2024-01-31,230.97157287597656
2024-02-01,231.60336303710938
2024-02-02,231.99581909179688
2024-02-05,228.1190185546875
2024-02-06,231.0002899169922
2024-02-07,231.7756805419922
2024-02-08,231.41189575195312
2024-02-09,232.2447052001953
2024-02-12,233.9868927001953
2024-02-13,226.28111267089844
2024-02-14,226.70230102539062
2024-02-15,226.40557861328125
2024-02-16,227.42979431152344
2024-02-20,229.29640197753906
2024-02-21,231.08645629882812
2024-02-22,233.71884155273438
2024-02-23,233.04879760742188
2024-02-26,230.80885314941406
2024-02-27,231.0768585205078
2024-02-28,233.9198760986328
2024-02-29,238.32313537597656
2024-03-01,236.05450439453125
2024-03-04,236.21722412109375
2024-03-05,238.0838623046875
2024-03-06,237.77752685546875
2024-03-07,239.53883361816406
2024-03-08,238.28814697265625
2024-03-11,243.11776733398438
2024-03-12,244.58013916015625
2024-03-13,245.54222106933594
2024-03-14,245.8404541015625
2024-03-15,243.68539428710938
2024-03-18,243.57957458496094
2024-03-19,246.88914489746094
2024-03-20,250.13137817382812
2024-03-21,254.80703735351562
2024-03-22,273.53875732421875
2024-03-25,271.8551330566406
2024-03-26,278.0316467285156
2024-03-27,276.96380615234375
2024-03-28,278.75323486328125
2024-04-01,269.50762939453125
2024-04-02,264.8511657714844
2024-04-03,267.9298400878906
2024-04-04,265.0628662109375
2024-04-05,263.1483154296875
2024-04-08,265.1205749511719
2024-04-09,265.8902587890625
2024-04-10,260.05035400390625
2024-04-11,261.8591003417969
2024-04-12,257.64520263671875
2024-04-15,256.6253967285156
2024-04-16,254.89366149902344
2024-04-17,253.09457397460938
2024-04-18,253.3831787109375
2024-04-19,256.8658752441406
2024-04-22,259.9061279296875
2024-04-23,261.4454345703125
2024-04-24,255.98077392578125
2024-04-25,255.45169067382812
2024-04-26,255.75949096679688
2024-04-29,255.77874755859375
2024-04-30,251.8534698486328
2024-05-01,250.8433074951172
2024-05-02,252.09400939941406
2024-05-03,250.76634216308594
2024-05-06,250.42001342773438
2024-05-07,249.63108825683594
2024-05-08,248.2264404296875
2024-05-09,252.1228790283203
2024-05-10,255.6536865234375
2024-05-13,256.76971435546875
2024-05-14,249.21737670898438
2024-05-15,249.4867401123047
2024-05-16,248.96722412109375
2024-05-17,247.49526977539062
2024-05-20,245.05157470703125
2024-05-21,242.76181030273438
2024-05-22,242.51168823242188
2024-05-23,239.83709716796875
2024-05-24,238.2015380859375
2024-05-28,238.6344757080078
2024-05-29,235.8155975341797
2024-05-30,240.1160888671875
2024-05-31,244.3300323486328
2024-06-03,239.19247436523438
2024-06-04,236.6237335205078
