Date,UNP
2024-06-17,212.73065185546875
2024-06-18,213.88375854492188
2024-06-20,216.37257385253906
2024-06-21,217.27586364746094
2024-06-24,217.5160675048828
2024-06-25,215.30592346191406
2024-06-26,214.87351989746094
2024-06-27,214.7389678955078
2024-06-28,217.41998291015625
2024-07-01,216.07469177246094
2024-07-02,216.689697265625
2024-07-03,216.7569580078125
2024-07-05,216.37257385253906
2024-07-08,214.66212463378906
2024-07-09,213.1150360107422
2024-07-10,215.6422576904297
2024-07-11,219.7838897705078
2024-07-12,221.22528076171875
2024-07-15,226.7698516845703
2024-07-16,233.5635986328125
2024-07-17,234.36117553710938
2024-07-18,233.5155487060547
2024-07-19,232.85250854492188
2024-07-22,233.7654266357422
2024-07-23,230.1427001953125
2024-07-24,228.1055450439453
2024-07-25,226.15484619140625
2024-07-26,230.96910095214844
2024-07-29,232.6891632080078
2024-07-30,235.84100341796875
2024-07-31,237.0902099609375
2024-08-01,234.9185333251953
2024-08-02,230.59432983398438
2024-08-05,225.693603515625
2024-08-06,229.22982788085938
2024-08-07,227.5866241455078
2024-08-08,231.14205932617188
2024-08-09,228.2400665283203
2024-08-12,227.50013732910156
2024-08-13,227.9998321533203
2024-08-14,231.79550170898438
2024-08-15,234.188232421875
2024-08-16,234.97616577148438
2024-08-19,236.4560089111328
2024-08-20,236.8692169189453
2024-08-21,236.12930297851562
2024-08-22,234.77439880371094
2024-08-23,237.20555114746094
2024-08-26,238.15684509277344
2024-08-27,240.5688018798828
2024-08-28,242.7981414794922
2024-08-29,243.3074493408203
2024-08-30,247.393798828125
2024-09-03,246.54368591308594
2024-09-04,247.01702880859375
2024-09-05,242.98863220214844
2024-09-06,241.15316772460938
2024-09-09,242.58290100097656
2024-09-10,244.00299072265625
2024-09-11,239.09547424316406
2024-09-12,240.43829345703125
2024-09-13,240.66046142578125
2024-09-16,243.85806274414062
2024-09-17,244.9400634765625
2024-09-18,242.6698455810547
2024-09-19,240.00355529785156
2024-09-20,237.05715942382812
2024-09-23,235.71434020996094
2024-09-24,240.50592041015625
2024-09-25,237.1634063720703
2024-09-26,234.97047424316406
2024-09-27,235.92686462402344
2024-09-30,238.11012268066406
2024-10-01,237.21170043945312
2024-10-02,235.08641052246094
2024-10-03,232.4587860107422
2024-10-04,230.74887084960938
2024-10-07,228.82644653320312
2024-10-08,229.49301147460938
2024-10-09,229.60894775390625
2024-10-10,230.7102508544922
2024-10-11,234.08172607421875
2024-10-14,236.9412384033203
2024-10-15,237.44354248046875
2024-10-16,239.67510986328125
2024-10-17,233.5117645263672
2024-10-18,235.8109588623047
2024-10-21,232.18829345703125
2024-10-22,233.25091552734375
2024-10-23,233.15431213378906
2024-10-24,222.91427612304688
2024-10-25,222.4795379638672
2024-10-28,224.10250854492188
2024-10-29,224.11216735839844
2024-10-30,224.2860565185547
2024-10-31,224.189453125
2024-11-01,224.78839111328125
2024-11-04,222.10279846191406
2024-11-05,225.9282989501953
2024-11-06,240.0518798828125
2024-11-07,234.32322692871094
2024-11-08,233.28958129882812
2024-11-11,233.73394775390625
2024-11-12,230.7971954345703
2024-11-13,232.24624633789062
2024-11-14,227.5802459716797
2024-11-15,227.57061767578125
2024-11-18,226.45001220703125
2024-11-19,225.36801147460938
2024-11-20,225.62884521484375
2024-11-21,230.90345764160156
2024-11-22,234.1590118408203
2024-11-25,240.85369873046875
2024-11-26,237.2889862060547
2024-11-27,236.902587890625
2024-11-29,236.35191345214844
2024-12-02,232.60369873046875
2024-12-03,228.9423828125
2024-12-04,227.01995849609375
2024-12-05,226.6625213623047
2024-12-06,225.63851928710938
2024-12-09,226.9113311767578
2024-12-10,230.36058044433594
2024-12-11,227.14453125
2024-12-12,227.07650756835938
2024-12-13,228.3104705810547
2024-12-16,226.27978515625
2024-12-17,223.355224609375
2024-12-18,218.16677856445312
2024-12-19,216.81625366210938
2024-12-20,219.89627075195312
2024-12-23,220.6833038330078
2024-12-24,223.22891235351562
2024-12-26,223.69529724121094
2024-12-27,223.40380859375
2024-12-30,221.3245391845703
2024-12-31,221.5674591064453
2025-01-02,222.61679077148438
2025-01-03,224.9292449951172
2025-01-06,223.4815216064453
2025-01-07,223.99649047851562
2025-01-08,225.24017333984375
2025-01-10,218.8177947998047
2025-01-13,220.3237762451172
2025-01-14,222.8694305419922
2025-01-15,224.30740356445312
2025-01-16,228.22300720214844
2025-01-17,227.61090087890625
2025-01-21,230.0107879638672
2025-01-22,229.10720825195312
2025-01-23,241.00950622558594
2025-01-24,241.71878051757812
2025-01-27,247.19869995117188
2025-01-28,242.08799743652344
2025-01-29,242.46693420410156
2025-01-30,242.82643127441406
2025-01-31,240.7568817138672
2025-02-03,236.1222686767578
2025-02-04,236.58863830566406
2025-02-05,237.5408172607422
2025-02-06,236.59835815429688
2025-02-07,235.20895385742188
2025-02-10,237.39508056640625
2025-02-11,240.69859313964844
2025-02-12,241.45643615722656
2025-02-13,243.84661865234375
2025-02-14,242.1462860107422
2025-02-18,244.04095458984375
2025-02-19,240.04759216308594
2025-02-20,240.62083435058594
2025-02-21,238.58045959472656
2025-02-24,235.4518585205078
2025-02-25,238.91079711914062
2025-02-26,238.51242065429688
2025-02-27,238.11410522460938
2025-02-28,241.00588989257812
2025-03-03,240.1461639404297
2025-03-04,235.9550018310547
2025-03-05,237.99685668945312
2025-03-06,239.6186065673828
2025-03-07,243.5655059814453
2025-03-10,242.56900024414062
2025-03-11,232.30117797851562
2025-03-12,232.0178680419922
2025-03-13,228.89157104492188
2025-03-14,232.0569305419922
2025-03-17,232.37933349609375
2025-03-18,231.62709045410156
2025-03-19,230.94320678710938
2025-03-20,229.38006591796875
2025-03-21,228.4910430908203
2025-03-24,229.78062438964844
2025-03-25,230.3570098876953
2025-03-26,232.54541015625
2025-03-27,230.5328826904297
2025-03-28,226.8009033203125
2025-03-31,230.79666137695312
2025-04-01,231.7052459716797
2025-04-02,232.96551513671875
2025-04-03,218.8093719482422
2025-04-04,208.34616088867188
2025-04-07,205.13197326660156
2025-04-08,203.47113037109375
2025-04-09,218.37953186035156
2025-04-10,214.2665252685547
2025-04-11,213.55332946777344
2025-04-14,217.14857482910156
2025-04-15,215.00901794433594
2025-04-16,211.6092071533203
2025-04-17,215.1848602294922
2025-04-21,211.07186889648438
2025-04-22,211.90228271484375
2025-04-23,214.71591186523438
2025-04-24,210.48570251464844
2025-04-25,208.37545776367188
2025-04-28,207.7111358642578
2025-04-29,209.5966796875
2025-04-30,210.69085693359375
2025-05-01,209.1472625732422
2025-05-02,213.26025390625
2025-05-05,211.5408172607422
2025-05-06,208.28753662109375
2025-05-07,208.9225616455078
2025-05-08,211.8436737060547
2025-05-09,211.33566284179688
2025-05-12,225.5504150390625
2025-05-13,222.99075317382812
2025-05-14,223.0786895751953
2025-05-15,225.53085327148438
2025-05-16,226.08773803710938
2025-05-19,224.21197509765625
2025-05-20,223.06893920898438
2025-05-21,218.46742248535156
2025-05-22,217.73472595214844
2025-05-23,216.99224853515625
2025-05-27,219.18063354492188
2025-05-28,217.06060791015625
2025-05-29,217.38302612304688
2025-05-30,217.86465454101562
2025-06-02,215.14205932617188
2025-06-03,217.9825897216797
2025-06-04,217.08816528320312
2025-06-05,216.87191772460938
2025-06-06,219.6043243408203
2025-06-09,220.3021697998047
2025-06-10,222.7200469970703
2025-06-11,221.85511779785156
2025-06-12,221.6290740966797
2025-06-13,219.54534912109375
2025-06-16,220.8034210205078
2025-06-17,216.81295776367188
2025-06-18,218.20863342285156
2025-06-20,218.70008850097656
2025-06-23,222.0123748779297
2025-06-24,224.0076141357422
2025-06-25,222.92645263671875
2025-06-26,225.46229553222656
2025-06-27,227.4477081298828
2025-06-30,226.14047241210938
2025-07-01,231.53648376464844
2025-07-02,233.0992431640625
2025-07-03,232.23431396484375
2025-07-07,231.3202362060547
2025-07-08,232.48983764648438
2025-07-09,232.4407196044922
2025-07-10,232.9419708251953
2025-07-11,231.07452392578125
2025-07-14,229.31515502929688
2025-07-15,227.1823272705078
2025-07-16,227.22161865234375
2025-07-17,223.5948028564453
2025-07-18,221.01966857910156
2025-07-21,221.98289489746094
2025-07-22,225.31484985351562
2025-07-23,227.0447235107422
2025-07-24,216.74415588378906
2025-07-25,220.89190673828125
2025-07-28,225.31484985351562
2025-07-29,219.93850708007812
2025-07-30,221.42263793945312
2025-07-31,218.16934204101562
2025-08-01,215.64334106445312
2025-08-04,218.25778198242188
2025-08-05,219.15220642089844
2025-08-06,221.59957885742188
2025-08-07,218.84751892089844
2025-08-08,218.43472290039062
2025-08-11,215.88905334472656
2025-08-12,215.05361938476562
2025-08-13,219.3585968017578
2025-08-14,217.72705078125
2025-08-15,216.9997100830078
2025-08-18,216.3116912841797
2025-08-19,219.93850708007812
2025-08-20,221.81581115722656
2025-08-21,221.44232177734375
2025-08-22,223.9486541748047
2025-08-25,219.4962158203125
2025-08-26,218.9261474609375
2025-08-27,217.1667938232422
2025-08-28,218.54283142089844
2025-08-29,221.11427307128906
2025-09-02,219.55162048339844
2025-09-03,219.3241424560547
2025-09-04,220.60987854003906
2025-09-05,217.89007568359375
2025-09-08,214.87356567382812
2025-09-09,213.67686462402344
2025-09-10,212.82630920410156
2025-09-11,213.66697692871094
2025-09-12,212.5493927001953
2025-09-15,213.87466430664062
2025-09-16,213.62741088867188
2025-09-17,214.78457641601562
2025-09-18,217.9395294189453
2025-09-19,218.18678283691406
2025-09-22,223.36923217773438
2025-09-23,225.47581481933594
2025-09-24,227.82968139648438
2025-09-25,229.45167541503906
2025-09-26,232.6165313720703
2025-09-29,233.58575439453125
2025-09-30,233.77366638183594
2025-10-01,232.1615753173828
2025-10-02,231.94400024414062
2025-10-03,234.19895935058594
2025-10-06,234.80224609375
2025-10-07,229.31321716308594
2025-10-08,230.0945281982422
2025-10-09,228.99671936035156
2025-10-10,222.97361755371094
2025-10-13,223.36923217773438
2025-10-14,224.58570861816406
2025-10-15,223.24066162109375
2025-10-16,221.5791015625
2025-10-17,223.55712890625
2025-10-20,224.80331420898438
2025-10-21,224.0516357421875
2025-10-22,222.76593017578125
2025-10-23,217.623046875
2025-10-24,214.230712890625
2025-10-27,215.8329315185547
2025-10-28,215.199951171875
2025-10-29,213.99334716796875
2025-10-30,216.4263458251953
2025-10-31,217.9494171142578
2025-11-03,216.4164581298828
2025-11-04,218.48348999023438
2025-11-05,214.9922637939453
2025-11-06,215.59556579589844
2025-11-07,219.04722595214844
2025-11-10,221.42086791992188
2025-11-11,222.33074951171875
2025-11-12,221.09449768066406
2025-11-13,219.04722595214844
2025-11-14,220.5703125
2025-11-17,218.572509765625
2025-11-18,218.39447021484375
2025-11-19,218.74063110351562
2025-11-20,218.7801971435547
2025-11-21,223.7351531982422
2025-11-24,222.0340576171875
2025-11-25,226.6132049560547
2025-11-26,228.1263885498047
2025-11-28,229.28353881835938
2025-12-01,228.81869506835938
2025-12-02,229.6890411376953
2025-12-03,232.64617919921875
2025-12-04,234.68356323242188
2025-12-05,234.08668518066406
2025-12-08,234.2160186767578
2025-12-09,230.35618591308594
2025-12-10,234.2359161376953
2025-12-11,234.89247131347656
2025-12-12,238.7025604248047
2025-12-15,239.21986389160156
2025-12-16,234.6537322998047
2025-12-17,235.50926208496094
2025-12-18,233.20130920410156
2025-12-19,233.01229858398438
2025-12-22,233.3903350830078
2025-12-23,232.93270874023438
2025-12-24,233.8280487060547
2025-12-26,232.22640991210938
2025-12-29,233.3107452392578
2025-12-30,231.848388671875
2025-12-31,230.11744689941406
