Date,TMUS
2024-06-20,171.7172393798828
2024-06-21,171.99949645996094
2024-06-24,173.1868133544922
2024-06-25,172.87539672851562
2024-06-26,171.59071350097656
2024-06-27,172.67100524902344
2024-06-28,171.46420288085938
2024-07-01,174.2865753173828
2024-07-02,175.16250610351562
2024-07-03,173.6831817626953
2024-07-05,174.4423065185547
2024-07-08,174.3741912841797
2024-07-09,174.25741577148438
2024-07-10,175.6880340576172
2024-07-11,174.0238037109375
2024-07-12,174.7342529296875
2024-07-15,176.8851318359375
2024-07-16,178.08218383789062
2024-07-17,178.6466827392578
2024-07-18,177.41065979003906
2024-07-19,177.17709350585938
2024-07-22,172.6904754638672
2024-07-23,171.8340301513672
2024-07-24,172.15521240234375
2024-07-25,170.45204162597656
2024-07-26,170.8316192626953
2024-07-29,172.13575744628906
2024-07-30,170.66615295410156
2024-07-31,177.4009246826172
2024-08-01,182.062744140625
2024-08-02,183.70748901367188
2024-08-05,181.8680877685547
2024-08-06,184.77804565429688
2024-08-07,185.48851013183594
2024-08-08,188.4276580810547
2024-08-09,189.00186157226562
2024-08-12,189.73179626464844
2024-08-13,190.1016387939453
2024-08-14,191.23057556152344
2024-08-15,189.4203643798828
2024-08-16,191.29869079589844
2024-08-19,192.29141235351562
2024-08-20,190.96778869628906
2024-08-21,190.22816467285156
2024-08-22,191.1819305419922
2024-08-23,193.26463317871094
2024-08-26,195.0651092529297
2024-08-27,198.56874084472656
2024-08-28,196.0188751220703
2024-08-29,194.72447204589844
2024-08-30,194.03123474121094
2024-09-03,195.7985382080078
2024-09-04,194.10935974121094
2024-09-05,192.52755737304688
2024-09-06,188.44619750976562
2024-09-09,190.69192504882812
2024-09-10,191.86358642578125
2024-09-11,193.85548400878906
2024-09-12,197.63418579101562
2024-09-13,198.0442657470703
2024-09-16,200.9929962158203
2024-09-17,197.91732788085938
2024-09-18,192.03936767578125
2024-09-19,194.92950439453125
2024-09-20,194.7342529296875
2024-09-23,197.68299865722656
2024-09-24,196.6870574951172
2024-09-25,198.51292419433594
2024-09-26,198.45436096191406
2024-09-27,200.33880615234375
2024-09-30,201.490966796875
2024-10-01,201.2371063232422
2024-10-02,203.17039489746094
2024-10-03,203.12155151367188
2024-10-04,203.3656768798828
2024-10-07,203.41448974609375
2024-10-08,206.18746948242188
2024-10-09,207.08575439453125
2024-10-10,206.4608612060547
2024-10-11,208.0133514404297
2024-10-14,210.81565856933594
2024-10-15,211.9092254638672
2024-10-16,214.5747833251953
2024-10-17,216.713134765625
