Date,CAT
2024-04-23,354.28985595703125
2024-04-24,354.5531921386719
2024-04-25,329.6627197265625
2024-04-26,334.9100341796875
2024-04-29,341.171630859375
2024-04-30,326.31732177734375
2024-05-01,322.9036865234375
2024-05-02,327.1658630371094
2024-05-03,328.44354248046875
2024-05-06,333.6615905761719
2024-05-07,336.4900207519531
2024-05-08,336.00238037109375
2024-05-09,343.1028137207031
2024-05-10,346.0386047363281
2024-05-13,347.8819274902344
2024-05-14,349.3449401855469
2024-05-15,351.1590270996094
2024-05-16,342.0690002441406
2024-05-17,347.4820556640625
2024-05-20,353.8022155761719
2024-05-21,350.2129821777344
2024-05-22,347.1601867675781
2024-05-23,342.0494384765625
2024-05-24,340.2938537597656
2024-05-28,337.9237365722656
2024-05-29,329.7698974609375
2024-05-30,330.8818664550781
2024-05-31,330.1698913574219
2024-06-03,323.1864318847656
2024-06-04,319.489990234375
2024-06-05,321.3236083984375
2024-06-06,320.1922912597656
2024-06-07,320.826171875
2024-06-10,321.47967529296875
2024-06-11,319.23638916015625
2024-06-12,320.62139892578125
2024-06-13,318.3097839355469
2024-06-14,313.5404357910156
2024-06-17,314.4474792480469
2024-06-18,317.1199035644531
2024-06-20,321.01153564453125
2024-06-21,319.7532653808594
2024-06-24,321.86004638671875
2024-06-25,319.32415771484375
2024-06-26,318.67071533203125
2024-06-27,319.3826904296875
2024-06-28,324.8835754394531
2024-07-01,320.9627380371094
2024-07-02,319.67529296875
2024-07-03,322.4549865722656
2024-07-05,320.250732421875
2024-07-08,320.9432373046875
2024-07-09,318.0171813964844
2024-07-10,320.3775939941406
2024-07-11,322.9621887207031
2024-07-12,327.3121337890625
2024-07-15,337.2410583496094
2024-07-16,351.68572998046875
2024-07-17,348.97430419921875
2024-07-18,347.2479248046875
2024-07-19,339.0552062988281
2024-07-22,340.6710205078125
2024-07-23,337.047607421875
2024-07-24,329.0858459472656
2024-07-25,337.1748962402344
2024-07-26,343.22705078125
2024-07-29,337.400146484375
2024-07-30,334.64825439453125
2024-07-31,339.0356140136719
2024-08-01,324.6593322753906
2024-08-02,314.2297668457031
2024-08-05,310.2439880371094
2024-08-06,319.6845397949219
2024-08-07,319.0577392578125
2024-08-08,329.2033386230469
2024-08-09,331.2598876953125
2024-08-12,329.0760498046875
2024-08-13,331.7887268066406
2024-08-14,330.6037292480469
2024-08-15,338.4872131347656
2024-08-16,336.3718566894531
2024-08-19,337.5176696777344
2024-08-20,336.1955871582031
2024-08-21,335.8724670410156
2024-08-22,335.2750244140625
2024-08-23,341.1998596191406
2024-08-26,343.8929443359375
2024-08-27,343.8537902832031
2024-08-28,340.9941711425781
2024-08-29,344.3630065917969
2024-08-30,348.7307434082031
2024-09-03,333.1989440917969
2024-09-04,329.7811584472656
2024-09-05,326.65716552734375
2024-09-06,322.5440673828125
2024-09-09,327.12725830078125
2024-09-10,327.2447814941406
2024-09-11,328.0673522949219
2024-09-12,332.55255126953125
2024-09-13,338.16400146484375
2024-09-16,340.7591857910156
2024-09-17,346.3705749511719
2024-09-18,347.77099609375
2024-09-19,365.5845642089844
2024-09-20,361.1874694824219
2024-09-23,363.48883056640625
2024-09-24,377.9433898925781
2024-09-25,370.4223327636719
2024-09-26,382.8692626953125
2024-09-27,382.9867858886719
2024-09-30,383.0259704589844
2024-10-01,384.26971435546875
2024-10-02,385.89532470703125
2024-10-03,382.9966125488281
2024-10-04,388.8724365234375
2024-10-07,390.0084228515625
2024-10-08,379.9313659667969
2024-10-09,387.9910888671875
2024-10-10,388.4317626953125
2024-10-11,393.7004089355469
2024-10-14,385.7974548339844
2024-10-15,379.96075439453125
2024-10-16,385.4742736816406
2024-10-17,386.326171875
2024-10-18,385.7092590332031
2024-10-21,383.77313232421875
2024-10-22,381.7878112792969
2024-10-23,379.104736328125
2024-10-24,380.411865234375
2024-10-25,379.3406066894531
2024-10-28,383.9008483886719
2024-10-29,380.8541564941406
2024-10-30,372.7261657714844
2024-10-31,369.7384338378906
2024-11-01,373.1094970703125
2024-11-04,370.0528869628906
2024-11-05,376.7852478027344
2024-11-06,409.7196960449219
2024-11-07,401.1985778808594
2024-11-08,386.61346435546875
2024-11-11,389.72906494140625
2024-11-12,386.25970458984375
2024-11-13,380.4217224121094
2024-11-14,380.70672607421875
2024-11-15,377.4732360839844
2024-11-18,377.8565673828125
2024-11-19,375.7630920410156
2024-11-20,374.9473876953125
2024-11-21,382.8984069824219
2024-11-22,390.6626892089844
2024-11-25,398.68255615234375
2024-11-26,400.8251037597656
2024-11-27,396.7660827636719
2024-11-29,399.1346435546875
2024-12-02,395.5965576171875
2024-12-03,392.40234375
2024-12-04,392.6480712890625
2024-12-05,388.19586181640625
2024-12-06,388.2449645996094
2024-12-09,392.40234375
2024-12-10,381.71905517578125
2024-12-11,382.1907653808594
2024-12-12,374.23974609375
2024-12-13,373.9743957519531
2024-12-16,372.4116516113281
2024-12-17,369.3452453613281
2024-12-18,357.6398620605469
2024-12-19,354.1802978515625
2024-12-20,359.7529296875
2024-12-23,359.11407470703125
2024-12-24,361.2566223144531
2024-12-26,360.8143615722656
2024-12-27,358.5931701660156
2024-12-30,356.77496337890625
2024-12-31,356.52923583984375
2025-01-02,353.590576171875
2025-01-03,357.54156494140625
2025-01-06,357.94451904296875
