Date,PG
2024-05-14,158.4644317626953
2024-05-15,159.18142700195312
2024-05-16,160.47201538085938
2024-05-17,160.26171875
2024-05-20,159.94622802734375
2024-05-21,160.94044494628906
2024-05-22,160.42422485351562
2024-05-23,158.20632934570312
2024-05-24,158.05337524414062
2024-05-28,155.93109130859375
2024-05-29,154.5353240966797
2024-05-30,155.4243927001953
2024-05-31,157.2981414794922
2024-06-03,157.40328979492188
2024-06-04,159.65943908691406
2024-06-05,158.74169921875
2024-06-06,161.05519104003906
2024-06-07,159.7072296142578
2024-06-10,159.9844512939453
2024-06-11,160.10874938964844
2024-06-12,157.90997314453125
2024-06-13,159.08583068847656
2024-06-14,159.4490966796875
2024-06-17,160.12783813476562
2024-06-18,161.14120483398438
2024-06-20,160.2903594970703
2024-06-21,160.8544158935547
2024-06-24,161.03602600097656
2024-06-25,159.5064697265625
2024-06-26,160.08006286621094
2024-06-27,159.28659057617188
2024-06-28,157.6614227294922
2024-07-01,155.55825805664062
2024-07-02,156.68630981445312
2024-07-03,156.619384765625
2024-07-05,157.93865966796875
2024-07-08,159.1909942626953
2024-07-09,158.36886596679688
2024-07-10,159.4586639404297
2024-07-11,158.2541046142578
2024-07-12,159.2770233154297
2024-07-15,157.33639526367188
2024-07-16,159.60206604003906
2024-07-17,161.9824676513672
2024-07-18,161.0264892578125
2024-07-19,161.5333251953125
2024-07-22,161.81222534179688
2024-07-23,160.24459838867188
2024-07-24,161.57180786132812
2024-07-25,160.51388549804688
2024-07-26,162.6393280029297
2024-07-29,163.42794799804688
2024-07-30,155.51283264160156
2024-07-31,154.6088104248047
2024-08-01,159.35018920898438
2024-08-02,163.57223510742188
2024-08-05,161.62950134277344
2024-08-06,161.65834045410156
2024-08-07,163.51451110839844
2024-08-08,164.3319549560547
2024-08-09,164.01461791992188
2024-08-12,160.4273223876953
2024-08-13,160.88897705078125
2024-08-14,162.3411865234375
2024-08-15,161.49485778808594
2024-08-16,161.4660186767578
2024-08-19,161.97573852539062
2024-08-20,163.88958740234375
2024-08-21,163.64913940429688
2024-08-22,163.63954162597656
2024-08-23,162.69703674316406
2024-08-26,163.83189392089844
2024-08-27,162.77398681640625
2024-08-28,162.5912322998047
2024-08-29,163.52410888671875
2024-08-30,164.97634887695312
2024-09-03,167.84231567382812
2024-09-04,169.16952514648438
2024-09-05,168.7559814453125
2024-09-06,168.87136840820312
2024-09-09,169.32337951660156
2024-09-10,170.98721313476562
2024-09-11,167.26527404785156
2024-09-12,166.83248901367188
2024-09-13,167.41917419433594
2024-09-16,170.458251953125
2024-09-17,169.15028381347656
2024-09-18,167.26527404785156
2024-09-19,164.97634887695312
2024-09-20,167.5537872314453
2024-09-23,167.1210174560547
2024-09-24,166.61131286621094
2024-09-25,165.66879272460938
2024-09-26,166.5824432373047
2024-09-27,166.90943908691406
2024-09-30,166.5728302001953
2024-10-01,166.4189453125
2024-10-02,165.34181213378906
2024-10-03,163.6106719970703
2024-10-04,162.4181365966797
2024-10-07,160.7254638671875
2024-10-08,161.72567749023438
2024-10-09,162.793212890625
2024-10-10,162.48545837402344
2024-10-11,164.54356384277344
2024-10-14,165.90924072265625
2024-10-15,166.9286651611328
2024-10-16,165.78421020507812
2024-10-17,165.6880340576172
2024-10-18,165.69480895996094
2024-10-21,164.01153564453125
2024-10-22,164.16632080078125
2024-10-23,164.05023193359375
2024-10-24,164.08892822265625
2024-10-25,162.73460388183594
2024-10-28,163.7793731689453
2024-10-29,161.71881103515625
2024-10-30,160.74176025390625
2024-10-31,159.79371643066406
2024-11-01,159.71633911132812
2024-11-04,159.69699096679688
2024-11-05,160.35479736328125
2024-11-06,155.7983856201172
2024-11-07,158.08145141601562
2024-11-08,162.2412109375
2024-11-11,160.61599731445312
2024-11-12,160.43218994140625
2024-11-13,161.1480712890625
2024-11-14,161.63174438476562
2024-11-15,164.01153564453125
2024-11-18,165.1820831298828
2024-11-19,165.19175720214844
2024-11-20,165.31753540039062
2024-11-21,167.1168670654297
2024-11-22,170.53176879882812
2024-11-25,171.60556030273438
2024-11-26,173.4629364013672
2024-11-27,173.5113067626953
2024-11-29,173.41458129882812
2024-12-02,173.84022521972656
2024-12-03,169.69979858398438
2024-12-04,169.39990234375
2024-12-05,170.28990173339844
2024-12-06,168.15199279785156
2024-12-09,165.22076416015625
2024-12-10,166.66220092773438
2024-12-11,165.0659942626953
2024-12-12,165.27883911132812
2024-12-13,165.48196411132812
2024-12-16,165.5593719482422
2024-12-17,164.77578735351562
2024-12-18,163.56654357910156
2024-12-19,163.67294311523438
2024-12-20,162.57980346679688
2024-12-23,162.628173828125
2024-12-24,163.4311065673828
2024-12-26,164.611328125
2024-12-27,164.00186157226562
2024-12-30,161.6414337158203
2024-12-31,162.1831817626953
2025-01-02,160.567626953125
2025-01-03,159.74534606933594
2025-01-06,155.36306762695312
2025-01-07,156.0402374267578
2025-01-08,156.81414794921875
2025-01-10,153.38958740234375
2025-01-13,153.66046142578125
2025-01-14,154.53109741210938
2025-01-15,154.44403076171875
2025-01-16,155.26634216308594
2025-01-17,155.8757781982422
2025-01-21,156.446533203125
2025-01-22,159.36805725097656
2025-01-23,160.73207092285156
2025-01-24,159.7364044189453
2025-01-27,165.12844848632812
2025-01-28,161.75111389160156
2025-01-29,161.79005432128906
2025-01-30,162.9385223388672
2025-01-31,161.55645751953125
2025-02-03,164.25247192382812
2025-02-04,163.63931274414062
2025-02-05,164.49578857421875
2025-02-06,164.36927795410156
2025-02-07,163.4835662841797
2025-02-10,163.05532836914062
2025-02-11,164.90455627441406
2025-02-12,165.0505828857422
2025-02-13,166.45211791992188
2025-02-14,158.5392608642578
2025-02-18,161.01141357421875
2025-02-19,162.04312133789062
2025-02-20,162.74388122558594
2025-02-21,165.68319702148438
2025-02-24,165.98492431640625
2025-02-25,168.03857421875
2025-02-26,166.72463989257812
2025-02-27,167.37673950195312
2025-02-28,169.19679260253906
2025-03-03,170.90003967285156
2025-03-04,168.55441284179688
2025-03-05,169.9462127685547
2025-03-06,169.99488830566406
2025-03-07,171.25042724609375
2025-03-10,171.55215454101562
2025-03-11,168.4960174560547
