Date,GE
2023-12-28,101.1624755859375
2023-12-29,100.6185073852539
2024-01-02,99.29405212402344
2024-01-03,97.8040542602539
2024-01-04,98.2770767211914
2024-01-05,99.56209564208984
2024-01-08,101.13094329833984
2024-01-09,101.52511596679688
2024-01-10,102.25041198730469
2024-01-11,102.3529052734375
2024-01-12,102.32135772705078
2024-01-16,100.88654327392578
2024-01-17,100.02722930908203
2024-01-18,101.34379577636719
2024-01-19,102.33712768554688
2024-01-22,103.45660400390625
2024-01-23,102.44749450683594
2024-01-24,102.43173217773438
2024-01-25,102.43173217773438
2024-01-26,103.42506408691406
2024-01-29,103.35411071777344
2024-01-30,105.58517456054688
2024-01-31,104.39476013183594
2024-02-01,106.75194549560547
2024-02-02,107.64279174804688
2024-02-05,108.565185546875
2024-02-06,108.46269226074219
2024-02-07,109.18798065185547
2024-02-08,109.62158203125
2024-02-09,109.80291748046875
2024-02-12,110.50455474853516
2024-02-13,111.76592254638672
2024-02-14,115.49488067626953
2024-02-15,116.9691162109375
2024-02-16,117.59190368652344
2024-02-20,117.16619873046875
2024-02-21,117.52096557617188
2024-02-22,119.57070922851562
2024-02-23,120.87936401367188
2024-02-26,122.0146255493164
2024-02-27,121.39968872070312
2024-02-28,122.67684173583984
2024-02-29,123.68595123291016
2024-03-01,125.07345581054688
2024-03-04,126.93399810791016
2024-03-05,124.45065307617188
2024-03-06,125.74356842041016
2024-03-07,131.2620849609375
2024-03-08,132.41310119628906
2024-03-11,131.3094024658203
2024-03-12,132.01890563964844
2024-03-13,134.1475067138672
2024-03-14,131.4591827392578
2024-03-15,133.14625549316406
2024-03-18,133.9503936767578
2024-03-19,136.74908447265625
2024-03-20,137.11962890625
2024-03-21,139.25608825683594
2024-03-22,138.08143615722656
2024-03-25,136.772705078125
2024-03-26,136.82005310058594
2024-03-27,141.9995574951172
2024-03-28,138.38099670410156
2024-04-01,138.24697875976562
2024-04-02,134.8072967529297
2024-04-03,143.84579467773438
2024-04-04,145.59423828125
2024-04-05,154.3956756591797
2024-04-08,154.6129913330078
2024-04-09,152.60772705078125
2024-04-10,154.70188903808594
2024-04-11,155.75885009765625
2024-04-12,153.0177459716797
2024-04-15,152.09744262695312
2024-04-16,155.12551879882812
2024-04-17,154.04690551757812
2024-04-18,151.3453826904297
2024-04-19,146.5162353515625
2024-04-22,148.62403869628906
2024-04-23,160.92442321777344
2024-04-24,157.5301971435547
2024-04-25,159.57859802246094
2024-04-26,160.65725708007812
2024-04-29,162.77493286132812
2024-04-30,160.13278198242188
2024-05-01,158.03489685058594
2024-05-02,160.94424438476562
2024-05-03,162.39889526367188
2024-05-06,166.2186737060547
2024-05-07,167.02020263671875
2024-05-08,167.09938049316406
2024-05-09,165.75357055664062
2024-05-10,161.676513671875
2024-05-13,157.83697509765625
2024-05-14,158.33175659179688
2024-05-15,161.76556396484375
2024-05-16,159.4400634765625
2024-05-17,158.22288513183594
2024-05-20,157.6192626953125
2024-05-21,159.32131958007812
2024-05-22,159.13331604003906
2024-05-23,163.5369110107422
2024-05-24,165.5853271484375
2024-05-28,166.802490234375
2024-05-29,161.8942413330078
2024-05-30,162.48794555664062
2024-05-31,163.41815185546875
2024-06-03,159.77651977539062
2024-06-04,159.69737243652344
2024-06-05,160.8551788330078
2024-06-06,158.94528198242188
2024-06-07,160.2317352294922
2024-06-10,161.1421356201172
2024-06-11,158.68800354003906
2024-06-12,159.3708038330078
2024-06-13,154.0666961669922
2024-06-14,154.25473022460938
2024-06-17,161.528076171875
2024-06-18,163.24993896484375
2024-06-20,163.27960205078125
2024-06-21,162.52755737304688
2024-06-24,158.8661346435547
2024-06-25,158.0645751953125
2024-06-26,158.96507263183594
2024-06-27,158.82652282714844
2024-06-28,157.3125
2024-07-01,157.3125
2024-07-02,159.76661682128906
2024-07-03,161.30047607421875
2024-07-05,158.82652282714844
2024-07-08,161.82493591308594
2024-07-09,161.42910766601562
2024-07-10,163.97230529785156
2024-07-11,160.50294494628906
2024-07-12,157.61839294433594
2024-07-15,158.16360473632812
2024-07-16,161.4248046875
2024-07-17,155.2889862060547
2024-07-18,157.4003448486328
2024-07-19,157.7373809814453
2024-07-22,161.33560180664062
2024-07-23,170.49473571777344
2024-07-24,160.87962341308594
2024-07-25,163.22889709472656
2024-07-26,168.32391357421875
2024-07-29,168.3833770751953
2024-07-30,166.0142822265625
2024-07-31,168.71047973632812
2024-08-01,168.26443481445312
2024-08-02,158.87728881835938
2024-08-05,156.97410583496094
2024-08-06,160.84988403320312
2024-08-07,160.71112060546875
2024-08-08,164.16064453125
2024-08-09,165.6673583984375
2024-08-12,165.4096221923828
2024-08-13,166.49009704589844
2024-08-14,166.4801788330078
2024-08-15,168.4527587890625
2024-08-16,167.9373016357422
2024-08-19,169.43409729003906
2024-08-20,168.50233459472656
2024-08-21,169.70175170898438
2024-08-22,168.1950225830078
2024-08-23,169.72157287597656
2024-08-26,169.72157287597656
2024-08-27,169.4935760498047
2024-08-28,170.36585998535156
2024-08-29,172.06089782714844
2024-08-30,173.091796875
2024-09-03,162.77291870117188
2024-09-04,164.9040985107422
2024-09-05,162.4160614013672
2024-09-06,159.8189697265625
2024-09-09,163.90293884277344
2024-09-10,165.51866149902344
2024-09-11,164.89419555664062
2024-09-12,168.21484375
2024-09-13,176.7197723388672
2024-09-16,179.8521270751953
2024-09-17,178.75184631347656
2024-09-18,181.9436492919922
2024-09-19,184.53082275390625
2024-09-20,185.7896728515625
2024-09-23,187.01885986328125
2024-09-24,188.00018310546875
