Date,AMGN
2024-07-08,295.1341552734375
2024-07-09,299.35089111328125
2024-07-10,304.8089904785156
2024-07-11,308.0497131347656
2024-07-12,313.48883056640625
2024-07-15,312.84442138671875
2024-07-16,315.6777648925781
2024-07-17,318.0751953125
2024-07-18,313.6214904785156
2024-07-19,313.92474365234375
2024-07-22,318.3594055175781
2024-07-23,315.7724914550781
2024-07-24,318.0182189941406
2024-07-25,316.7769470214844
2024-07-26,317.2981262207031
2024-07-29,315.080810546875
2024-07-30,315.8103942871094
2024-07-31,315.0428771972656
2024-08-01,317.94244384765625
2024-08-02,316.4831848144531
2024-08-05,308.1728515625
2024-08-06,311.7073669433594
2024-08-07,296.11962890625
2024-08-08,307.670654296875
2024-08-09,305.58599853515625
2024-08-12,303.2265319824219
2024-08-13,306.49566650390625
2024-08-14,305.8133850097656
2024-08-15,308.333984375
2024-08-16,306.7118835449219
2024-08-19,312.9426574707031
2024-08-20,313.4961242675781
2024-08-21,314.0685729980469
2024-08-22,309.6602783203125
2024-08-23,313.734619140625
2024-08-26,311.80718994140625
2024-08-27,311.9503173828125
2024-08-28,314.3930358886719
2024-08-29,315.8433837890625
2024-08-30,318.5341491699219
2024-09-03,315.3663024902344
2024-09-04,315.4903564453125
2024-09-05,309.4980773925781
2024-09-06,305.8721618652344
2024-09-09,310.98663330078125
2024-09-10,313.8586730957031
2024-09-11,314.8606262207031
2024-09-12,314.9369201660156
2024-09-13,317.2174377441406
2024-09-16,319.898681640625
2024-09-17,317.5513610839844
2024-09-18,317.6658630371094
2024-09-19,320.55706787109375
2024-09-20,321.9215087890625
2024-09-23,320.23260498046875
2024-09-24,315.7575378417969
2024-09-25,298.52496337890625
2024-09-26,304.4791259765625
2024-09-27,307.8855285644531
2024-09-30,307.44659423828125
2024-10-01,305.6431579589844
2024-10-02,305.0802001953125
2024-10-03,302.93328857421875
2024-10-04,305.013427734375
2024-10-07,302.9046936035156
2024-10-08,303.1241760253906
2024-10-09,307.6374206542969
2024-10-10,306.30157470703125
2024-10-11,313.3052673339844
2024-10-14,309.74615478515625
2024-10-15,310.19464111328125
2024-10-16,306.8931579589844
2024-10-17,306.6069030761719
2024-10-18,306.9217834472656
2024-10-21,302.22723388671875
2024-10-22,305.013427734375
2024-10-23,300.4715270996094
2024-10-24,301.225341796875
2024-10-25,302.45623779296875
2024-10-28,302.6375427246094
2024-10-29,301.5211486816406
2024-10-30,301.0822448730469
2024-10-31,305.4905090332031
2024-11-01,304.5935974121094
2024-11-04,302.38946533203125
2024-11-05,304.660400390625
2024-11-06,307.04583740234375
2024-11-07,307.1603698730469
2024-11-08,310.37591552734375
2024-11-11,307.06494140625
2024-11-12,285.14739990234375
2024-11-13,287.62823486328125
2024-11-14,282.3707275390625
2024-11-15,270.6152038574219
2024-11-18,268.114501953125
2024-11-19,269.2590637207031
2024-11-20,276.8766174316406
2024-11-21,278.8291015625
2024-11-22,283.2822570800781
2024-11-25,282.77252197265625
2024-11-26,269.3167724609375
2024-11-27,269.37451171875
2024-11-29,272.06756591796875
2024-12-02,267.4797058105469
2024-12-03,267.6913146972656
2024-12-04,267.6336364746094
2024-12-05,263.8536376953125
2024-12-06,262.1705017089844
2024-12-09,267.02764892578125
2024-12-10,265.2194519042969
2024-12-11,262.96881103515625
2024-12-12,263.593994140625
