Date,COST
2024-08-15,870.4482421875
2024-08-16,863.7415161132812
2024-08-19,865.487548828125
2024-08-20,869.3073120117188
2024-08-21,874.4862060546875
2024-08-22,870.6566162109375
2024-08-23,872.2936401367188
2024-08-26,885.489013671875
2024-08-27,901.7500610351562
2024-08-28,881.0640869140625
2024-08-29,879.6552734375
2024-08-30,885.3600463867188
2024-09-03,871.6587524414062
2024-09-04,883.0186157226562
2024-09-05,879.0103759765625
2024-09-06,869.7835693359375
2024-09-09,889.4378051757812
2024-09-10,887.255126953125
2024-09-11,893.3170166015625
2024-09-12,907.8319702148438
2024-09-13,908.794189453125
2024-09-16,900.7282104492188
2024-09-17,890.2116088867188
2024-09-18,885.4989624023438
2024-09-19,893.654296875
2024-09-20,899.84521484375
2024-09-23,909.86572265625
2024-09-24,894.447998046875
2024-09-25,901.2738647460938
2024-09-26,894.3488159179688
2024-09-27,878.6532592773438
2024-09-30,879.546142578125
2024-10-01,870.4780883789062
2024-10-02,871.6190795898438
2024-10-03,868.781494140625
2024-10-04,876.1629638671875
2024-10-07,866.7178955078125
2024-10-08,883.4154663085938
2024-10-09,901.9485473632812
2024-10-10,886.6002197265625
2024-10-11,882.0364379882812
2024-10-14,882.7606201171875
2024-10-15,887.572509765625
2024-10-16,880.3994140625
2024-10-17,878.3257446289062
2024-10-18,882.562255859375
2024-10-21,879.794189453125
2024-10-22,886.4613037109375
2024-10-23,892.0966186523438
2024-10-24,886.391845703125
2024-10-25,884.2091674804688
2024-10-28,883.9512329101562
2024-10-29,880.0125122070312
2024-10-30,872.1746215820312
2024-10-31,867.30322265625
2024-11-01,871.565185546875
2024-11-04,880.2677612304688
2024-11-05,884.3408813476562
2024-11-06,893.3614501953125
2024-11-07,907.9453125
2024-11-08,937.61962890625
2024-11-11,926.7713012695312
2024-11-12,926.2744750976562
2024-11-13,927.6156616210938
2024-11-14,917.8401489257812
2024-11-15,901.1303100585938
2024-11-18,913.48876953125
2024-11-19,924.0592041015625
2024-11-20,922.0027465820312
2024-11-21,949.3921508789062
2024-11-22,957.6974487304688
2024-11-25,954.5978393554688
2024-11-26,965.1383056640625
2024-11-27,955.2534790039062
2024-11-29,965.5158081054688
2024-12-02,968.6154174804688
2024-12-03,975.7186279296875
2024-12-04,984.4310913085938
2024-12-05,975.8279418945312
2024-12-06,986.110107421875
2024-12-09,981.3912353515625
2024-12-10,986.8949584960938
2024-12-11,988.176513671875
2024-12-12,981.9177856445312
2024-12-13,982.8714599609375
2024-12-16,986.368408203125
2024-12-17,975.6490478515625
2024-12-18,958.4226684570312
2024-12-19,948.5476684570312
2024-12-20,947.8225708007812
2024-12-23,943.6896362304688
2024-12-24,952.5413818359375
2024-12-26,949.8789672851562
2024-12-27,933.5465698242188
2024-12-30,916.1712036132812
2024-12-31,910.27001953125
2025-01-02,903.852294921875
2025-01-03,910.5779418945312
2025-01-06,916.6679077148438
2025-01-07,915.3366088867188
2025-01-08,921.2973022460938
2025-01-10,930.8046264648438
2025-01-13,918.6448974609375
2025-01-14,911.2236938476562
2025-01-15,917.4526977539062
2025-01-16,913.727294921875
2025-01-17,937.0137329101562
2025-01-21,941.5240478515625
2025-01-22,938.5138549804688
2025-01-23,935.9904174804688
2025-01-24,933.5267333984375
2025-01-27,958.9292602539062
2025-01-28,952.3923950195312
2025-01-29,957.7073974609375
2025-01-30,972.5991821289062
2025-01-31,973.4635009765625
2025-02-03,999.2435913085938
2025-02-04,1015.1685791015625
2025-02-05,1036.051025390625
2025-02-06,1044.1077880859375
2025-02-07,1038.1207275390625
2025-02-10,1056.1318359375
2025-02-11,1052.5714111328125
2025-02-12,1059.314453125
2025-02-13,1070.990478515625
2025-02-14,1066.0078125
2025-02-18,1050.2740478515625
2025-02-19,1056.74853515625
2025-02-20,1029.189697265625
2025-02-21,1029.3885498046875
2025-02-24,1029.955322265625
2025-02-25,1049.9061279296875
2025-02-26,1026.34521484375
2025-02-27,1016.1411743164062
2025-02-28,1042.8944091796875
2025-03-03,1041.1441650390625
2025-03-04,1031.218505859375
2025-03-05,1042.0391845703125
2025-03-06,1021.0243530273438
2025-03-07,959.053955078125
2025-03-10,929.31689453125
2025-03-11,925.4182739257812
2025-03-12,922.02685546875
2025-03-13,885.7655639648438
2025-03-14,898.9930419921875
2025-03-17,911.6139526367188
2025-03-18,893.155029296875
2025-03-19,899.122314453125
2025-03-20,890.5195922851562
2025-03-21,904.3040771484375
2025-03-24,920.992431640625
2025-03-25,925.1895141601562
2025-03-26,924.682373046875
2025-03-27,933.6332397460938
2025-03-28,924.5928344726562
2025-03-31,940.625
2025-04-01,949.197998046875
2025-04-02,959.8197631835938
2025-04-03,961.8088989257812
2025-04-04,911.484619140625
2025-04-07,903.18017578125
2025-04-08,903.7967529296875
2025-04-09,959.9291381835938
2025-04-10,959.053955078125
2025-04-11,958.1588134765625
2025-04-14,973.9821166992188
2025-04-15,971.59521484375
2025-04-16,962.4752197265625
2025-04-17,989.0794067382812
2025-04-21,952.5496215820312
2025-04-22,973.892578125
2025-04-23,970.5211791992188
2025-04-24,970.1630859375
2025-04-25,971.8338623046875
2025-04-28,973.2064208984375
2025-04-29,986.294677734375
2025-04-30,989.0794067382812
2025-05-01,993.5946044921875
2025-05-02,1004.1107177734375
2025-05-05,1010.6734008789062
2025-05-06,1006.3015747070312
2025-05-07,1002.965576171875
2025-05-08,1003.5232543945312
2025-05-09,1003.9016723632812
2025-05-12,1011.9281616210938
2025-05-13,994.8793334960938
2025-05-14,987.4203491210938
2025-05-15,1006.271728515625
2025-05-16,1021.56787109375
2025-05-19,1030.04248046875
2025-05-20,1032.5123291015625
2025-05-21,1021.0401611328125
2025-05-22,1013.8999633789062
2025-05-23,1004.3099365234375
2025-05-27,1013.561279296875
2025-05-28,1008.9306640625
2025-05-29,1004.5488891601562
2025-05-30,1035.8583984375
2025-06-02,1052.458984375
2025-06-03,1051.2041015625
2025-06-04,1047.320556640625
2025-06-05,1006.6102905273438
2025-06-06,1010.7232055664062
2025-06-09,1001.99951171875
2025-06-10,1003.0850219726562
2025-06-11,992.638671875
2025-06-12,998.5440673828125
2025-06-13,986.095947265625
2025-06-16,980.270263671875
2025-06-17,973.6577758789062
2025-06-18,970.8494873046875
2025-06-20,976.2171020507812
2025-06-23,1000.306640625
2025-06-24,997.7572631835938
2025-06-25,982.441162109375
2025-06-26,978.8262329101562
2025-06-27,981.0469360351562
2025-06-30,985.8270263671875
2025-07-01,981.8635864257812
2025-07-02,978.2785034179688
2025-07-03,982.919189453125
2025-07-07,988.0577392578125
2025-07-08,981.744140625
2025-07-09,978.0096435546875
2025-07-10,966.13916015625
2025-07-11,966.2985229492188
2025-07-14,976.83447265625
