Date,MSFT
2024-02-08,407.0971984863281
2024-02-09,413.42816162109375
2024-02-12,408.2277526855469
2024-02-13,399.43914794921875
2024-02-14,403.2998962402344
2024-02-15,400.41412353515625
2024-02-16,397.95196533203125
2024-02-20,396.7011413574219
2024-02-21,396.100341796875
2024-02-22,405.42718505859375
2024-02-23,404.13702392578125
2024-02-26,401.37939453125
2024-02-27,401.3202209472656
2024-02-28,401.556640625
2024-02-29,407.38714599609375
2024-03-01,409.218994140625
2024-03-04,408.6477966308594
2024-03-05,396.5632629394531
2024-03-06,396.0116882324219
2024-03-07,402.9551696777344
2024-03-08,400.07928466796875
2024-03-11,398.40496826171875
2024-03-12,409.0024108886719
2024-03-13,408.8250427246094
2024-03-14,418.7921142578125
2024-03-15,410.1250915527344
2024-03-18,411.0115051269531
2024-03-19,415.0397033691406
2024-03-20,418.80194091796875
2024-03-21,422.8793640136719
2024-03-22,422.2588806152344
2024-03-25,416.4677429199219
2024-03-26,415.2760314941406
2024-03-27,415.059326171875
2024-03-28,414.3601379394531
2024-04-01,418.15191650390625
2024-04-02,415.0692443847656
2024-04-03,414.09417724609375
2024-04-04,411.5630187988281
2024-04-05,419.08758544921875
2024-04-08,418.1716003417969
2024-04-09,419.8360900878906
2024-04-10,416.8616943359375
2024-04-11,421.4610595703125
2024-04-12,415.5223083496094
2024-04-15,407.38714599609375
2024-04-16,408.3128662109375
2024-04-17,405.6143798828125
2024-04-18,398.1587829589844
2024-04-19,393.0866394042969
2024-04-22,394.8988342285156
2024-04-23,401.408935546875
2024-04-24,402.8763732910156
2024-04-25,393.0078430175781
2024-04-26,400.177734375
2024-04-29,396.1693115234375
2024-04-30,383.4446105957031
2024-05-01,388.9698486328125
2024-05-02,391.82598876953125
2024-05-03,400.51263427734375
2024-05-06,407.28863525390625
2024-05-07,403.152099609375
2024-05-08,404.333984375
2024-05-09,406.08709716796875
2024-05-10,408.4705505371094
2024-05-13,407.46588134765625
2024-05-14,410.26300048828125
2024-05-15,417.4360046386719
2024-05-16,415.3739013671875
2024-05-17,414.60430908203125
2024-05-20,419.6658630371094
2024-05-21,423.3165588378906
2024-05-22,424.7767639160156
2024-05-23,421.3037414550781
2024-05-24,424.4215393066406
2024-05-28,424.5794677734375
2024-05-29,423.44476318359375
2024-05-30,409.1382141113281
2024-05-31,409.59210205078125
2024-06-03,408.0035705566406
2024-06-04,410.51953125
2024-06-05,418.3536376953125
2024-06-06,418.8568115234375
2024-06-07,418.19573974609375
2024-06-10,422.162109375
2024-06-11,426.9079284667969
2024-06-12,435.1761779785156
2024-06-13,435.6891784667969
2024-06-14,436.666015625
2024-06-17,442.38861083984375
2024-06-18,440.3857116699219
2024-06-20,439.7542724609375
2024-06-21,443.77984619140625
2024-06-24,441.6980285644531
2024-06-25,444.9342346191406
2024-06-26,446.12811279296875
2024-06-27,446.80889892578125
2024-06-28,440.98760986328125
2024-07-01,450.6371154785156
2024-07-02,453.153076171875
2024-07-03,454.6231994628906
2024-07-05,461.3226013183594
2024-07-08,460.020263671875
2024-07-09,453.40960693359375
2024-07-10,460.0301208496094
2024-07-11,448.6342468261719
2024-07-12,447.49951171875
2024-07-15,447.9040222167969
2024-07-16,443.5232849121094
2024-07-17,437.60333251953125
2024-07-18,434.495361328125
2024-07-19,431.2788391113281
2024-07-22,437.03106689453125
2024-07-23,438.9156188964844
2024-07-24,423.1783752441406
2024-07-25,412.8184509277344
2024-07-26,419.59674072265625
2024-07-29,421.037353515625
2024-07-30,417.2781982421875
2024-07-31,412.7691345214844
2024-08-01,411.545654296875
2024-08-02,403.0406799316406
2024-08-05,389.87860107421875
2024-08-06,394.27911376953125
2024-08-07,393.1148376464844
2024-08-08,397.3180847167969
2024-08-09,400.6036071777344
2024-08-12,401.383056640625
2024-08-13,408.487060546875
2024-08-14,411.2989807128906
2024-08-15,416.1620788574219
