Date,TMO
2024-03-19,579.4718017578125
2024-03-20,576.816650390625
2024-03-21,580.8739624023438
2024-03-22,579.8397827148438
2024-03-25,570.3629150390625
2024-03-26,565.6492919921875
2024-03-27,576.1405029296875
2024-03-28,577.97021484375
2024-04-01,574.2311401367188
2024-04-02,568.3740844726562
2024-04-03,572.789306640625
2024-04-04,567.4293212890625
2024-04-05,576.2300415039062
2024-04-08,575.5736694335938
2024-04-09,585.9156494140625
2024-04-10,570.5120239257812
2024-04-11,571.3672485351562
2024-04-12,562.079345703125
2024-04-15,554.7604370117188
2024-04-16,551.4588012695312
2024-04-17,544.1995239257812
2024-04-18,538.5015258789062
2024-04-19,541.743408203125
2024-04-22,545.3231811523438
2024-04-23,571.3871459960938
2024-04-24,574.1715698242188
2024-04-25,568.5431518554688
2024-04-26,570.4026489257812
2024-04-29,573.67431640625
2024-04-30,565.5499267578125
2024-05-01,571.7850341796875
2024-05-02,568.0657958984375
2024-05-03,569.1895751953125
2024-05-06,570.3529663085938
2024-05-07,569.6767578125
2024-05-08,570.4424438476562
2024-05-09,574.7085571289062
2024-05-10,589.7244262695312
2024-05-13,587.4073486328125
2024-05-14,591.4844970703125
2024-05-15,595.6810302734375
2024-05-16,593.8213500976562
2024-05-17,591.981689453125
2024-05-20,590.6989135742188
2024-05-21,586.83056640625
2024-05-22,587.5067749023438
2024-05-23,581.7689208984375
2024-05-24,580.7943725585938
2024-05-28,569.37841796875
2024-05-29,564.1378173828125
2024-05-30,559.6231079101562
2024-05-31,564.8140258789062
2024-06-03,566.4050903320312
2024-06-04,566.49462890625
2024-06-05,572.0733642578125
2024-06-06,576.60791015625
2024-06-07,577.8510131835938
2024-06-10,578.2386474609375
2024-06-11,572.6798706054688
2024-06-12,572.4810180664062
2024-06-13,569.4380493164062
2024-06-14,569.2490234375
2024-06-17,565.2188110351562
2024-06-18,566.383056640625
2024-06-20,554.481689453125
2024-06-21,561.8355102539062
2024-06-24,563.1788940429688
2024-06-25,553.7951049804688
2024-06-26,555.4368896484375
2024-06-27,548.0831909179688
2024-06-28,550.292236328125
2024-07-01,539.0675048828125
2024-07-02,531.3156127929688
2024-07-03,532.9873046875
2024-07-05,537.4554443359375
2024-07-08,533.6640014648438
2024-07-09,529.2556762695312
2024-07-10,534.2412719726562
2024-07-11,540.0327758789062
2024-07-12,545.4063110351562
2024-07-15,542.0130004882812
2024-07-16,552.7003784179688
2024-07-17,552.3421630859375
2024-07-18,537.9728393554688
2024-07-19,531.7335815429688
2024-07-22,543.7445068359375
2024-07-23,549.5359497070312
2024-07-24,571.915771484375
2024-07-25,591.5890502929688
2024-07-26,604.1671752929688
2024-07-29,601.1619873046875
2024-07-30,612.0484008789062
2024-07-31,610.3369140625
2024-08-01,618.7255249023438
2024-08-02,612.67529296875
2024-08-05,595.101806640625
2024-08-06,599.0723266601562
2024-08-07,584.4940795898438
2024-08-08,597.1019287109375
2024-08-09,593.2608642578125
2024-08-12,596.1366577148438
2024-08-13,601.2515869140625
2024-08-14,599.1519165039062
2024-08-15,600.7340698242188
2024-08-16,601.022705078125
2024-08-19,604.6249389648438
2024-08-20,611.5308837890625
2024-08-21,607.1823120117188
2024-08-22,600.9031982421875
2024-08-23,603.1522216796875
2024-08-26,602.624755859375
2024-08-27,607.4112548828125
2024-08-28,610.1378173828125
2024-08-29,608.6849365234375
2024-08-30,612.058349609375
2024-09-03,603.4606323242188
2024-09-04,608.9038696289062
2024-09-05,603.9085083007812
2024-09-06,608.3366088867188
2024-09-09,617.3822021484375
2024-09-10,621.1536865234375
2024-09-11,615.4318237304688
2024-09-12,611.15283203125
2024-09-13,608.5639038085938
2024-09-16,611.5311889648438
2024-09-17,607.8867797851562
2024-09-18,607.518310546875
2024-09-19,617.605224609375
2024-09-20,611.0731811523438
2024-09-23,607.747314453125
2024-09-24,609.2709350585938
2024-09-25,597.222412109375
2024-09-26,616.6890258789062
2024-09-27,611.800048828125
2024-09-30,615.9323120117188
2024-10-01,610.326416015625
2024-10-02,610.1072387695312
2024-10-03,598.3574829101562
2024-10-04,596.057373046875
2024-10-07,596.29638671875
2024-10-08,592.9110107421875
2024-10-09,596.6947631835938
2024-10-10,591.2579956054688
2024-10-11,594.3746948242188
2024-10-14,601.2152709960938
2024-10-15,597.9592895507812
2024-10-16,589.027587890625
2024-10-17,596.6947631835938
2024-10-18,599.1443481445312
2024-10-21,592.831298828125
2024-10-22,583.8795776367188
2024-10-23,574.0317993164062
2024-10-24,555.0032958984375
2024-10-25,552.01611328125
2024-10-28,550.1838989257812
2024-10-29,545.4342651367188
2024-10-30,548.2720336914062
2024-10-31,543.990478515625
2024-11-01,555.541015625
2024-11-04,553.1013793945312
2024-11-05,558.3987426757812
2024-11-06,557.2933959960938
2024-11-07,553.5196533203125
2024-11-08,549.3873291015625
2024-11-11,544.5877685546875
2024-11-12,538.4442138671875
2024-11-13,539.58935546875
2024-11-14,530.7471313476562
2024-11-15,510.89215087890625
2024-11-18,499.1524658203125
2024-11-19,506.94903564453125
2024-11-20,510.6531982421875
2024-11-21,513.8992919921875
2024-11-22,511.0714416503906
2024-11-25,512.0074462890625
2024-11-26,510.7926025390625
2024-11-27,519.435546875
2024-11-29,527.37158203125
2024-12-02,527.6903076171875
2024-12-03,532.1411743164062
2024-12-04,526.6148071289062
2024-12-05,518.6389770507812
2024-12-06,527.1027221679688
2024-12-09,534.9391479492188
2024-12-10,533.5650024414062
2024-12-11,532.0814208984375
2024-12-12,522.7613525390625
2024-12-13,525.0333251953125
2024-12-16,528.3914184570312
2024-12-17,526.9765014648438
2024-12-18,514.3610229492188
2024-12-19,514.8692626953125
2024-12-20,522.2032470703125
2024-12-23,523.4389038085938
2024-12-24,527.115966796875
2024-12-26,525.3222045898438
2024-12-27,524.2162475585938
2024-12-30,517.01171875
2024-12-31,518.396728515625
2025-01-02,520.728515625
2025-01-03,530.1452026367188
2025-01-06,535.2969970703125
2025-01-07,543.7271728515625
2025-01-08,543.009765625
2025-01-10,540.3989868164062
2025-01-13,553.5623779296875
2025-01-14,555.0271606445312
2025-01-15,549.5266723632812
2025-01-16,559.7305908203125
2025-01-17,557.6778564453125
2025-01-21,571.0405883789062
2025-01-22,572.5652465820312
2025-01-23,572.8242797851562
2025-01-24,572.7943725585938
2025-01-27,581.5833740234375
2025-01-28,582.2310180664062
2025-01-29,566.2276000976562
2025-01-30,604.6018676757812
2025-01-31,595.6435546875
2025-02-03,591.6576538085938
2025-02-04,578.5241088867188
2025-02-05,580.3276977539062
2025-02-06,570.6918334960938
2025-02-07,569.4561767578125
2025-02-10,550.9117431640625
2025-02-11,543.3086547851562
2025-02-12,536.1041259765625
2025-02-13,530.7630615234375
2025-02-14,529.975830078125
2025-02-18,521.2467041015625
2025-02-19,528.9893188476562
2025-02-20,535.9347534179688
2025-02-21,530.67333984375
2025-02-24,533.6627197265625
2025-02-25,537.6487426757812
2025-02-26,531.4107666015625
2025-02-27,521.3861694335938
2025-02-28,527.0960083007812
2025-03-03,521.794677734375
2025-03-04,514.7496337890625
2025-03-05,522.3428344726562
2025-03-06,525.7806396484375
2025-03-07,529.8363647460938
2025-03-10,524.9436645507812
2025-03-11,512.3880615234375
2025-03-12,510.843505859375
2025-03-13,507.1067199707031
2025-03-14,520.6502685546875
2025-03-17,518.1769409179688
2025-03-18,520.1017456054688
2025-03-19,517.02001953125
2025-03-20,517.2494506835938
2025-03-21,516.331787109375
2025-03-24,518.5060424804688
2025-03-25,512.9609985351562
2025-03-26,512.292724609375
2025-03-27,510.30804443359375
2025-03-28,498.8190002441406
2025-03-31,496.2658386230469
2025-04-01,481.675048828125
2025-04-02,487.7487487792969
2025-04-03,468.7697448730469
2025-04-04,436.7358703613281
2025-04-07,436.69598388671875
2025-04-08,418.18572998046875
2025-04-09,452.33392333984375
2025-04-10,426.2939453125
2025-04-11,436.9752197265625
2025-04-14,448.125244140625
2025-04-15,439.8175964355469
2025-04-16,435.6188659667969
2025-04-17,426.3537902832031
2025-04-21,420.71893310546875
2025-04-22,433.5644226074219
2025-04-23,430.4826965332031
2025-04-24,425.51605224609375
2025-04-25,423.1025085449219
2025-04-28,420.21026611328125
2025-04-29,426.3836975097656
2025-04-30,427.8497619628906
2025-05-01,418.7641906738281
2025-05-02,422.4143371582031
2025-05-05,421.1378173828125
2025-05-06,405.9286804199219
2025-05-07,406.7564697265625
2025-05-08,409.6786193847656
2025-05-09,402.04913330078125
2025-05-12,431.4301452636719
2025-05-13,427.7999267578125
2025-05-14,404.9613037109375
2025-05-15,403.84429931640625
2025-05-16,410.9552001953125
2025-05-19,412.8102111816406
2025-05-20,412.640625
2025-05-21,397.2121276855469
2025-05-22,399.40625
2025-05-23,392.6045227050781
2025-05-27,402.4679870605469
2025-05-28,401.05181884765625
2025-05-29,402.6674499511719
2025-05-30,401.739990234375
2025-06-02,395.406982421875
2025-06-03,398.8576965332031
2025-06-04,402.57769775390625
2025-06-05,397.29193115234375
2025-06-06,400.82244873046875
2025-06-09,407.4346618652344
2025-06-10,413.4285583496094
2025-06-11,414.0368957519531
2025-06-12,414.2164001464844
2025-06-13,402.096435546875
2025-06-16,404.4125671386719
2025-06-17,389.6170349121094
2025-06-18,391.9132080078125
2025-06-20,397.2244873046875
2025-06-23,399.55059814453125
2025-06-24,403.7037658691406
2025-06-25,409.9734191894531
2025-06-26,411.44097900390625
2025-06-27,407.6073303222656
2025-06-30,404.7919616699219
2025-07-01,420.7756042480469
2025-07-02,427.0552673339844
2025-07-03,428.6226501464844
2025-07-07,418.0101623535156
2025-07-08,425.4678649902344
2025-07-09,419.1882019042969
2025-07-10,430.02032470703125
2025-07-11,434.1435241699219
2025-07-14,424.63922119140625
2025-07-15,417.30133056640625
2025-07-16,415.62408447265625
2025-07-17,424.2798156738281
2025-07-18,414.0666809082031
2025-07-21,404.2728271484375
2025-07-22,426.91546630859375
2025-07-23,465.9410400390625
2025-07-24,474.2473449707031
2025-07-25,477.5319519042969
2025-07-28,484.1609802246094
2025-07-29,481.3656005859375
2025-07-30,476.4936218261719
2025-07-31,466.90948486328125
2025-08-01,462.2771301269531
2025-08-04,465.8013000488281
2025-08-05,465.6515808105469
2025-08-06,448.2003479003906
2025-08-07,453.99078369140625
2025-08-08,459.9609375
2025-08-11,461.6282043457031
2025-08-12,476.6234436035156
2025-08-13,483.9913024902344
2025-08-14,484.2408447265625
2025-08-15,488.204345703125
2025-08-18,486.73675537109375
2025-08-19,497.46905517578125
2025-08-20,493.9947509765625
2025-08-21,482.9629821777344
2025-08-22,499.1662292480469
2025-08-25,489.94146728515625
2025-08-26,487.6752014160156
2025-08-27,487.3157958984375
2025-08-28,488.93310546875
2025-08-29,491.9082336425781
2025-09-02,486.72674560546875
2025-09-03,483.7516784667969
2025-09-04,488.68353271484375
2025-09-05,491.7884216308594
2025-09-08,486.8465576171875
2025-09-09,481.6152038574219
2025-09-10,475.7548828125
2025-09-11,490.6003723144531
2025-09-12,478.6700439453125
2025-09-15,474.1034851074219
2025-09-16,480.3787841796875
2025-09-17,472.2848815917969
2025-09-18,480.738525390625
2025-09-19,479.2196350097656
2025-09-22,474.6330871582031
2025-09-23,469.39703369140625
2025-09-24,467.6483459472656
2025-09-25,458.8749694824219
2025-09-26,463.89117431640625
2025-09-29,461.6928405761719
2025-09-30,484.6555480957031
2025-10-01,530.3311767578125
2025-10-02,524.5655517578125
2025-10-03,542.9117431640625
2025-10-06,543.5413208007812
2025-10-07,538.764892578125
2025-10-08,535.787109375
2025-10-09,534.2782592773438
2025-10-10,524.4056396484375
2025-10-13,524.1858520507812
2025-10-14,525.4349365234375
2025-10-15,527.473388671875
2025-10-16,536.376708984375
2025-10-17,538.5150756835938
2025-10-20,543.431396484375
2025-10-21,557.5707397460938
2025-10-22,566.7738037109375
2025-10-23,571.480224609375
2025-10-24,572.06982421875
2025-10-27,563.3564453125
2025-10-28,557.2109985351562
2025-10-29,557.8905029296875
2025-10-30,555.8020629882812
2025-10-31,566.9636840820312
2025-11-03,564.45556640625
2025-11-04,564.8153076171875
2025-11-05,567.2135009765625
2025-11-06,565.5546875
2025-11-07,571.9798583984375
2025-11-10,575.9169311523438
2025-11-11,586.04931640625
2025-11-12,587.5781860351562
2025-11-13,579.694091796875
2025-11-14,578.2752075195312
2025-11-17,566.7338256835938
2025-11-18,575.5972290039062
2025-11-19,573.3588256835938
2025-11-20,572.3096313476562
2025-11-21,587.03857421875
2025-11-24,585.629638671875
2025-11-25,597.3308715820312
2025-11-26,592.8042602539062
2025-11-28,590.3861083984375
2025-12-01,584.7103271484375
2025-12-02,579.9338989257812
2025-12-03,580.0138549804688
2025-12-04,574.8077392578125
2025-12-05,572.3396606445312
2025-12-08,567.7830810546875
2025-12-09,562.6469116210938
2025-12-10,573.3788452148438
2025-12-11,578.4650268554688
2025-12-12,571.8500366210938
2025-12-15,575.9099731445312
2025-12-16,570.1599731445312
2025-12-17,562.5599975585938
2025-12-18,562.3900146484375
2025-12-19,567.8300170898438
2025-12-22,575.7000122070312
2025-12-23,579.9400024414062
2025-12-24,579.1199951171875
2025-12-26,580.739990234375
2025-12-29,585.0700073242188
2025-12-30,583.4500122070312
2025-12-31,579.4500122070312
